date,station_id,station_lat,station_lon,grid_lat,grid_lon,grid_i,grid_j,grid_hgt,grid_hgt_4pts,station_hgt
2005-12-27,MG,61.659,7.276,61.658,7.284,90,53,504.48682,504.10456162051577,305.0
2005-12-27,NB,61.687,7.197,61.685,7.19,85,56,981.0884,976.2200715220729,560.0
2005-12-27,SM,61.677,7.132,61.676,7.133,82,55,1457.96,1440.6748193151054,
2005-12-27,FL,61.423,6.764,61.425,6.773,63,27,250.31937,247.8491437434027,3.0
2005-12-27,OD,61.694,6.808,61.695,6.81,65,57,381.05432,390.81913105389685,
2005-12-27,VS,61.478,7.034,61.479,7.037,77,33,427.08728,450.979285660137,
2005-12-27,FN,61.907,7.058,61.911,7.058,78,81,157.59653,168.97258334045623,
2005-12-27,OV,61.792,6.822,61.794,6.829,66,68,337.20483,362.0873136305716,47.0
2005-12-27,LV,61.859,6.889,61.857,6.886,69,75,327.26743,332.9015880678773,56.0
2005-12-27,SV,61.774,7.486,61.774,7.495,101,66,1393.8965,1395.151459518301,
2005-12-27,FL_ol,61.435,6.77,61.434,6.773,63,28,223.03474,226.86996012942916,
2005-12-27,JD,61.651,7.276,61.649,7.284,90,52,494.4535,494.11715485355074,243.0
2005-12-27,AS,61.364,6.907,61.362,6.905,70,20,795.588,807.5589333214458,446.0
2005-12-27,NV,61.667,7.241,61.667,7.246,88,54,673.5056,676.9923679563963,
2005-12-27,BH,61.66,7.274,61.658,7.265,89,53,511.54138,514.6687979201638,
2005-12-27,FB,61.475,6.799,61.479,6.792,64,33,936.5415,947.1586219577838,992.0
2005-12-27,SJ,61.572,6.487,61.568,6.489,48,43,475.98224,474.2648727799016,
2005-12-27,SB,61.597,7.389,61.595,7.397,96,46,1413.6788,1415.8099042841563,
,PEAK,61.6766,7.0188,61.677,7.019,76,55,1851.1656,1849.6397154329616,
