dt_observation_date,utm_zone,utm_east,utm_north,stake_no,height (m a.s.l.),snow_density (kg/m3),depth_density_measured_to (m),depth_summer surface (m),SWE(mm),,,,,
5/7/06,32,413100,6855200,A60,1491,445,3.2,3.2,1424,,,,,
5/3/07,32,413100,6855200,A60,1491,480,5.27,5.27,2530,,,,,
5/22/08,32,413100,6855200,A60,1491,529,5.07,5.07,2682,,,,,
5/15/09,32,413100,6855200,A60,1491,447,4.38,4.38,1958,,,,,
6/1/10,32,413100,6855200,A60,1491,480,2.45,2.45,1176,,,,,
5/4/11,32,413050,6855200,A60,1491,516,3.75,3.75,1935,,,,,
5/10/12,32,413100,6855200,A60,1491,485,5.4,5.4,2619,,,,,
5/29/13,32,413100,6855200,A60,1491,520,3.4,3.4,1768,,,,,
4/24/14,32,413100,6855200,A60,1491,472,4.6,4.6,2171,,,,,
5/21/15,32,413100,6855200,A60,1481,466,4.75,4.85,2260,,,,,
5/12/16,32,413100,6855200,A60,1481,493,4.35,4.35,2145,,,,,
5/10/17,32,413100,6855200,A60,1481,461,5,5,2305,,,,,
5/7/18,32,413100,6855200,A60,1481,502,4.1,4.1,2058,,,,,
4/30/19,32,413100,6855200,A60,1481,489,3.8,3.85,1883,,,,,
4/20/20,32,413100,6855200,A60,1481,446,6.5,6.5,2899,,,,,
4/16/21,32,413100,6855200,A60,1481,397,4.14,4.14,1644,,,,,
4/26/22,32,413100,6855200,A60,1481,450,4.82,5.1,2295,,,,,
4/19/23,32,413100,6855200,A60,1481,433,3.94,3.94,1706,,,,,
5/14/24,32,413100,6855200,A60,1481,474,3.2,3.33,1578,,,,,
5/6/06,32,397965,6843923,N9406,1700,458,3.7,3.75,1718,,,,,
6/5/07,32,397965,6843940,N9407,1700,553,5.52,5.85,3235,,,,,
5/8/08,32,397975,6843925,N9408,1700,465,6.64,6.7,3116,,,,,
5/13/09,32,401034,6846635,N9609,1753,457,5.3,5.5,2514,,,,,
5/19/10,32,398500,6844000,N94,1687,468,3.25,3.45,1615,,,,,
5/3/11,32,398502,6843998,N9411,1687,476,4.35,4.35,2071,,,,,
5/22/12,32,398503,6843995,N9412,1683,475,6.63,6.9,3278,,,,,
5/23/13,32,398510,6843990,N9413,1683,549,5.1,4.85,2663,,,,,
5/20/14,32,398510,6843995,N9414,1683,509,5.67,5.7,2901,,,,,
6/8/15,32,398500,6844000,N9415,1683,454,6.66,6.6,2996,,,,,
5/10/16,32,398510,6844010,N9416,1683,474,5.28,5.3,2512,,,,,
6/21/17,32,398510,6844010,N9417,1683,541,4.61,4.55,2462,,,,,
4/11/18,32,398375,6841550,N56T,1790,451,5.85,5.85,2638,,,,,
4/11/18,32,401300,6839900,N-B11,1605,422,4.65,4.75,2005,,,,,
5/15/18,32,398510,6844010,N9418,1683,551,4.6,4.6,2535,,,,,
5/15/19,32,398510,6844010,N9419,1682,479,4.93,4.8,2299,,,,,
5/19/20,32,398510,6844010,N9420,1682,467,7.9,7.9,3689,,,,,
4/14/21,32,398378,6841551,N56,1791,404,5.5,5.5,2222,,,,,
5/18/22,32,398520,6843995,N9422,1683,454,6.2,6.2,2815,,,,,
5/4/23,32,398520,6843995,N9422,1683,427,5.1,5.1,2178,,,,,
5/15/24,32,398510,6844000,N9424,1682,512,4.3,4.3,2202,,,,,
