Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd);Nedbør (mnd)
Jostedalen - Mjølversgrendi;SN55430;12.2020;-0,5;157,3
Jostedalen - Mjølversgrendi;SN55430;01.2021;-7,7;66,3
Jostedalen - Mjølversgrendi;SN55430;02.2021;-6,6;83,2
Jostedalen - Mjølversgrendi;SN55430;03.2021;1,6;84,5
Jostedalen - Mjølversgrendi;SN55430;04.2021;2,3;68,4
Jostedalen - Mjølversgrendi;SN55430;05.2021;9,7;29,9
Jostedalen - Mjølversgrendi;SN55430;06.2021;14,1;78,6
Jostedalen - Mjølversgrendi;SN55430;07.2021;16,9;59,9
Jostedalen - Mjølversgrendi;SN55430;08.2021;14;-
Jostedalen - Mjølversgrendi;SN55430;09.2021;10,8;100,8
Jostedalen - Mjølversgrendi;SN55430;10.2021;5,5;329,8
Jostedalen - Mjølversgrendi;SN55430;11.2021;0,5;122
Jostedalen - Mjølversgrendi;SN55430;12.2021;-4,6;99,7
Jostedalen - Mjølversgrendi;SN55430;01.2022;-1;-
Jostedalen - Mjølversgrendi;SN55430;02.2022;-1,9;-
Jostedalen - Mjølversgrendi;SN55430;03.2022;0,7;-
Jostedalen - Mjølversgrendi;SN55430;04.2022;3,4;-
Jostedalen - Mjølversgrendi;SN55430;05.2022;7,7;-
Jostedalen - Mjølversgrendi;SN55430;06.2022;13,5;63,7
Jostedalen - Mjølversgrendi;SN55430;07.2022;13,2;73,8
Jostedalen - Mjølversgrendi;SN55430;08.2022;12,7;114,9
Jostedalen - Mjølversgrendi;SN55430;09.2022;9,2;66,6
Jostedalen - Mjølversgrendi;SN55430;10.2022;5,7;168,6
Jostedalen - Mjølversgrendi;SN55430;11.2022;2,3;196,7
Jostedalen - Mjølversgrendi;SN55430;12.2022;-6,8;131
Jostedalen - Mjølversgrendi;SN55430;01.2023;-3,5;207,7
Jostedalen - Mjølversgrendi;SN55430;02.2023;-1,3;161,2
