Navn	Stasjon	Tid(norsk normaltid)	Lufttemperatur	Relativ luftfuktighet	Vindretning	Middelvind
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 13:00	1,6	95	-	-
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 14:00	1,6	96	-	-
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 15:00	1,4	98	-	-
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 16:00	1,4	93	-	-
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 17:00	0,8	92	-	-
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 18:00	0,2	95	-	-
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 19:00	0,2	97	-	-
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 20:00	0,1	97	-	-
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 21:00	0,1	98	-	-
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 22:00	0	97	-	-
Jostedalen - Mjølversgrendi	SN55430	26.11.2020 23:00	0	96	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 00:00	0,1	94	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 01:00	-0,2	97	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 02:00	0,5	85	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 03:00	-0,2	95	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 04:00	0,3	83	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 05:00	0,2	80	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 06:00	0,4	82	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 07:00	0,3	80	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 08:00	0,2	80	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 09:00	-0,1	82	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 10:00	0,1	77	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 11:00	0,2	70	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 12:00	0	74	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 13:00	-0,1	73	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 14:00	-0,8	74	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 15:00	-1,7	73	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 16:00	-2	75	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 17:00	-2,2	74	-	-
Jostedalen - Mjølversgrendi	SN55430	27.11.2020 19:00	-2,6	75	-	-
