#Anestølen, 77.24.0, Vindretning, time
Tidspunkt;Vindretning (°);Korrigert;Kontrollert
2011-09-22 10:00:00Z;235,5964;0;2
2011-09-22 11:00:00Z;180,4123;0;2
2011-09-22 12:00:00Z;151,7747;0;2
2011-09-22 13:00:00Z;204,7043;0;2
2011-09-22 14:00:00Z;235,1068;0;2
2011-09-22 15:00:00Z;242,4411;0;2
2011-09-22 16:00:00Z;200,74;0;2
2011-09-22 17:00:00Z;117,394;0;2
2011-09-22 18:00:00Z;138,3762;0;2
2011-09-22 19:00:00Z;145,7176;0;2
2011-09-22 20:00:00Z;113,1947;0;2
2011-09-22 21:00:00Z;99,41759;0;2
2011-09-22 22:00:00Z;167,7487;0;2
2011-09-22 23:00:00Z;173,2666;0;2
2011-09-23 00:00:00Z;189,1549;0;2
2011-09-23 01:00:00Z;192,684;0;2
2011-09-23 02:00:00Z;186,5228;0;2
2011-09-23 03:00:00Z;209,0146;0;2
2011-09-23 04:00:00Z;168,5615;0;2
2011-09-23 05:00:00Z;132,035;0;2
2011-09-23 06:00:00Z;94,34008;0;2
2011-09-23 07:00:00Z;155,8709;0;2
2011-09-23 08:00:00Z;151,4694;0;2
2011-09-23 09:00:00Z;202,3613;0;2
2011-09-23 10:00:00Z;142,886;0;2
2011-09-23 11:00:00Z;204,0451;0;2
2011-09-23 12:00:00Z;246,4309;0;2
2011-09-23 13:00:00Z;176,4942;0;2
2011-09-23 14:00:00Z;188,8338;0;2
2011-09-23 15:00:00Z;126,0252;0;2
2011-09-23 16:00:00Z;312,1667;0;2
2011-09-23 17:00:00Z;271,6936;0;2
2011-09-23 18:00:00Z;258,3912;0;2
2011-09-23 19:00:00Z;149,3443;0;2
2011-09-23 20:00:00Z;152,6083;0;2
2011-09-23 21:00:00Z;228,2909;0;2
2011-09-23 22:00:00Z;136,2326;0;2
2011-09-23 23:00:00Z;201,3857;0;2
2011-09-24 00:00:00Z;212,2447;0;2
2011-09-24 01:00:00Z;113,6328;0;2
2011-09-24 02:00:00Z;237,4543;0;2
2011-09-24 03:00:00Z;214,2971;0;2
2011-09-24 04:00:00Z;130,5763;0;2
2011-09-24 05:00:00Z;185,812;0;2
2011-09-24 06:00:00Z;220,8955;0;2
2011-09-24 07:00:00Z;222,0991;0;2
2011-09-24 08:00:00Z;101,1232;0;2
2011-09-24 09:00:00Z;232,0023;0;2
2011-09-24 10:00:00Z;156,6816;0;2
2011-09-24 11:00:00Z;199,7174;0;2
2011-09-24 12:00:00Z;231,8242;0;2
2011-09-24 13:00:00Z;248,1272;0;2
2011-09-24 14:00:00Z;183,0756;0;2
2011-09-24 15:00:00Z;230,9495;0;2
2011-09-24 16:00:00Z;234,1943;0;2
2011-09-24 17:00:00Z;266,4599;0;2
2011-09-24 18:00:00Z;209,3253;0;2
2011-09-24 19:00:00Z;220,0279;0;2
2011-09-24 20:00:00Z;118,3431;0;2
2011-09-24 21:00:00Z;173,8066;0;2
2011-09-24 22:00:00Z;259,1664;0;2
2011-09-24 23:00:00Z;154,4603;0;2
