#Anestølen, 77.24.0, Vindhastighet, time
Tidspunkt;Vindhastighet (m/s);Korrigert;Kontrollert
2011-09-22 10:00:00Z;0,5695833;0;2
2011-09-22 11:00:00Z;0,4135;0;2
2011-09-22 12:00:00Z;0,974;0;2
2011-09-22 13:00:00Z;1,398667;0;2
2011-09-22 14:00:00Z;1,974583;0;2
2011-09-22 15:00:00Z;1,302393;0;2
2011-09-22 16:00:00Z;1,291429;0;2
2011-09-22 17:00:00Z;0,9920952;0;2
2011-09-22 18:00:00Z;1,53625;0;2
2011-09-22 19:00:00Z;2,59925;0;2
2011-09-22 20:00:00Z;2,613917;0;2
2011-09-22 21:00:00Z;1,016917;0;2
2011-09-22 22:00:00Z;1,163917;0;2
2011-09-22 23:00:00Z;0,9565001;0;2
2011-09-23 00:00:00Z;1,406083;0;2
2011-09-23 01:00:00Z;1,007;0;2
2011-09-23 02:00:00Z;1,062917;0;2
2011-09-23 03:00:00Z;0,9065;0;2
2011-09-23 04:00:00Z;0,8901666;0;2
2011-09-23 05:00:00Z;1,324333;0;2
2011-09-23 06:00:00Z;1,506417;0;2
2011-09-23 07:00:00Z;1,546167;0;2
2011-09-23 08:00:00Z;0,8230833;0;2
2011-09-23 09:00:00Z;0,5209166;0;2
2011-09-23 10:00:00Z;0,6959167;0;2
2011-09-23 11:00:00Z;0,8173333;0;2
2011-09-23 12:00:00Z;0,62025;0;2
2011-09-23 13:00:00Z;1,00675;0;2
2011-09-23 14:00:00Z;0,64375;0;2
2011-09-23 15:00:00Z;2,462;0;2
2011-09-23 16:00:00Z;1,179667;0;2
2011-09-23 17:00:00Z;0,8104166;0;2
2011-09-23 18:00:00Z;1,14025;0;2
2011-09-23 19:00:00Z;1,254;0;2
2011-09-23 20:00:00Z;0,7524167;0;2
2011-09-23 21:00:00Z;0,7743333;0;2
2011-09-23 22:00:00Z;0,9920834;0;2
2011-09-23 23:00:00Z;0,621;0;2
2011-09-24 00:00:00Z;1,3125;0;2
2011-09-24 01:00:00Z;0,9800001;0;2
2011-09-24 02:00:00Z;0,9238333;0;2
2011-09-24 03:00:00Z;0,3695833;0;2
2011-09-24 04:00:00Z;0,4866667;0;2
2011-09-24 05:00:00Z;0,4436666;0;2
2011-09-24 06:00:00Z;0,1798333;0;2
2011-09-24 07:00:00Z;0,38325;0;2
2011-09-24 08:00:00Z;0,3465833;0;2
2011-09-24 09:00:00Z;0,3736667;0;2
