#Flatbreen, 78.19.0, Vindretning, time			
Tidspunkt	Vindretning (°)	Korrigert	Kontrollert
2006-01-01 00:00:00Z	47,71667	0	1
2006-01-01 01:00:00Z	87,53333	0	1
2006-01-01 02:00:00Z	215,65	0	1
2006-01-01 03:00:00Z	277,5233	0	1
2006-01-01 04:00:00Z	180,7892	0	1
2006-01-01 05:00:00Z	68,34	0	1
2006-01-01 06:00:00Z	17,18667	0	1
2006-01-01 07:00:00Z	108955	0	1
2006-01-01 08:00:00Z	34,75667	0	1
2006-01-01 09:00:00Z	8,336667	0	1
2006-01-01 10:00:00Z	10,69333	0	1
2006-01-01 11:00:00Z	11,53667	0	1
2006-01-01 12:00:00Z	5,670833	0	1
2006-01-01 13:00:00Z	43,5975	0	1
2006-01-01 14:00:00Z	32,98917	0	1
2006-01-01 15:00:00Z	64,53333	0	1
2006-01-01 16:00:00Z	157,3558	0	1
2006-01-01 17:00:00Z	220,0158	0	1
2006-01-01 18:00:00Z	215,2517	0	1
2006-01-01 19:00:00Z	117,3017	0	1
2006-01-01 20:00:00Z	219,3842	0	1
2006-01-01 21:00:00Z	133,6058	0	1
2006-01-01 22:00:00Z	76,60083	0	1
2006-01-01 23:00:00Z	124,1917	0	1
2006-01-02 00:00:00Z	103,8025	0	1
2006-01-02 01:00:00Z	137,43	0	1
2006-01-02 02:00:00Z	266,7983	0	1
2006-01-02 03:00:00Z	104,6833	0	1
2006-01-02 04:00:00Z	272,5125	0	1
2006-01-02 05:00:00Z	240,3708	0	1
2006-01-02 06:00:00Z	259695	0	1
2006-01-02 07:00:00Z	313,1467	0	1
2006-01-02 08:00:00Z	292,4716	0	1
2006-01-02 09:00:00Z	182,29	0	1
2006-01-02 10:00:00Z	108315	0	1
2006-01-02 11:00:00Z	123,4167	0	1
2006-01-02 12:00:00Z	7,866667	0	1
2006-01-02 13:00:00Z	119,2642	0	1
2006-01-02 14:00:00Z	11,83333	0	1
2006-01-02 15:00:00Z	326,4375	0	1
2006-01-02 16:00:00Z	343,6158	0	1
2006-01-02 17:00:00Z	308,78	0	1
2006-01-02 18:00:00Z	312,0925	0	1
2006-01-02 19:00:00Z	278,4725	0	1
2006-01-02 20:00:00Z	269,6467	0	1
2006-01-02 21:00:00Z	143,0108	0	1
2006-01-02 22:00:00Z	16,58834	0	1
2006-01-02 23:00:00Z	14,96083	0	1
2006-01-03 00:00:00Z	14,20167	0	1
2006-01-03 01:00:00Z	50,79084	0	1
2006-01-03 02:00:00Z	277,7367	0	1
2006-01-03 03:00:00Z	243,5067	0	1
