#Anestølen, 77.24.0, Lufttemperatur, dogn
Tidspunkt;Lufttemperatur (°C);Korrigert;Kontrollert
2011-09-23 11:00:00Z;5,937709;0;2
2011-09-24 11:00:00Z;6,002448;0;2
2011-09-25 11:00:00Z;8,674008;0;2
2011-09-26 11:00:00Z;8,396613;0;2
2011-09-27 11:00:00Z;7,046926;0;2
2011-09-28 11:00:00Z;11,17521;0;2
2011-09-29 11:00:00Z;14,51933;0;2
2011-09-30 11:00:00Z;13,43281;0;2
2011-10-01 11:00:00Z;12,61932;0;2
2011-10-02 11:00:00Z;11,12682;0;2
2011-10-03 11:00:00Z;8,207917;0;2
2011-10-04 11:00:00Z;5,813335;0;2
2011-10-05 11:00:00Z;6,514112;0;2
2011-10-06 11:00:00Z;4,22125;0;2
2011-10-07 11:00:00Z;3,265729;0;2
2011-10-08 11:00:00Z;2,232343;0;2
2011-10-09 11:00:00Z;0,2213542;0;2
2011-10-10 11:00:00Z;1,336615;0;2
2011-10-11 11:00:00Z;1,388333;0;2
2011-10-12 11:00:00Z;3,398437;0;2
2011-10-13 11:00:00Z;-0,5144271;0;2
2011-10-14 11:00:00Z;1,174323;0;2
2011-10-15 11:00:00Z;3,416407;0;2
2011-10-16 11:00:00Z;4,53349;0;2
2011-10-17 11:00:00Z;5,125833;0;2
2011-10-18 11:00:00Z;3,487447;0;2
2011-10-19 11:00:00Z;2,137032;0;2
2011-10-20 11:00:00Z;0,9740624;0;2
2011-10-21 11:00:00Z;1,160684;0;2
2011-10-22 11:00:00Z;5,041053;0;2
2011-10-23 11:00:00Z;4,309583;0;2
2011-10-24 11:00:00Z;3,51849;0;2
2011-10-25 11:00:00Z;6,70224;0;2
2011-10-26 11:00:00Z;5,14797;0;2
2011-10-27 11:00:00Z;4,615781;0;2
2011-10-28 11:00:00Z;5,142032;0;2
2011-10-29 11:00:00Z;4,417605;0;2
2011-10-30 11:00:00Z;5,775209;0;2
2011-10-31 11:00:00Z;5,284166;0;2
2011-11-01 11:00:00Z;6,985125;0;2
2011-11-02 11:00:00Z;;0;2
2011-11-03 11:00:00Z;8,099252;0;2
2011-11-04 11:00:00Z;7,243176;0;2
2011-11-05 11:00:00Z;6,716821;0;2
2011-11-06 11:00:00Z;5,275989;0;2
2011-11-07 11:00:00Z;2,761146;0;2
2011-11-08 11:00:00Z;0,9798437;0;2
2011-11-09 11:00:00Z;5,712188;0;2
2011-11-10 11:00:00Z;2,333646;0;2
2011-11-11 11:00:00Z;0,3251042;0;2
2011-11-12 11:00:00Z;0,2728862;0;2
2011-11-13 11:00:00Z;0,5526347;0;2
2011-11-14 11:00:00Z;-1,400573;0;2
2011-11-15 11:00:00Z;-4,113125;0;2
2011-11-16 11:00:00Z;-4,95276;0;2
2011-11-17 11:00:00Z;-3,583229;0;2
2011-11-18 11:00:00Z;-0,2873437;0;2
2011-11-19 11:00:00Z;1,954895;0;2
2011-11-20 11:00:00Z;3,471771;0;2
2011-11-21 11:00:00Z;2,235312;0;2
2011-11-22 11:00:00Z;1,37625;0;2
2011-11-23 11:00:00Z;2,134687;0;2
2011-11-24 11:00:00Z;0,86875;0;2
2011-11-25 11:00:00Z;2,945886;0;2
2011-11-26 11:00:00Z;0,02609374;0;2
2011-11-27 11:00:00Z;0,9944271;0;2
2011-11-28 11:00:00Z;0,6029688;0;2
2011-11-29 11:00:00Z;2,100156;0;2
2011-11-30 11:00:00Z;1,357969;0;2
2011-12-01 11:00:00Z;1,652657;0;2
2011-12-02 11:00:00Z;-2,446198;0;2
2011-12-03 11:00:00Z;-0,3714584;0;2
2011-12-04 11:00:00Z;-1,927865;0;2
2011-12-05 11:00:00Z;-2,401406;0;2
2011-12-06 11:00:00Z;-7,03099;0;2
2011-12-07 11:00:00Z;-13,01666;0;2
2011-12-08 11:00:00Z;-7,586197;0;2
2011-12-09 11:00:00Z;-0,7495834;0;2
2011-12-10 11:00:00Z;-5,271875;0;2
2011-12-11 11:00:00Z;-5,456616;0;2
2011-12-12 11:00:00Z;-1,428229;0;2
2011-12-13 11:00:00Z;-0,06088541;0;2
2011-12-14 11:00:00Z;0,7783853;0;2
2011-12-15 11:00:00Z;-0,02947915;0;2
2011-12-16 11:00:00Z;-4,035677;0;2
2011-12-17 11:00:00Z;-5,791199;0;2
2011-12-18 11:00:00Z;-5,636251;0;2
2011-12-19 11:00:00Z;-0,6953124;0;2
2011-12-20 11:00:00Z;-4,638437;0;2
2011-12-21 11:00:00Z;-7,562499;0;2
2011-12-22 11:00:00Z;-3,552396;0;2
2011-12-23 11:00:00Z;1,837501;0;2
2011-12-24 11:00:00Z;-0,8015623;0;2
2011-12-25 11:00:00Z;3,022969;0;2
2011-12-26 11:00:00Z;3,775728;0;2
2011-12-27 11:00:00Z;0,8741666;0;2
2011-12-28 11:00:00Z;-0,1516147;0;2
2011-12-29 11:00:00Z;-0,624896;0;2
