#Flatbreen, 78.19.0, Lufttemperatur, dogn
Tidspunkt;Lufttemperatur (°C);Korrigert;Kontrollert
2006-01-01 11:00:00Z;-7,733608;0;1
2006-01-02 11:00:00Z;-4,637778;0;1
2006-01-03 11:00:00Z;-2,979865;0;1
2006-01-04 11:00:00Z;-3,476243;0;1
2006-01-05 11:00:00Z;-0,8401007;0;1
2006-01-06 11:00:00Z;-0,01031597;0;1
2006-01-07 11:00:00Z;-0,7407084;0;1
2006-01-08 11:00:00Z;-5,487215;0;1
2006-01-09 11:00:00Z;-6,827347;0;1
2006-01-10 11:00:00Z;-1,798201;0;1
2006-01-11 11:00:00Z;-1,617215;0;1
2006-01-12 11:00:00Z;-2,22709;0;1
2006-01-13 11:00:00Z;-1,034858;0;1
2006-01-14 11:00:00Z;-1,302642;0;1
2006-01-15 11:00:00Z;-0,4972326;0;1
2006-01-16 11:00:00Z;-3,201284;0;1
2006-01-17 11:00:00Z;-5,134403;0;1
2006-01-18 11:00:00Z;-7,262774;0;1
2006-01-19 11:00:00Z;-7,670695;0;1
2006-01-20 11:00:00Z;-9,385132;0;1
2006-01-21 11:00:00Z;-11,17051;0;1
2006-01-22 11:00:00Z;-7,043126;0;1
2006-01-23 11:00:00Z;-3,663196;0;1
2006-01-24 11:00:00Z;-3,375695;0;1
2006-01-25 11:00:00Z;-6,436458;0;1
2006-01-26 11:00:00Z;-5,357639;0;1
2006-01-27 11:00:00Z;-4,844444;0;1
2006-01-28 11:00:00Z;-3,21875;0;1
2006-01-29 11:00:00Z;-1,161458;0;1
2006-01-30 11:00:00Z;-2,1625;0;1
2006-01-31 11:00:00Z;-0,7361111;0;1
2006-02-01 11:00:00Z;-4,093056;0;1
2006-02-02 11:00:00Z;-0,9364583;0;1
2006-02-03 11:00:00Z;-0,7503472;0;1
2006-02-04 11:00:00Z;-3,294792;0;1
2006-02-05 11:00:00Z;-3,380556;0;1
2006-02-06 11:00:00Z;-0,6072916;0;1
2006-02-07 11:00:00Z;-3,895486;0;1
2006-02-08 11:00:00Z;-4,636111;0;1
2006-02-09 11:00:00Z;-6,055555;0;1
2006-02-10 11:00:00Z;-9,386458;0;1
2006-02-11 11:00:00Z;-8,696527;0;1
2006-02-12 11:00:00Z;-4,914583;0;1
2006-02-13 11:00:00Z;-2,452778;0;1
2006-02-14 11:00:00Z;-2,383333;0;1
