#Lovatn, 88.4.0, Lufttemperatur, dogn
Tidspunkt;Lufttemperatur (°C);Korrigert;Kontrollert
2005-05-19 11:00:00Z;6,185417;0;3
2005-05-20 11:00:00Z;7,639583;0;3
2005-05-21 11:00:00Z;12,90208;0;3
2005-05-22 11:00:00Z;11,36667;0;3
2005-05-23 11:00:00Z;12,06458;0;3
2005-05-24 11:00:00Z;10,63125;0;3
2005-05-25 11:00:00Z;11,41458;0;3
2005-05-26 11:00:00Z;11,00417;0;3
2005-05-27 11:00:00Z;8,214583;0;3
2005-05-28 11:00:00Z;8,741667;0;3
2005-05-29 11:00:00Z;9,427083;0;3
2005-05-30 11:00:00Z;10,46458;0;3
2005-05-31 11:00:00Z;9,6125;0;3
2005-06-01 11:00:00Z;9,377084;0;3
2005-06-02 11:00:00Z;10,62917;0;3
2005-06-03 11:00:00Z;10,34167;0;3
2005-06-04 11:00:00Z;11,49375;0;3
2005-06-05 11:00:00Z;9,814584;0;3
2005-06-06 11:00:00Z;7,1625;0;3
2005-06-07 11:00:00Z;8,120833;0;3
2005-06-08 11:00:00Z;8,852083;0;3
2005-06-09 11:00:00Z;10,23958;0;3
2005-06-10 11:00:00Z;7,141667;0;3
2005-06-11 11:00:00Z;9,11875;0;3
2005-06-12 11:00:00Z;10,81458;0;3
2005-06-13 11:00:00Z;12,35;0;3
2005-06-14 11:00:00Z;13,33542;0;3
2005-06-15 11:00:00Z;14,12083;0;3
2005-06-16 11:00:00Z;14,75;0;3
2005-06-17 11:00:00Z;11,69792;0;3
2005-06-18 11:00:00Z;12,8125;0;3
2005-06-19 11:00:00Z;14,06875;0;3
2005-06-20 11:00:00Z;14,25833;0;3
2005-06-21 11:00:00Z;13,26875;0;3
2005-06-22 11:00:00Z;12,31875;0;3
2005-06-23 11:00:00Z;13,58542;0;3
2005-06-24 11:00:00Z;11,63333;0;3
2005-06-25 11:00:00Z;10,18958;0;3
2005-06-26 11:00:00Z;10,65417;0;3
2005-06-27 11:00:00Z;10,54583;0;3
2005-06-28 11:00:00Z;9,825;0;3
2005-06-29 11:00:00Z;12,42083;0;3
2005-06-30 11:00:00Z;15,14583;0;3
2005-07-01 11:00:00Z;17,95;0;3
2005-07-02 11:00:00Z;16,3875;0;3
2005-07-03 11:00:00Z;17,65833;0;3
2005-07-04 11:00:00Z;17,69167;0;3
2005-07-05 11:00:00Z;20,08125;0;3
2005-07-06 11:00:00Z;15,66042;0;3
2005-07-07 11:00:00Z;17,93542;0;3
2005-07-08 11:00:00Z;17,66304;0;3
2005-07-09 11:00:00Z;19,01458;0;3
2005-07-10 11:00:00Z;15,76458;0;3
2005-07-11 11:00:00Z;18,21875;0;3
2005-07-12 11:00:00Z;17,99167;0;3
2005-07-13 11:00:00Z;13,11875;0;3
2005-07-14 11:00:00Z;12,77292;0;3
2005-07-15 11:00:00Z;14,61875;0;3
2005-07-16 11:00:00Z;15,80833;0;3
2005-07-17 11:00:00Z;16,35833;0;3
2005-07-18 11:00:00Z;17,26875;0;3
2005-07-19 11:00:00Z;17,42292;0;3
2005-07-20 11:00:00Z;16,50625;0;3
2005-07-21 11:00:00Z;16,05417;0;3
2005-07-22 11:00:00Z;16,57083;0;3
2005-07-23 11:00:00Z;15,88125;0;3
2005-07-24 11:00:00Z;14,17083;0;3
2005-07-25 11:00:00Z;15,02917;0;3
2005-07-26 11:00:00Z;14,98333;0;3
2005-07-27 11:00:00Z;15,10208;0;3
2005-07-28 11:00:00Z;15,85417;0;3
2005-07-29 11:00:00Z;15,71042;0;3
2005-07-30 11:00:00Z;15,43542;0;3
2005-07-31 11:00:00Z;16,28125;0;3
2005-08-01 11:00:00Z;15,85833;0;3
2005-08-02 11:00:00Z;15,69167;0;3
2005-08-03 11:00:00Z;14,33958;0;3
2005-08-04 11:00:00Z;12,4;0;3
2005-08-05 11:00:00Z;11,44792;0;3
2005-08-06 11:00:00Z;12,22917;0;3
2005-08-07 11:00:00Z;13,56875;0;3
2005-08-08 11:00:00Z;13,8625;0;3
2005-08-09 11:00:00Z;14,01042;0;3
2005-08-10 11:00:00Z;15,14375;0;3
2005-08-11 11:00:00Z;13,41042;0;3
2005-08-12 11:00:00Z;13,19583;0;3
2005-08-13 11:00:00Z;13,0375;0;3
2005-08-14 11:00:00Z;13,18542;0;3
2005-08-15 11:00:00Z;12,925;0;3
2005-08-16 11:00:00Z;11,47708;0;3
2005-08-17 11:00:00Z;11,32083;0;3
2005-08-18 11:00:00Z;15,42292;0;3
2005-08-19 11:00:00Z;14,16304;0;3
2005-08-20 11:00:00Z;13,51667;0;3
2005-08-21 11:00:00Z;14,05625;0;3
2005-08-22 11:00:00Z;15,3;0;3
2005-08-23 11:00:00Z;12,36875;0;3
2005-08-24 11:00:00Z;14,2375;0;3
2005-08-25 11:00:00Z;12,38125;0;3
2005-08-26 11:00:00Z;10,71042;0;3
2005-08-27 11:00:00Z;9,760417;0;3
2005-08-28 11:00:00Z;10,32917;0;3
2005-08-29 11:00:00Z;11,52708;0;3
2005-08-30 11:00:00Z;9,945833;0;3
2005-08-31 11:00:00Z;10,54375;0;3
2005-09-01 11:00:00Z;15,20417;0;3
2005-09-02 11:00:00Z;12,8625;0;3
2005-09-03 11:00:00Z;11,325;0;3
2005-09-04 11:00:00Z;12,24375;0;3
2005-09-05 11:00:00Z;11,775;0;3
2005-09-06 11:00:00Z;12,56042;0;3
2005-09-07 11:00:00Z;13,06667;0;3
2005-09-08 11:00:00Z;10,67292;0;3
2005-09-09 11:00:00Z;8,766666;0;3
2005-09-10 11:00:00Z;8,197917;0;3
2005-09-11 11:00:00Z;9,966666;0;3
2005-09-12 11:00:00Z;9,754348;0;3
2005-09-13 11:00:00Z;8,866667;0;3
2005-09-14 11:00:00Z;11,07917;0;3
2005-09-15 11:00:00Z;7,74375;0;3
2005-09-16 11:00:00Z;5,622917;0;3
2005-09-17 11:00:00Z;7,214583;0;3
2005-09-18 11:00:00Z;9,9;0;3
2005-09-19 11:00:00Z;12,62083;0;3
2005-09-20 11:00:00Z;9,825;0;3
2005-09-21 11:00:00Z;8,458333;0;3
2005-09-22 11:00:00Z;13,375;0;3
2005-09-23 11:00:00Z;14,82292;0;3
2005-09-24 11:00:00Z;8,654166;0;3
2005-09-25 11:00:00Z;9,08125;0;3
2005-09-26 11:00:00Z;14,025;0;3
2005-09-27 11:00:00Z;13,2125;0;3
2005-09-28 11:00:00Z;8,891666;0;3
2005-09-29 11:00:00Z;9,4625;0;3
2005-09-30 11:00:00Z;7,673913;0;3
2005-10-01 11:00:00Z;9,816667;0;3
2005-10-02 11:00:00Z;8,802083;0;3
2005-10-03 11:00:00Z;9,760417;0;3
2005-10-04 11:00:00Z;9,020833;0;3
2005-10-05 11:00:00Z;9,002084;0;3
2005-10-06 11:00:00Z;9,422916;0;3
2005-10-07 11:00:00Z;13,0375;0;3
2005-10-08 11:00:00Z;15,96667;0;3
2005-10-09 11:00:00Z;8,6625;0;3
2005-10-10 11:00:00Z;14,01087;0;3
2005-10-11 11:00:00Z;17,35625;0;3
2005-10-12 11:00:00Z;15,675;0;3
2005-10-13 11:00:00Z;12,33958;0;3
2005-10-14 11:00:00Z;6,366667;0;3
2005-10-15 11:00:00Z;4,095833;0;3
2005-10-16 11:00:00Z;2,339583;0;3
2005-10-17 11:00:00Z;1,854167;0;3
2005-10-18 11:00:00Z;1,279167;0;3
2005-10-19 11:00:00Z;1,054167;0;3
2005-10-20 11:00:00Z;4,402083;0;3
2005-10-21 11:00:00Z;5,969565;0;3
2005-10-22 11:00:00Z;6,858333;0;3
2005-10-23 11:00:00Z;0,8479167;0;3
2005-10-24 11:00:00Z;-2,095833;0;3
2005-10-25 11:00:00Z;4,452083;0;3
2005-10-26 11:00:00Z;3,45;0;3
2005-10-27 11:00:00Z;5,764583;0;3
2005-10-28 11:00:00Z;15,68478;0;3
2005-10-29 11:00:00Z;10,86458;0;3
2005-10-30 11:00:00Z;13,45833;0;3
2005-10-31 11:00:00Z;12,67917;0;3
2005-11-01 11:00:00Z;10,95417;0;3
2005-11-02 11:00:00Z;7,45;0;3
2005-11-03 11:00:00Z;9,94375;0;3
2005-11-04 11:00:00Z;8,5;0;3
2005-11-05 11:00:00Z;7,458333;0;3
2005-11-06 11:00:00Z;6,55625;0;3
2005-11-07 11:00:00Z;7,910417;0;3
2005-11-08 11:00:00Z;7,858333;0;3
2005-11-09 11:00:00Z;5,24375;0;3
2005-11-10 11:00:00Z;6,129167;0;3
2005-11-11 11:00:00Z;5,579167;0;3
2005-11-12 11:00:00Z;9,241667;0;3
2005-11-13 11:00:00Z;5,377083;0;3
2005-11-14 11:00:00Z;6,35;0;3
2005-11-15 11:00:00Z;1,845833;0;3
2005-11-16 11:00:00Z;0,33125;0;3
2005-11-17 11:00:00Z;0,6145833;0;3
2005-11-18 11:00:00Z;0,5869565;0;3
2005-11-19 11:00:00Z;0,65;0;3
2005-11-20 11:00:00Z;1,464583;0;3
2005-11-21 11:00:00Z;2,808333;0;3
2005-11-22 11:00:00Z;4,489583;0;3
2005-11-23 11:00:00Z;4,954167;0;3
2005-11-24 11:00:00Z;3,647917;0;3
2005-11-25 11:00:00Z;0,2645833;0;3
2005-11-26 11:00:00Z;-1,504167;0;3
2005-11-27 11:00:00Z;-1,991667;0;3
2005-11-28 11:00:00Z;-1,785417;0;3
2005-11-29 11:00:00Z;-1,839583;0;3
2005-11-30 11:00:00Z;-1,95625;0;3
2005-12-01 11:00:00Z;-1,00625;0;3
2005-12-02 11:00:00Z;0,9326087;0;3
2005-12-03 11:00:00Z;-0,3208333;0;3
2005-12-04 11:00:00Z;4,027083;0;3
2005-12-05 11:00:00Z;1,004167;0;3
2005-12-06 11:00:00Z;-0,5;0;3
2005-12-07 11:00:00Z;-1,491667;0;3
2005-12-08 11:00:00Z;-3,220833;0;3
2005-12-09 11:00:00Z;-1,46087;0;3
2005-12-10 11:00:00Z;1,71875;0;3
2005-12-11 11:00:00Z;4,635417;0;3
2005-12-12 11:00:00Z;4,214583;0;3
2005-12-13 11:00:00Z;3,097917;0;3
2005-12-14 11:00:00Z;2,891667;0;3
2005-12-15 11:00:00Z;1,9;0;3
2005-12-16 11:00:00Z;-0,8666667;0;3
2005-12-17 11:00:00Z;-0,9291667;0;3
2005-12-18 11:00:00Z;-0,9895833;0;3
2005-12-19 11:00:00Z;-0,9847826;0;3
2005-12-20 11:00:00Z;-0,5666667;0;3
2005-12-21 11:00:00Z;1,34375;0;3
2005-12-22 11:00:00Z;1,939583;0;3
2005-12-23 11:00:00Z;1,326087;0;3
2005-12-24 11:00:00Z;2,96875;0;3
2005-12-25 11:00:00Z;2,533333;0;3
2005-12-26 11:00:00Z;-1,316667;0;3
2005-12-27 11:00:00Z;-5,902083;0;3
2005-12-28 11:00:00Z;-7,74375;0;3
2005-12-29 11:00:00Z;-7,09375;0;3
2005-12-30 11:00:00Z;-3,972917;0;3
2005-12-31 11:00:00Z;1,583333;0;3
2006-01-01 11:00:00Z;-4,7125;0;3
2006-01-02 11:00:00Z;-1,60625;0;3
2006-01-03 11:00:00Z;-0,55;0;3
2006-01-04 11:00:00Z;-0,86875;0;3
2006-01-05 11:00:00Z;-3,48125;0;3
2006-01-06 11:00:00Z;-5,708696;0;3
2006-01-07 11:00:00Z;;0;3
2006-01-08 11:00:00Z;;0;3
2006-01-09 11:00:00Z;;0;3
2006-01-10 11:00:00Z;3,730556;0;3
2006-01-11 11:00:00Z;5,49375;0;3
2006-01-12 11:00:00Z;3,179167;0;3
2006-01-13 11:00:00Z;4,006522;0;3
2006-01-14 11:00:00Z;;0;3
2006-01-15 11:00:00Z;;0;3
2006-01-16 11:00:00Z;;0;3
2006-01-17 11:00:00Z;;0;3
