#Nordre Oldevatn, 88.30.0, Lufttemperatur, dogn
Tidspunkt;Lufttemperatur (°C);Korrigert;Kontrollert
2006-05-16 11:00:00Z;7,4625;0;3
2006-05-17 11:00:00Z;10,71458;0;3
2006-05-18 11:00:00Z;10,13125;0;3
2006-05-19 11:00:00Z;13,14792;0;3
2006-05-20 11:00:00Z;12,41042;0;3
2006-05-21 11:00:00Z;10,54792;0;3
2006-05-22 11:00:00Z;11,37708;0;3
2006-05-23 11:00:00Z;8,016666;0;3
2006-05-24 11:00:00Z;9,783334;0;3
2006-05-25 11:00:00Z;8,527083;0;3
2006-05-26 11:00:00Z;9,129167;0;3
2006-05-27 11:00:00Z;9,96875;0;3
2006-05-28 11:00:00Z;11,57917;0;3
2006-05-29 11:00:00Z;10,88958;0;3
2006-05-30 11:00:00Z;10,71667;0;3
2006-05-31 11:00:00Z;8,666667;0;3
2006-06-01 11:00:00Z;9,85;0;3
2006-06-02 11:00:00Z;9,685416;0;3
2006-06-03 11:00:00Z;8,2;0;3
2006-06-04 11:00:00Z;8,90625;0;3
2006-06-05 11:00:00Z;11,21087;0;3
2006-06-06 11:00:00Z;12,78333;0;3
2006-06-07 11:00:00Z;12,26667;0;3
2006-06-08 11:00:00Z;13,00417;0;3
2006-06-09 11:00:00Z;13,48542;0;3
2006-06-10 11:00:00Z;16,49375;0;3
2006-06-11 11:00:00Z;18,3125;0;3
2006-06-12 11:00:00Z;19,71042;0;3
2006-06-13 11:00:00Z;18,6875;0;3
2006-06-14 11:00:00Z;10,87917;0;3
2006-06-15 11:00:00Z;12,18125;0;3
2006-06-16 11:00:00Z;15,00417;0;3
2006-06-17 11:00:00Z;15,56875;0;3
2006-06-18 11:00:00Z;14,93958;0;3
2006-06-19 11:00:00Z;14,45625;0;3
2006-06-20 11:00:00Z;14,02708;0;3
2006-06-21 11:00:00Z;13,93333;0;3
2006-06-22 11:00:00Z;13,15417;0;3
2006-06-23 11:00:00Z;12,25417;0;3
2006-06-24 11:00:00Z;12,64375;0;3
2006-06-25 11:00:00Z;12,26875;0;3
2006-06-26 11:00:00Z;13,90833;0;3
2006-06-27 11:00:00Z;14,79375;0;3
2006-06-28 11:00:00Z;15,02083;0;3
2006-06-29 11:00:00Z;14,92292;0;3
2006-06-30 11:00:00Z;17,49792;0;3
2006-07-01 11:00:00Z;17,1125;0;3
2006-07-02 11:00:00Z;18,73125;0;3
2006-07-03 11:00:00Z;16,97292;0;3
2006-07-04 11:00:00Z;18,05833;0;3
2006-07-05 11:00:00Z;18,8125;0;3
2006-07-06 11:00:00Z;20,02708;0;3
2006-07-07 11:00:00Z;17,43125;0;3
2006-07-08 11:00:00Z;14,75625;0;3
2006-07-09 11:00:00Z;12,70625;0;3
2006-07-10 11:00:00Z;14,79375;0;3
2006-07-11 11:00:00Z;13,17708;0;3
2006-07-12 11:00:00Z;13,79583;0;3
2006-07-13 11:00:00Z;11,77083;0;3
2006-07-14 11:00:00Z;11,49375;0;3
2006-07-15 11:00:00Z;12,94792;0;3
2006-07-16 11:00:00Z;16,15;0;3
2006-07-17 11:00:00Z;14,40625;0;3
2006-07-18 11:00:00Z;14,76667;0;3
2006-07-19 11:00:00Z;15,75417;0;3
2006-07-20 11:00:00Z;17,23125;0;3
2006-07-21 11:00:00Z;18,725;0;3
2006-07-22 11:00:00Z;18,99792;0;3
2006-07-23 11:00:00Z;18,50417;0;3
2006-07-24 11:00:00Z;18,29375;0;3
2006-07-25 11:00:00Z;18,5625;0;3
