date,PEAK
2011-01-01 00:00:00,20979.959
2011-01-01 01:00:00,20982.695
2011-01-01 02:00:00,20983.158
2011-01-01 03:00:00,20986.818
2011-01-01 04:00:00,20989.738
2011-01-01 05:00:00,20991.145
2011-01-01 06:00:00,20991.684
2011-01-01 07:00:00,20992.238
2011-01-01 08:00:00,20992.3
2011-01-01 09:00:00,20994.732
2011-01-01 10:00:00,20996.693
2011-01-01 11:00:00,20999.299
2011-01-01 12:00:00,21001.904
2011-01-01 13:00:00,21004.4
2011-01-01 14:00:00,21006.154
2011-01-01 15:00:00,21008.42
2011-01-01 16:00:00,21009.625
2011-01-01 17:00:00,21011.438
2011-01-01 18:00:00,21011.615
2011-01-01 19:00:00,21012.312
2011-01-01 20:00:00,21012.809
2011-01-01 21:00:00,21016.223
2011-01-01 22:00:00,21018.594
2011-01-01 23:00:00,21020.13
2011-01-02 00:00:00,21020.773
2011-01-02 01:00:00,21021.021
2011-01-02 02:00:00,21022.518
2011-01-02 03:00:00,21022.908
2011-01-02 04:00:00,21023.809
2011-01-02 05:00:00,21024.572
2011-01-02 06:00:00,21025.11
2011-01-02 07:00:00,21026.393
2011-01-02 08:00:00,21028.36
2011-01-02 09:00:00,21029.188
2011-01-02 10:00:00,21029.188
2011-01-02 11:00:00,21029.188
2011-01-02 12:00:00,21029.188
2011-01-02 13:00:00,21029.627
2011-01-02 14:00:00,21030.393
2011-01-02 15:00:00,21030.393
2011-01-02 16:00:00,21030.393
2011-01-02 17:00:00,21030.393
2011-01-02 18:00:00,21030.393
2011-01-02 19:00:00,21030.393
2011-01-02 20:00:00,21030.719
2011-01-02 21:00:00,21031.162
2011-01-02 22:00:00,21031.166
2011-01-02 23:00:00,21032.023
2011-01-03 00:00:00,21032.389
2011-01-03 01:00:00,21032.389
2011-01-03 02:00:00,21032.389
2011-01-03 03:00:00,21032.389
2011-01-03 04:00:00,21032.389
2011-01-03 05:00:00,21032.389
2011-01-03 06:00:00,21033.783
2011-01-03 07:00:00,21035.346
2011-01-03 08:00:00,21036.908
2011-01-03 09:00:00,21038.574
2011-01-03 10:00:00,21040.244
2011-01-03 11:00:00,21042.766
2011-01-03 12:00:00,21044.912
2011-01-03 13:00:00,21047.01
2011-01-03 14:00:00,21049.658
2011-01-03 15:00:00,21052.812
2011-01-03 16:00:00,21054.953
2011-01-03 17:00:00,21056.418
2011-01-03 18:00:00,21058.922
2011-01-03 19:00:00,21060.938
2011-01-03 20:00:00,21062.639
2011-01-03 21:00:00,21063.443
2011-01-03 22:00:00,21063.443
2011-01-03 23:00:00,21032.389
2011-01-04 00:00:00,21063.443
2011-01-04 01:00:00,21063.443
2011-01-04 02:00:00,21063.443
2011-01-04 03:00:00,21063.738
2011-01-04 04:00:00,21065.162
2011-01-04 05:00:00,21065.535
2011-01-04 06:00:00,21065.535
2011-01-04 07:00:00,21065.535
2011-01-04 08:00:00,21065.535
2011-01-04 09:00:00,21065.535
2011-01-04 10:00:00,21065.535
2011-01-04 11:00:00,21065.535
2011-01-04 12:00:00,21065.535
2011-01-04 13:00:00,21065.535
2011-01-04 14:00:00,21065.535
2011-01-04 15:00:00,21065.535
2011-01-04 16:00:00,21065.535
2011-01-04 17:00:00,21065.535
2011-01-04 18:00:00,21065.535
2011-01-04 19:00:00,21065.535
2011-01-04 20:00:00,21065.535
2011-01-04 21:00:00,21065.535
2011-01-04 22:00:00,21065.535
2011-01-04 23:00:00,21065.535
2011-01-05 00:00:00,21065.535
2011-01-05 01:00:00,21065.535
2011-01-05 02:00:00,21065.535
2011-01-05 03:00:00,21065.535
2011-01-05 04:00:00,21065.535
2011-01-05 05:00:00,21065.535
2011-01-05 06:00:00,21065.535
2011-01-05 07:00:00,21065.535
2011-01-05 08:00:00,21065.535
2011-01-05 09:00:00,21065.535
2011-01-05 10:00:00,21065.535
2011-01-05 11:00:00,21065.535
2011-01-05 12:00:00,21065.535
2011-01-05 13:00:00,21065.535
2011-01-05 14:00:00,21065.535
2011-01-05 15:00:00,21065.535
2011-01-05 16:00:00,21065.535
2011-01-05 17:00:00,21066.816
2011-01-05 18:00:00,21066.824
2011-01-05 19:00:00,21066.824
2011-01-05 20:00:00,21067.828
2011-01-05 21:00:00,21069.4
2011-01-05 22:00:00,21070.934
2011-01-05 23:00:00,21072.402
2011-01-06 00:00:00,21092.266
2011-01-06 01:00:00,21093.893
2011-01-06 02:00:00,21093.898
2011-01-06 03:00:00,21093.898
2011-01-06 04:00:00,21094.812
2011-01-06 05:00:00,21095.48
2011-01-06 06:00:00,21095.48
2011-01-06 07:00:00,21096.873
2011-01-06 08:00:00,21097.791
2011-01-06 09:00:00,21098.602
2011-01-06 10:00:00,21101.658
2011-01-06 11:00:00,21105.89
2011-01-06 12:00:00,21073.91
2011-01-06 13:00:00,21075.5
