,date,MG,FL,OD,VS,SJ,PEAK
0,2009-01-01 00:00:00,5416.3735,6087.5215,7964.6045,5650.0415,6662.895,12509.942
1,2009-01-01 01:00:00,5416.3735,6087.5215,7964.5967,5650.0415,6662.895,12509.708
2,2009-01-01 02:00:00,5416.3735,6087.5215,7964.6494,5650.0415,6662.895,12510.209
3,2009-01-01 03:00:00,5416.3735,6087.5215,7964.914,5650.0415,6663.8765,12510.791
4,2009-01-01 04:00:00,5416.3735,6087.5215,7965.0864,5650.0415,6664.1323,12510.871
5,2009-01-01 05:00:00,5416.3735,6087.5215,7965.255,5650.0415,6664.4336,12511.24
6,2009-01-01 06:00:00,5416.3735,6087.5215,7965.4644,5650.0415,6664.4336,12511.401
7,2009-01-01 07:00:00,5416.3735,6087.5215,7965.6377,5650.0415,6665.116,12511.484
8,2009-01-01 08:00:00,5416.3735,6087.5215,7965.9233,5650.0415,6665.19,12511.699
9,2009-01-01 09:00:00,5416.3735,6087.5215,7965.9277,5650.0415,6665.19,12511.699
10,2009-01-01 10:00:00,5416.3735,6087.5215,7966.5317,5650.0415,6665.7485,12511.855
11,2009-01-01 11:00:00,5416.3735,6087.5215,7966.568,5650.0415,6666.4243,12512.017
12,2009-01-01 12:00:00,5416.3735,6087.5547,7966.568,5650.0415,6666.9575,12512.017
13,2009-01-01 13:00:00,5416.8037,6087.7803,7966.9272,5650.0415,6667.2085,12512.355
14,2009-01-01 14:00:00,5416.8037,6087.9736,7967.7217,5650.464,6667.6616,12512.949
15,2009-01-01 15:00:00,5416.8037,6087.9736,7968.178,5651.0664,6668.292,12513.403
16,2009-01-01 16:00:00,5416.8506,6088.3125,7968.7627,5651.442,6668.661,12514.18
17,2009-01-01 17:00:00,5416.878,6088.732,7968.9863,5651.8174,6669.269,12514.659
18,2009-01-01 18:00:00,5417.3193,6088.8003,7969.064,5651.8174,6669.294,12515.197
19,2009-01-01 19:00:00,5417.9453,6088.8003,7969.3564,5651.8174,6669.428,12515.758
20,2009-01-01 20:00:00,5418.0645,6088.8003,7970.0312,5652.395,6669.6807,12516.6045
21,2009-01-01 21:00:00,5418.2354,6088.8003,7970.0312,5652.577,6670.193,12516.6045
22,2009-01-01 22:00:00,5418.2354,6088.8003,7970.0312,5652.622,6670.193,12516.6045
23,2009-01-01 23:00:00,5416.2935,6087.5215,7964.5967,5650.003,6662.895,12509.708
24,2009-01-02 00:00:00,5418.96,6089.462,7972.19,5653.559,6675.6343,12521.688
