date,MG,FL,OD,VS,SJ
2009-01-01 00:00:00,5341.775,6082.8735,7920.2397,5562.4023,6626.637
2009-01-01 01:00:00,5341.775,6082.8735,7920.307,5562.4023,6626.673
2009-01-01 02:00:00,5341.775,6082.8735,7920.323,5562.4023,6626.6816
2009-01-01 03:00:00,5341.9395,6082.8735,7920.792,5562.4023,6626.6816
2009-01-01 04:00:00,5342.067,6082.8735,7920.792,5562.4023,6626.6816
2009-01-01 05:00:00,5342.067,6082.8735,7921.064,5562.4023,6626.6816
2009-01-01 06:00:00,5342.108,6082.8735,7921.064,5562.4023,6627.059
2009-01-01 07:00:00,5342.108,6082.8735,7921.5234,5562.4023,6627.2485
2009-01-01 08:00:00,5342.108,6082.8735,7921.622,5562.4023,6627.3623
2009-01-01 09:00:00,5342.108,6082.8735,7921.6313,5562.4023,6627.465
2009-01-01 10:00:00,5342.108,6082.8735,7922.3335,5562.4023,6628.084
2009-01-01 11:00:00,5342.108,6082.8735,7922.3335,5562.4023,6628.249
2009-01-01 12:00:00,5342.108,6082.8735,7922.8706,5562.527,6628.729
2009-01-01 13:00:00,5342.1206,6083.005,7923.5034,5562.7446,6628.949
2009-01-01 14:00:00,5342.142,6083.1724,7923.937,5562.932,6630.6987
2009-01-01 15:00:00,5342.4424,6083.2686,7924.569,5563.206,6631.7056
2009-01-01 16:00:00,5342.6606,6083.712,7924.828,5564.042,6632.2754
2009-01-01 17:00:00,5343.211,6083.931,7925.0176,5564.184,6632.2754
2009-01-01 18:00:00,5343.5146,6084.132,7925.6543,5564.324,6632.5884
2009-01-01 19:00:00,5343.63,6084.6772,7925.92,5564.8413,6632.8027
2009-01-01 20:00:00,5343.747,6084.8647,7925.92,5564.888,6633.668
2009-01-01 21:00:00,5343.747,6084.932,7925.92,5564.888,6634.28
2009-01-01 22:00:00,5343.747,6084.932,7925.92,5564.888,6634.665
2009-01-01 23:00:00,5344.1367,6084.932,7926.0503,5564.9478,6634.9614
2009-01-02 00:00:00,5344.404,6084.932,7926.0503,5564.9478,6634.9614
2009-01-02 01:00:00,5344.491,6084.932,7926.086,5564.9478,6635.19
2009-01-02 02:00:00,5344.491,6084.932,7926.9697,5564.9478,6635.19
2009-01-02 03:00:00,5344.491,6084.932,7927.242,5564.9478,6635.297
2009-01-02 04:00:00,5344.491,6084.932,7927.429,5564.9478,6635.9736
2009-01-02 05:00:00,5344.491,6084.932,7927.708,5564.9478,6636.3706
2009-01-02 06:00:00,5344.491,6084.932,7927.7563,5564.9478,6636.561
2009-01-02 07:00:00,5344.491,6084.932,7927.7744,5564.9478,6636.8594
2009-01-02 08:00:00,5344.491,6084.932,7927.993,5564.9478,6637.3784
2009-01-02 09:00:00,5344.494,6085.0356,7928.131,5564.9478,6639.1274
2009-01-02 10:00:00,5344.7095,6085.055,7928.151,5565.068,6640.7437
2009-01-02 11:00:00,5344.816,6085.2227,7928.174,5565.2314,6640.8237
2009-01-02 12:00:00,5344.874,6085.309,7928.174,5565.355,6641.0786
2009-01-02 13:00:00,5344.874,6085.3643,7928.385,5565.355,6641.195
2009-01-02 14:00:00,5344.942,6085.3794,7929.021,5565.464,6641.586
2009-01-02 15:00:00,5344.942,6085.3887,7929.0522,5565.479,6642.741
2009-01-02 16:00:00,5345.03,6085.6016,7929.162,5565.565,6643.0474
2009-01-02 17:00:00,5345.03,6086.059,7929.366,5565.7705,6643.091
2009-01-02 18:00:00,5345.099,6086.059,7929.8994,5565.807,6643.091
2009-01-02 19:00:00,5345.3564,6086.1147,7930.22,5565.9473,6643.188
2009-01-02 20:00:00,5345.4565,6086.1147,7930.22,5566.177,6643.319
2009-01-02 21:00:00,5345.5513,6086.208,7930.5293,5566.355,6643.4346
2009-01-02 22:00:00,5345.6426,6086.208,7930.887,5566.6606,6643.622
2009-01-02 23:00:00,5345.772,6086.412,7931.1895,5567.114,6644.575
2009-01-03 00:00:00,5346.1094,6086.7495,7932.118,5567.9287,6646.1226
2009-01-03 01:00:00,5346.5996,6087.3726,7933.0386,5568.9194,6648.6646
2009-01-03 02:00:00,5347.573,6088.2637,7934.5195,5569.7466,6649.085
2009-01-03 03:00:00,5348.4976,6088.7627,7934.562,5570.601,6650.0605
2009-01-03 04:00:00,5349.4624,6088.7627,7934.6475,5570.601,6650.382
2009-01-03 05:00:00,5350.4126,6088.913,7935.8125,5571.154,6651.0957
2009-01-03 06:00:00,5350.692,6089.1367,7935.892,5571.186,6651.8506
2009-01-03 07:00:00,5350.865,6089.1367,7936.744,5571.615,6652.006
2009-01-03 08:00:00,5350.8945,6089.1367,7936.912,5571.615,6652.006
2009-01-03 09:00:00,5351.2285,6089.2983,7938.0054,5572.115,6654.402
2009-01-03 10:00:00,5351.2285,6089.3384,7938.0054,5572.115,6654.4165
2009-01-03 11:00:00,5351.2285,6089.3384,7938.0054,5572.115,6654.516
2009-01-03 12:00:00,5351.2285,6089.3384,7938.0054,5572.115,6654.9326
2009-01-03 13:00:00,5351.2285,6089.3384,7938.0054,5572.115,6655.2983
2009-01-03 14:00:00,5351.2285,6089.3384,7938.145,5572.115,6655.403
2009-01-03 15:00:00,5351.2285,6089.385,7938.145,5572.2993,6655.403
2009-01-03 16:00:00,5351.2285,6089.385,7938.145,5572.2993,6655.403
2009-01-03 17:00:00,5351.2285,6089.385,7938.145,5572.2993,6655.403
2009-01-03 18:00:00,5351.2285,6089.385,7938.145,5572.2993,6655.403
2009-01-03 19:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.403
2009-01-03 20:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-03 21:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-03 22:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-03 23:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 00:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 01:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 02:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 03:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 04:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 05:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 06:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 07:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 08:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 09:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 10:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 11:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 12:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 13:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 14:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 15:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 16:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 17:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
2009-01-04 18:00:00,5351.2285,6089.385,7938.382,5572.2993,6655.486
