,date,MG,FL,OD,VS,SJ,PEAK
0,2019-01-01 00:00:00,21213.518,23548.844,30232.31,22721.428,25274.412,52421.773
1,2019-01-01 01:00:00,21214.91,23550.906,30232.488,22721.707,25275.744,52425.8
2,2019-01-01 02:00:00,21216.867,23552.674,30234.637,22723.135,25277.77,52430.72
3,2019-01-01 03:00:00,21219.205,23554.492,30235.352,22724.453,25280.443,52433.223
4,2019-01-01 04:00:00,21219.523,23554.764,30236.877,22726.436,25280.943,52436.855
5,2019-01-01 05:00:00,21220.016,23555.545,30237.55,22726.549,25280.943,52436.855
6,2019-01-01 06:00:00,21220.016,23556.633,30237.55,22726.646,25281.84,52439.58
7,2019-01-01 07:00:00,21221.29,23556.633,30238.506,22727.895,25283.85,52440.062
8,2019-01-01 08:00:00,21223.078,23556.633,30240.145,22728.59,25283.947,52440.062
9,2019-01-01 09:00:00,21223.078,23557.033,30240.162,22728.617,25285.877,52440.863
10,2019-01-01 10:00:00,21224.139,23558.307,30240.422,22728.734,25286.303,52441.375
11,2019-01-01 11:00:00,21224.58,23558.723,30241.012,22729.346,25287.46,52443.117
12,2019-01-01 12:00:00,21225.066,23558.723,30241.012,22729.824,25290.195,52444.69
13,2019-01-01 13:00:00,21225.066,23559.254,30242.143,22730.174,25290.61,52445.566
14,2019-01-01 14:00:00,21225.896,23560.727,30243.852,22730.564,25291.748,52448.21
15,2019-01-01 15:00:00,21229.28,23561.941,30244.537,22730.746,25294.072,52449.035
16,2019-01-01 16:00:00,21230.596,23562.607,30246.348,22731.008,25295.318,52450.367
17,2019-01-01 17:00:00,21207.486,23537.186,30221.977,22715.584,25267.521,52396.54
18,2019-01-01 18:00:00,21208.318,23538.826,30223.424,22716.627,25268.795,52400.53
19,2019-01-01 19:00:00,21208.72,23540.21,30224.973,22717.78,25269.375,52402.496
20,2019-01-01 20:00:00,21208.863,23541.402,30226.047,22718.045,25269.506,52405.816
21,2019-01-01 21:00:00,21209.967,23543.443,30228.77,22718.977,25270.26,52410.066
22,2019-01-01 22:00:00,21210.12,23545.729,30230.129,22719.82,25270.467,52413.418
