,date,MG,FL,OD,VS,SJ,PEAK
0,2021-01-01 00:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
1,2021-01-01 01:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
2,2021-01-01 02:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
3,2021-01-01 03:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
4,2021-01-01 04:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
5,2021-01-01 05:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
6,2021-01-01 06:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
7,2021-01-01 07:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
8,2021-01-01 08:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
9,2021-01-01 09:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
10,2021-01-01 10:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
11,2021-01-01 11:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
12,2021-01-01 12:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
13,2021-01-01 13:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
14,2021-01-01 14:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
15,2021-01-01 15:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
16,2021-01-01 16:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
17,2021-01-01 17:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
18,2021-01-01 18:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
19,2021-01-01 19:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
20,2021-01-01 20:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
21,2021-01-01 21:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
22,2021-01-01 22:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
23,2021-01-01 23:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
24,2021-01-02 00:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
25,2021-01-02 01:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
26,2021-01-02 02:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
27,2021-01-02 03:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
28,2021-01-02 04:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
29,2021-01-02 05:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
30,2021-01-02 06:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
31,2021-01-02 07:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
32,2021-01-02 08:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
33,2021-01-02 09:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
34,2021-01-02 10:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
35,2021-01-02 11:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
36,2021-01-02 12:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
37,2021-01-02 13:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
38,2021-01-02 14:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
39,2021-01-02 15:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
40,2021-01-02 16:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
41,2021-01-02 17:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
42,2021-01-02 18:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
43,2021-01-02 19:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
44,2021-01-02 20:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
45,2021-01-02 21:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
46,2021-01-02 22:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
47,2021-01-02 23:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
48,2021-01-03 00:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
49,2021-01-03 01:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
50,2021-01-03 02:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
51,2021-01-03 03:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
52,2021-01-03 04:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
53,2021-01-03 05:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
54,2021-01-03 06:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
55,2021-01-03 07:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
56,2021-01-03 08:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
57,2021-01-03 09:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
58,2021-01-03 10:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
59,2021-01-03 11:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
60,2021-01-03 12:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
61,2021-01-03 13:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
62,2021-01-03 14:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
63,2021-01-03 15:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
64,2021-01-03 16:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
65,2021-01-03 17:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
66,2021-01-03 18:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
67,2021-01-03 19:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
68,2021-01-03 20:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
69,2021-01-03 21:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
70,2021-01-03 22:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
71,2021-01-03 23:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
72,2021-01-04 00:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
73,2021-01-04 01:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
74,2021-01-04 02:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
75,2021-01-04 03:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
76,2021-01-04 04:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
77,2021-01-04 05:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
78,2021-01-04 06:00:00,24199.975,26991.346,34538.523,26489.94,29331.744,59896.02
