date,MG,FL,OD,VS,SJ
2007-01-01 00:00:00,1528.2076,1738.255,2369.2668,1591.1194,1814.458
2007-01-01 01:00:00,1528.3186,1738.3943,2369.2725,1591.4078,1814.5049
2007-01-01 02:00:00,1528.3204,1738.4094,2369.2725,1591.4235,1814.5049
2007-01-01 03:00:00,1528.3982,1738.4825,2369.2725,1591.4807,1814.51
2007-01-01 04:00:00,1528.8672,1738.7106,2369.2725,1592.8948,1814.5376
2007-01-01 05:00:00,1529.3829,1738.7106,2369.2725,1593.0121,1814.5376
2007-01-01 06:00:00,1529.3829,1738.7106,2369.2725,1593.0121,1814.5376
2007-01-01 07:00:00,1529.3829,1738.7106,2369.2725,1593.0121,1814.5376
2007-01-01 08:00:00,1529.3829,1738.7106,2369.2725,1593.0121,1814.5376
2007-01-01 09:00:00,1529.3829,1738.7106,2369.2725,1593.0121,1814.5376
2007-01-01 10:00:00,1529.3829,1738.7106,2369.2725,1593.0121,1814.5376
2007-01-01 11:00:00,1529.3829,1738.7106,2369.2725,1593.0121,1814.5376
2007-01-01 12:00:00,1529.3829,1738.7106,2369.2747,1593.0121,1814.5376
2007-01-01 13:00:00,1529.3973,1738.8405,2370.0894,1593.0121,1815.4963
2007-01-01 14:00:00,1529.6346,1738.9218,2371.0132,1593.8176,1816.0403
2007-01-01 15:00:00,1530.4656,1739.3241,2371.4124,1594.3115,1817.2245
2007-01-01 16:00:00,1530.4656,1739.3241,2371.4473,1594.3115,1817.5853
2007-01-01 17:00:00,1530.5616,1739.7921,2371.4568,1594.7245,1817.6268
2007-01-01 18:00:00,1530.5697,1739.7921,2371.4568,1594.7245,1817.6287
2007-01-01 19:00:00,1530.5908,1739.7933,2371.7349,1594.7346,1818.0067
2007-01-01 20:00:00,1530.7897,1740.4069,2371.7844,1594.9336,1818.4657
2007-01-01 21:00:00,1530.8064,1740.6305,2373.0735,1595.0815,1819.0925
2007-01-01 22:00:00,1531.233,1740.7493,2373.9167,1595.3242,1821.2646
2007-01-01 23:00:00,1531.5054,1740.8274,2374.343,1595.5142,1821.9961
2007-01-02 00:00:00,1541.6957,1748.9152,2388.2644,1601.6047,1836.312
2007-01-02 01:00:00,1539.5463,1747.7869,2386.0703,1601.0392,1835.1929
2007-01-02 02:00:00,1543.4548,1749.5767,2389.8389,1601.9698,1836.8378
2007-01-02 03:00:00,1544.6335,1750.4996,2390.8337,1603.1115,1839.3824
2007-01-02 04:00:00,1546.0844,1751.0122,2391.5671,1603.8978,1842.5267
2007-01-02 05:00:00,1546.4719,1752.0626,2391.6108,1605.6482,1844.1483
2007-01-02 06:00:00,1546.8357,1752.6809,2392.8267,1606.3191,1846.2153
2007-01-02 07:00:00,1548.4316,1752.8524,2393.9434,1606.7253,1846.7806
2007-01-02 08:00:00,1548.8171,1753.0063,2395.814,1607.2487,1847.3999
2007-01-02 09:00:00,1549.3035,1753.3662,2396.7158,1607.5638,1848.8606
2007-01-02 10:00:00,1549.8944,1753.3795,2396.9316,1608.3258,1848.8705
2007-01-02 11:00:00,1550.2212,1753.3795,2396.9807,1608.8462,1848.8757
2007-01-02 12:00:00,1550.351,1753.3846,2397.0627,1609.086,1849.6572
2007-01-02 13:00:00,1550.3956,1753.4705,2397.355,1609.3375,1849.7648
2007-01-02 14:00:00,1531.8881,1740.9811,2375.3845,1595.6069,1822.2445
2007-01-02 15:00:00,1531.9292,1741.7546,2375.7861,1596.3339,1823.8502
2007-01-02 16:00:00,1532.3607,1743.108,2376.2102,1597.0221,1825.0812
2007-01-02 17:00:00,1532.3951,1744.239,2376.2534,1597.4395,1825.3174
2007-01-02 18:00:00,1532.6163,1745.2416,2376.882,1598.1344,1826.8374
2007-01-02 19:00:00,1533.4229,1746.1426,2378.796,1598.945,1828.4731
2007-01-02 20:00:00,1533.5385,1746.1488,2379.048,1599.3567,1829.497
2007-01-02 21:00:00,1533.9636,1746.277,2380.6843,1599.583,1830.5825
2007-01-02 22:00:00,1535.0778,1746.7181,2382.3782,1599.8424,1832.1674
2007-01-02 23:00:00,1536.9713,1747.5999,2384.4856,1600.7894,1833.726
2007-01-03 00:00:00,1567.8763,1779.5393,2416.556,1627.6671,1862.0693
2007-01-03 01:00:00,1550.5063,1753.5173,2397.6526,1609.5602,1850.6053
2007-01-03 02:00:00,1550.552,1753.6042,2397.6653,1609.6484,1850.6229
2007-01-03 03:00:00,1550.6819,1753.7643,2398.2861,1609.704,1851.0746
2007-01-03 04:00:00,1550.8417,1753.8104,2398.7703,1609.7289,1851.3241
2007-01-03 05:00:00,1551.0984,1753.8115,2398.7808,1609.7688,1851.779
2007-01-03 06:00:00,1551.1466,1753.927,2398.9705,1609.8182,1852.069
2007-01-03 07:00:00,1551.148,1753.927,2399.2607,1609.8792,1852.069
2007-01-03 08:00:00,1551.148,1753.927,2399.2607,1609.8795,1852.0696
2007-01-03 09:00:00,1551.148,1753.927,2399.2607,1609.8827,1852.2616
2007-01-03 10:00:00,1551.148,1753.927,2399.2607,1609.8827,1852.2778
2007-01-03 11:00:00,1551.148,1753.9326,2399.2646,1609.884,1852.4072
2007-01-03 12:00:00,1551.151,1754.0199,2399.2927,1609.9537,1852.4609
2007-01-03 13:00:00,1551.217,1754.4366,2399.2942,1610.0309,1852.5424
2007-01-03 14:00:00,1551.7126,1755.8776,2399.3188,1610.5948,1853.1467
2007-01-03 15:00:00,1552.9233,1757.8989,2399.6416,1612.0131,1853.921
2007-01-03 16:00:00,1554.3939,1760.5461,2400.657,1613.4602,1854.9882
2007-01-03 17:00:00,1556.3488,1763.2354,2403.86,1615.7389,1856.1353
2007-01-03 18:00:00,1558.4108,1765.7928,2407.1675,1617.2571,1857.1987
2007-01-03 19:00:00,1560.4182,1769.1942,2410.9973,1619.2645,1858.814
2007-01-03 20:00:00,1562.6559,1772.4061,2413.626,1621.8132,1859.6968
2007-01-03 21:00:00,1565.3733,1775.5868,2414.5623,1622.907,1859.8821
2007-01-03 22:00:00,1566.586,1777.7931,2415.215,1624.6562,1860.2354
2007-01-03 23:00:00,1567.3922,1778.3794,2415.5469,1625.485,1861.0842
2007-01-04 00:00:00,1568.8248,1781.3549,2418.4878,1630.2032,1863.0464
2007-01-04 01:00:00,1571.1722,1785.7019,2420.551,1633.7793,1864.0123
2007-01-04 02:00:00,1573.5576,1790.6354,2422.352,1637.568,1864.4979
2007-01-04 03:00:00,1576.0096,1792.626,2423.2114,1641.1022,1864.705
2007-01-04 04:00:00,1577.0356,1793.3412,2424.9434,1642.4146,1865.3337
2007-01-04 05:00:00,1577.3208,1793.648,2426.668,1643.2538,1865.9731
2007-01-04 06:00:00,1577.3986,1793.7294,2427.835,1643.6168,1866.9113
2007-01-04 07:00:00,1577.5458,1793.849,2428.4956,1643.8473,1868.2667
2007-01-04 08:00:00,1577.701,1793.8912,2428.9536,1644.147,1869.1138
2007-01-04 09:00:00,1577.7972,1794.109,2429.2214,1644.3217,1869.4316
2007-01-04 10:00:00,1577.9288,1794.7113,2429.28,1644.6897,1869.998
2007-01-04 11:00:00,1578.0266,1795.0002,2429.3816,1644.8492,1870.3007
2007-01-04 12:00:00,1578.0415,1795.1399,2429.5605,1644.959,1870.8597
2007-01-04 13:00:00,1578.0989,1795.3049,2429.9038,1645.1248,1871.2817
2007-01-04 14:00:00,1578.1769,1795.4026,2430.061,1645.2102,1871.4633
2007-01-04 15:00:00,1578.2877,1795.5543,2430.4148,1645.268,1871.7865
2007-01-04 16:00:00,1578.4669,1795.7125,2431.1401,1645.268,1872.1061
2007-01-04 17:00:00,1578.5822,1795.723,2432.0803,1645.268,1872.1981
2007-01-04 18:00:00,1578.8917,1795.7516,2432.1787,1645.3372,1872.2817
2007-01-04 19:00:00,1579.1285,1795.8088,2432.5334,1645.3523,1873.4408
2007-01-04 20:00:00,1579.8008,1795.9022,2432.8892,1645.4475,1875.4365
2007-01-04 21:00:00,1580.196,1796.0656,2433.229,1645.5109,1876.4583
2007-01-04 22:00:00,1580.5996,1796.1823,2433.4749,1645.5372,1876.5659
2007-01-04 23:00:00,1580.6378,1796.189,2433.8132,1645.5419,1877.6337
2007-01-05 00:00:00,1583.156,1801.2188,2435.0227,1647.4366,1879.4149
2007-01-05 01:00:00,1582.2369,1799.4436,2434.2656,1646.8851,1878.9119
2007-01-05 02:00:00,1584.6569,1803.391,2436.1956,1648.2542,1879.9048
2007-01-05 03:00:00,1586.1705,1805.5902,2438.1987,1649.4421,1881.3667
2007-01-05 04:00:00,1587.9675,1807.6635,2441.6152,1650.7161,1884.2797
2007-01-05 05:00:00,1590.3075,1809.0146,2444.9077,1652.8457,1884.4487
2007-01-05 06:00:00,1592.2855,1809.0931,2445.812,1653.1648,1884.5895
2007-01-05 07:00:00,1592.5486,1809.4396,2447.1719,1654.0609,1886.5825
2007-01-05 08:00:00,1595.1517,1810.4353,2450.2007,1654.6171,1887.0104
2007-01-05 09:00:00,1580.9147,1796.2095,2433.8206,1645.5508,1877.6337
2007-01-05 10:00:00,1580.9147,1796.2095,2433.8206,1645.5508,1877.6337
2007-01-05 11:00:00,1580.9147,1796.2095,2433.9429,1645.5508,1877.7676
2007-01-05 12:00:00,1580.9147,1796.2095,2434.021,1645.5968,1877.8627
2007-01-05 13:00:00,1580.9263,1796.2095,2434.021,1645.5968,1878.0951
2007-01-05 14:00:00,1580.9279,1796.2095,2434.021,1645.5968,1878.1366
2007-01-05 15:00:00,1580.9279,1796.2095,2434.0234,1645.5968,1878.2474
2007-01-05 16:00:00,1580.943,1796.2107,2434.0376,1645.5968,1878.2556
2007-01-05 17:00:00,1580.961,1796.2107,2434.0376,1645.5968,1878.2556
2007-01-05 18:00:00,1580.961,1796.2107,2434.0376,1645.5968,1878.2556
2007-01-05 19:00:00,1580.961,1796.2107,2434.0376,1645.5968,1878.282
2007-01-05 20:00:00,1580.961,1796.2107,2434.0376,1645.5968,1878.2833
2007-01-05 21:00:00,1580.961,1796.25,2434.0376,1645.613,1878.2843
2007-01-05 22:00:00,1581.2684,1797.33,2434.0603,1646.0092,1878.4302
2007-01-05 23:00:00,1581.8004,1798.3446,2434.0981,1646.4961,1878.694
2007-01-06 00:00:00,1597.8499,1811.5765,2451.7488,1655.6351,1888.3113
2007-01-06 01:00:00,1598.6575,1812.5322,2452.4773,1656.8854,1888.9126
2007-01-06 02:00:00,1599.5603,1812.6135,2453.7986,1657.2906,1889.1073
2007-01-06 03:00:00,1599.7805,1812.8816,2454.4192,1657.9594,1889.1241
2007-01-06 04:00:00,1599.8142,1813.3583,2455.3535,1658.7335,1889.2551
2007-01-06 05:00:00,1599.9384,1814.321,2456.7976,1659.7334,1889.3923
2007-01-06 06:00:00,1599.9833,1814.5201,2458.334,1661.2101,1889.5438
2007-01-06 07:00:00,1600.6953,1815.0703,2461.5635,1661.6812,1890.5371
