date,MG,FL,OD,VS,SJ
2017-01-01 00:00:00,17846.379,19328.84,26147.4,18908.55,21550.904
2017-01-01 01:00:00,17834.842,19322.58,26132.092,18900.893,21537.191
2017-01-01 02:00:00,17834.885,19322.846,26134.639,18901.867,21539.154
2017-01-01 03:00:00,17838.102,19323.021,26138.906,18903.158,21539.46
2017-01-01 04:00:00,17841.588,19323.406,26140.715,18904.115,21541.484
2017-01-01 05:00:00,17843.498,19325.793,26142.287,18906.947,21546.574
2017-01-01 06:00:00,17845.275,19327.652,26144.545,18908.006,21548.588
2017-01-01 07:00:00,17845.74,19328.84,26147.4,18908.219,21549.27
2017-01-01 08:00:00,17847.527,19329.54,26147.4,18909.125,21551.734
2017-01-01 09:00:00,17848.71,19330.53,26147.791,18909.125,21553.023
2017-01-01 10:00:00,17850.854,19331.361,26151.598,18910.297,21554.902
2017-01-01 11:00:00,17851.85,19332.016,26152.775,18912.514,21555.684
2017-01-01 12:00:00,17834.842,19322.58,26129.018,18900.818,21536.81
2017-01-01 13:00:00,17834.842,19322.58,26133.816,18901.307,21537.734
2017-01-01 14:00:00,17836.447,19323.021,26138.42,18902.639,21539.281
2017-01-01 15:00:00,17839.572,19323.021,26139.096,18903.158,21539.547
2017-01-01 16:00:00,17842.578,19325.12,26142.277,18905.568,21545.195
2017-01-01 17:00:00,17845.014,19326.344,26142.479,18907.63,21547.623
2017-01-01 18:00:00,17845.492,19328.783,26146.838,18908.219,21548.904
2017-01-01 19:00:00,17846.828,19329.312,26147.4,18908.842,21551.527
2017-01-01 20:00:00,17847.764,19329.725,26147.482,18909.125,21552.092
2017-01-01 21:00:00,17849.518,19330.883,26149.158,18909.432,21553.45
2017-01-01 22:00:00,17851.441,19331.89,26151.959,18911.057,21555.672
2017-01-01 23:00:00,17852.318,19332.016,26152.775,18912.734,21558.41
2017-01-02 00:00:00,17855.146,19334.727,26156.414,18916.654,21561.695
2017-01-02 01:00:00,17855.146,19334.727,26156.414,18916.654,21561.695
2017-01-02 02:00:00,17855.146,19334.727,26157.25,18916.654,21561.695
2017-01-02 03:00:00,17855.146,19334.727,26157.25,18916.654,21561.695
2017-01-02 04:00:00,17855.146,19334.727,26157.254,18916.654,21561.783
2017-01-02 05:00:00,17855.146,19334.727,26157.283,18916.654,21561.783
2017-01-02 06:00:00,17855.146,19334.727,26157.361,18916.654,21561.783
2017-01-02 07:00:00,17855.16,19334.727,26157.361,18916.654,21561.783
2017-01-02 08:00:00,17855.16,19334.727,26157.361,18916.654,21561.783
