date,MG,FL,OD,VS,SJ
2019-01-01 00:00:00,21713.9,23593.781,31508.41,23556.508,25494.807
2019-01-01 01:00:00,21714.416,23595.4,31509.941,23557.662,25496.28
2019-01-01 02:00:00,21715.125,23596.732,31511.31,23558.48,25497.13
2019-01-01 03:00:00,21715.707,23598.205,31512.098,23559.201,25497.467
2019-01-01 04:00:00,21717.133,23600.367,31515.023,23560.96,25499.096
2019-01-01 05:00:00,21717.344,23603.725,31516.2,23562.025,25499.918
2019-01-01 06:00:00,21719.453,23605.693,31517.455,23562.916,25502.016
2019-01-01 07:00:00,21721.227,23606.568,31518.223,23563.84,25505.057
2019-01-01 08:00:00,21722.795,23608.63,31518.588,23564.143,25506.441
2019-01-01 09:00:00,21724.953,23610.324,31521.756,23566.771,25508.33
2019-01-01 10:00:00,21727.164,23611.47,31522.426,23567.807,25510.867
2019-01-01 11:00:00,21728.83,23611.758,31523.43,23569.264,25511.385
2019-01-01 12:00:00,21729.648,23612.586,31525.074,23570.701,25511.508
2019-01-01 13:00:00,21729.762,23613.992,31525.227,23571.168,25512.021
2019-01-01 14:00:00,21731.758,23614.25,31526.617,23571.451,25512.307
2019-01-01 15:00:00,21733.717,23614.69,31527.07,23572.684,25512.645
2019-01-01 16:00:00,21735.12,23615.365,31527.416,23573.03,25514.06
2019-01-01 17:00:00,21736.426,23615.658,31527.656,23573.574,25514.518
2019-01-01 18:00:00,21737.37,23616.188,31528.01,23574.627,25515.344
2019-01-01 19:00:00,21737.666,23616.469,31528.193,23574.676,25516.26
2019-01-01 20:00:00,21737.693,23617.053,31528.598,23574.69,25518.057
2019-01-01 21:00:00,21738.176,23618.992,31530.008,23575.744,25519.232
2019-01-01 22:00:00,21739.525,23619.836,31532.81,23576.15,25520.941
2019-01-01 23:00:00,21739.79,23620.209,31535.293,23577.37,25522.775
2019-01-02 00:00:00,21741.562,23620.855,31536.406,23578.383,25523.475
2019-01-02 01:00:00,21743.041,23620.91,31537.14,23579.062,25525.459
2019-01-02 02:00:00,21743.617,23620.914,31537.14,23579.062,25525.459
2019-01-02 03:00:00,21743.926,23620.914,31537.14,23579.062,25526.932
2019-01-02 04:00:00,21743.926,23620.986,31537.344,23579.062,25529.041
2019-01-02 05:00:00,21743.926,23620.986,31537.344,23579.062,25529.049
2019-01-02 06:00:00,21743.926,23620.986,31537.344,23579.062,25529.479
2019-01-02 07:00:00,21744.11,23620.986,31537.344,23579.062,25529.479
2019-01-02 08:00:00,21744.11,23620.986,31537.344,23579.062,25529.479
2019-01-02 09:00:00,21744.11,23620.986,31537.344,23579.062,25529.799
2019-01-02 10:00:00,21744.11,23621.002,31537.5,23579.258,25530.4
2019-01-02 11:00:00,21744.11,23621.002,31537.664,23579.258,25530.63
2019-01-02 12:00:00,21744.11,23621.002,31538.043,23579.258,25531.43
2019-01-02 13:00:00,21744.11,23621.158,31538.44,23579.258,25531.566
2019-01-02 14:00:00,21744.11,23621.158,31538.44,23579.258,25532.541
2019-01-02 15:00:00,21744.11,23621.158,31538.44,23579.258,25532.734
2019-01-02 16:00:00,21744.11,23621.158,31538.44,23579.258,25533.72
2019-01-02 17:00:00,21744.11,23621.158,31538.44,23579.258,25534.178
2019-01-02 18:00:00,21744.11,23621.158,31538.44,23579.258,25534.541
2019-01-02 19:00:00,21744.11,23621.158,31538.44,23579.273,25534.541
2019-01-02 20:00:00,21744.11,23621.158,31538.44,23579.287,25534.89
2019-01-02 21:00:00,21744.11,23621.158,31538.44,23579.287,25535.818
2019-01-02 22:00:00,21744.11,23621.182,31538.44,23579.287,25535.818
2019-01-02 23:00:00,21744.11,23621.182,31538.44,23579.287,25535.818
2019-01-03 00:00:00,21744.11,23621.182,31538.44,23579.287,25535.818
2019-01-03 01:00:00,21744.11,23621.182,31538.44,23579.287,25535.818
2019-01-03 02:00:00,21744.11,23621.227,31538.44,23579.287,25535.818
2019-01-03 03:00:00,21744.117,23621.227,31538.44,23579.287,25535.818
2019-01-03 04:00:00,21744.117,23621.227,31538.44,23579.287,25535.818
2019-01-03 05:00:00,21744.117,23621.227,31538.44,23579.287,25535.818
2019-01-03 06:00:00,21744.117,23621.227,31538.719,23579.287,25535.818
2019-01-03 07:00:00,21744.117,23621.227,31539.02,23579.287,25535.926
2019-01-03 08:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 09:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 10:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 11:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 12:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 13:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 14:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 15:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 16:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 17:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 18:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 19:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 20:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 21:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 22:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-03 23:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-04 00:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-04 01:00:00,21744.117,23621.227,31539.764,23579.287,25535.959
2019-01-04 02:00:00,21745.273,23621.227,31539.764,23579.477,25535.959
2019-01-04 03:00:00,21746.787,23621.227,31539.764,23579.922,25535.959
2019-01-04 04:00:00,21747.809,23621.227,31540.586,23581.83,25535.959
2019-01-04 05:00:00,21748.545,23621.227,31541.713,23583.066,25535.959
2019-01-04 06:00:00,21748.545,23621.227,31542.33,23583.688,25535.959
2019-01-04 07:00:00,21748.545,23621.227,31542.436,23584.043,25535.984
2019-01-04 08:00:00,21748.545,23621.227,31542.436,23584.104,25535.984
2019-01-04 09:00:00,21748.545,23621.227,31542.436,23584.104,25535.984
2019-01-04 10:00:00,21748.545,23621.227,31542.67,23584.104,25536.033
2019-01-04 11:00:00,21748.545,23621.227,31542.67,23584.104,25536.033
2019-01-04 12:00:00,21748.545,23621.227,31542.67,23584.777,25536.332
2019-01-04 13:00:00,21748.545,23621.703,31543.145,23586.41,25539.408
2019-01-04 14:00:00,21748.545,23623.266,31543.96,23588.562,25541.662
2019-01-04 15:00:00,21748.545,23623.668,31543.96,23590.752,25541.725
2019-01-04 16:00:00,21748.545,23623.676,31543.96,23593.758,25541.725
2019-01-04 17:00:00,21748.545,23623.676,31543.96,23594.744,25541.725
2019-01-04 18:00:00,21748.545,23624.049,31543.96,23594.748,25541.725
2019-01-04 19:00:00,21748.545,23624.688,31543.96,23594.748,25541.725
2019-01-04 20:00:00,21748.545,23624.7,31543.96,23594.748,25541.725
2019-01-04 21:00:00,21748.545,23624.7,31543.96,23594.748,25541.725
2019-01-04 22:00:00,21748.545,23624.7,31543.96,23594.748,25541.725
2019-01-04 23:00:00,21748.545,23624.7,31544.0,23594.748,25541.73
2019-01-05 00:00:00,21748.545,23624.824,31565.105,23595.186,25553.012
2019-01-05 01:00:00,21748.545,23624.824,31566.002,23595.186,25553.012
2019-01-05 02:00:00,21748.545,23624.824,31566.34,23595.186,25553.012
2019-01-05 03:00:00,21748.545,23624.824,31566.34,23595.186,25553.012
2019-01-05 04:00:00,21748.545,23624.824,31566.34,23595.186,25553.012
2019-01-05 05:00:00,21748.545,23624.7,31545.139,23594.748,25542.754
2019-01-05 06:00:00,21748.545,23624.719,31546.314,23594.748,25543.686
2019-01-05 07:00:00,21748.545,23624.725,31547.762,23594.748,25544.607
2019-01-05 08:00:00,21748.545,23624.77,31550.162,23594.818,25545.66
2019-01-05 09:00:00,21748.545,23624.824,31553.932,23595.186,25546.49
2019-01-05 10:00:00,21748.545,23624.824,31557.312,23595.186,25546.49
2019-01-05 11:00:00,21748.545,23624.824,31558.941,23595.186,25546.717
2019-01-05 12:00:00,21748.545,23624.824,31560.346,23595.186,25548.799
2019-01-05 13:00:00,21748.545,23624.824,31561.314,23595.186,25550.094
2019-01-05 14:00:00,21748.545,23624.824,31562.145,23595.186,25551.025
2019-01-05 15:00:00,21748.545,23624.824,31563.139,23595.186,25552.139
2019-01-05 16:00:00,21748.545,23624.824,31564.072,23595.186,25552.824
2019-01-05 17:00:00,21748.545,23624.824,31564.297,23595.186,25552.824
2019-01-05 18:00:00,21748.545,23624.824,31564.297,23595.186,25552.824
2019-01-05 19:00:00,21748.545,23624.824,31564.297,23595.186,25552.824
2019-01-05 20:00:00,21748.545,23624.824,31564.297,23595.186,25552.824
2019-01-05 21:00:00,21748.545,23624.824,31564.297,23595.186,25552.824
2019-01-05 22:00:00,21748.545,23624.824,31564.297,23595.186,25552.824
2019-01-05 23:00:00,21748.545,23624.824,31564.297,23595.186,25552.836
2019-01-06 00:00:00,21748.545,23624.824,31566.34,23595.186,25553.012
2019-01-06 01:00:00,21748.545,23624.824,31566.34,23595.186,25553.012
2019-01-06 02:00:00,21748.545,23624.824,31566.34,23595.186,25553.012
2019-01-06 03:00:00,21748.545,23624.824,31566.34,23595.186,25553.012
2019-01-06 04:00:00,21748.545,23624.824,31566.34,23595.186,25553.012
2019-01-06 05:00:00,21748.545,23624.824,31566.34,23595.186,25553.209
2019-01-06 06:00:00,21748.545,23624.824,31566.34,23595.186,25553.217
2019-01-06 07:00:00,21748.545,23624.824,31566.34,23595.186,25553.217
2019-01-06 08:00:00,21748.545,23624.824,31566.34,23595.186,25553.217
2019-01-06 09:00:00,21748.545,23624.824,31566.34,23595.186,25553.217
2019-01-06 10:00:00,21748.545,23624.824,31566.67,23595.186,25553.217
2019-01-06 11:00:00,21748.545,23624.824,31567.848,23595.186,25553.217
2019-01-06 12:00:00,21748.545,23624.824,31568.512,23595.186,25553.217
2019-01-06 13:00:00,21748.545,23624.824,31568.645,23595.186,25553.217
2019-01-06 14:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-06 15:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-06 16:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-06 17:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-06 18:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-06 19:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-06 20:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-06 21:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-06 22:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-06 23:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 00:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 01:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 02:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 03:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 04:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 05:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 06:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 07:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 08:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 09:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 10:00:00,21748.545,23624.824,31568.645,23595.186,25553.264
2019-01-07 11:00:00,21748.545,23624.824,31568.645,23595.455,25553.264
2019-01-07 12:00:00,21748.545,23624.824,31568.645,23595.455,25553.264
2019-01-07 13:00:00,21748.898,23625.48,31568.902,23596.639,25553.844
2019-01-07 14:00:00,21751.113,23627.03,31569.93,23599.348,25555.492
2019-01-07 15:00:00,21753.498,23628.746,31570.473,23601.93,25555.941
2019-01-07 16:00:00,21754.283,23628.984,31570.566,23602.932,25555.941
2019-01-07 17:00:00,21755.03,23629.818,31570.566,23604.188,25555.941
2019-01-07 18:00:00,21755.04,23629.877,31570.566,23604.887,25555.941
2019-01-07 19:00:00,21755.04,23629.877,31570.566,23604.887,25555.941
2019-01-07 20:00:00,21755.04,23629.877,31570.566,23604.887,25555.941
2019-01-07 21:00:00,21755.04,23629.877,31570.566,23604.887,25555.941
2019-01-07 22:00:00,21755.04,23629.877,31570.566,23604.887,25555.941
2019-01-07 23:00:00,21755.04,23629.877,31570.566,23604.887,25555.941
2019-01-08 00:00:00,21755.04,23629.877,31571.312,23604.887,25558.184
2019-01-08 01:00:00,21755.04,23629.877,31571.568,23604.887,25558.506
2019-01-08 02:00:00,21755.04,23629.877,31570.566,23604.887,25555.941
2019-01-08 03:00:00,21755.04,23629.877,31570.607,23604.887,25556.045
2019-01-08 04:00:00,21755.04,23629.877,31571.312,23604.887,25557.086
2019-01-08 05:00:00,21755.04,23629.877,31571.312,23604.887,25558.184
2019-01-08 06:00:00,21755.04,23629.877,31571.312,23604.887,25558.184
2019-01-08 07:00:00,21755.04,23629.877,31571.312,23604.887,25558.184
2019-01-08 08:00:00,21755.04,23629.877,31571.312,23604.887,25558.184
2019-01-08 09:00:00,21755.04,23629.877,31571.744,23604.887,25559.07
2019-01-08 10:00:00,21755.04,23629.877,31571.791,23604.887,25559.621
2019-01-08 11:00:00,21755.379,23629.877,31572.658,23604.887,25560.986
2019-01-08 12:00:00,21755.54,23630.248,31573.99,23605.11,25561.57
2019-01-08 13:00:00,21756.186,23630.25,31574.05,23605.15,25561.807
2019-01-08 14:00:00,21756.744,23630.746,31575.646,23605.477,25562.207
2019-01-08 15:00:00,21758.625,23631.393,31576.031,23606.314,25563.193
2019-01-08 16:00:00,21759.004,23632.072,31576.682,23606.59,25563.266
2019-01-08 17:00:00,21759.504,23632.648,31577.666,23606.732,25565.104
2019-01-08 18:00:00,21759.656,23632.648,31579.623,23606.916,25566.047
2019-01-08 19:00:00,21759.873,23632.764,31580.658,23607.055,25566.729
2019-01-08 20:00:00,21760.088,23632.764,31580.816,23607.055,25567.965
2019-01-08 21:00:00,21760.088,23632.764,31581.15,23607.055,25568.121
2019-01-08 22:00:00,21760.088,23632.764,31581.674,23607.055,25568.646
2019-01-08 23:00:00,21760.088,23632.764,31582.367,23607.055,25569.295
2019-01-09 00:00:00,21760.088,23632.764,31582.367,23607.055,25569.562
