date,MG,FL,OD,VS,SJ
2014-01-01 00:00:00,13447.355,14783.071,18861.799,14490.256,16281.869
2014-01-01 01:00:00,13447.355,14783.144,18861.799,14490.256,16281.869
2014-01-01 02:00:00,13447.46,14784.238,18861.893,14490.256,16282.389
2014-01-01 03:00:00,13448.531,14784.355,18863.268,14490.623,16282.561
2014-01-01 04:00:00,13449.334,14784.355,18864.84,14490.623,16282.561
2014-01-01 05:00:00,13450.124,14784.802,18866.658,14491.284,16282.561
2014-01-01 06:00:00,13452.084,14785.602,18868.941,14492.545,16283.249
2014-01-01 07:00:00,13454.421,14785.882,18870.506,14494.009,16283.654
2014-01-01 08:00:00,13458.823,14786.939,18873.205,14495.114,16284.214
2014-01-01 09:00:00,13458.823,14787.6875,18873.572,14495.54,16284.214
2014-01-01 10:00:00,13458.823,14788.033,18874.598,14496.515,16284.214
2014-01-01 11:00:00,13459.999,14788.033,18874.598,14498.097,16284.427
2014-01-01 12:00:00,13461.638,14788.033,18874.598,14499.735,16284.555
2014-01-01 13:00:00,13462.573,14788.033,18874.598,14501.104,16284.555
2014-01-01 14:00:00,13463.471,14788.48,18874.598,14502.001,16284.555
2014-01-01 15:00:00,13464.297,14788.58,18874.598,14502.827,16284.555
2014-01-01 16:00:00,13466.596,14788.609,18874.598,14503.997,16284.555
2014-01-01 17:00:00,13466.596,14788.609,18874.598,14503.997,16284.555
2014-01-01 18:00:00,13466.596,14788.609,18874.598,14503.997,16284.555
2014-01-01 19:00:00,13466.596,14788.609,18874.598,14503.997,16284.555
2014-01-01 20:00:00,13456.697,14785.882,18872.023,14494.768,16284.09
2014-01-01 21:00:00,13458.567,14786.273,18873.205,14495.114,16284.214
2014-01-01 22:00:00,13465.482,14788.58,18874.598,14503.878,16284.555
2014-01-01 23:00:00,13466.315,14788.609,18874.598,14503.997,16284.555
2014-01-02 00:00:00,13466.596,14788.609,18874.598,14503.997,16284.555
2014-01-02 01:00:00,13466.596,14788.609,18874.598,14503.997,16284.555
2014-01-02 02:00:00,13466.596,14788.609,18874.598,14503.997,16284.555
