date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2011-01-01 00:00:00,271.76273,268.42426,264.70895,273.14166,273.0206,271.8233,274.0884,272.76672,273.56155,263.91534,269.7558,272.11765,269.05032,270.3171,271.6785,269.45508,272.2418,264.13092,263.44073
2011-01-01 01:00:00,270.14578,267.9953,264.39545,273.32516,272.80185,271.02945,273.27847,272.38687,272.9955,263.9421,268.95703,271.11084,269.0626,270.09955,271.39468,268.74606,271.49548,263.4486,262.9704
2011-01-01 02:00:00,265.79105,268.30225,264.82596,273.7132,272.78928,271.46667,273.35425,272.29233,272.5884,264.15714,269.1572,271.5899,268.90134,269.8271,270.2201,268.69812,271.6597,263.58383,263.1033
2011-01-01 03:00:00,271.71185,268.25916,265.15695,273.66193,273.04752,271.24844,274.69516,272.11603,273.63904,264.8508,269.65076,271.9326,268.59308,270.29904,271.68152,268.7202,271.67905,264.1124,263.35165
2011-01-01 04:00:00,271.80768,268.23114,264.42465,273.67657,273.41068,271.1355,273.56903,272.84216,273.88156,264.30093,271.10443,272.05145,268.81772,270.62256,271.76016,268.44177,270.8773,263.80646,263.13702
2011-01-01 05:00:00,271.50885,267.5456,264.1491,272.78937,272.87692,270.9728,274.9494,272.6428,273.00378,263.46567,272.1401,271.72473,268.52094,269.94763,271.43375,268.40692,270.86398,263.69357,262.80606
2011-01-01 06:00:00,272.09607,267.9205,264.21506,272.71738,273.01715,271.20364,274.4982,272.46915,272.7762,263.7625,272.14474,272.36252,268.73932,270.29373,271.70538,268.25504,270.9264,264.21082,262.71182
2011-01-01 07:00:00,271.42493,268.0077,264.35336,273.61264,271.7687,271.16135,273.3455,272.5905,273.35034,263.8379,272.71097,271.6392,268.26917,270.6316,272.18912,268.06662,270.72687,263.4099,262.6707
2011-01-01 08:00:00,271.5595,266.70602,263.34705,272.2242,272.51923,270.31262,271.88184,272.05,272.18756,263.9126,268.3114,271.6491,267.93256,269.29004,270.8765,267.87817,270.44467,263.85046,261.6454
2011-01-01 09:00:00,271.47342,267.35904,263.8333,272.53427,272.27707,271.00012,272.60272,271.9645,272.04495,263.86523,271.38525,271.56573,267.78357,269.58975,270.8965,267.87933,270.54526,263.81064,262.04904
2011-01-01 10:00:00,270.90015,267.35602,263.76697,267.88043,272.40555,270.48666,272.73022,271.30035,272.43295,263.65674,268.04697,271.0396,268.21954,269.1461,270.28757,267.84738,271.25232,263.99612,262.1958
