date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2012-01-01 00:00:00,268.46115,268.53702,265.90585,273.17108,277.36838,270.20032,281.1901,278.73438,278.18433,265.30945,273.52103,268.45505,269.8985,266.86893,268.044,271.0838,275.984,267.37024,263.98663
2012-01-01 01:00:00,268.33942,268.90353,266.0298,273.57568,278.18948,271.00058,279.57986,278.8084,278.8069,266.34494,273.76257,268.58914,270.6729,268.3625,268.7691,271.5122,275.64175,267.727,264.59415
2012-01-01 02:00:00,269.19968,269.05972,266.24237,273.58243,277.99997,271.4245,279.43597,275.112,279.0304,267.65787,273.4274,269.23785,271.17288,269.00613,269.21057,271.6422,275.2936,268.11462,265.12775
2012-01-01 03:00:00,268.74133,269.0918,267.06522,273.92358,277.4062,271.88388,277.75418,278.14368,279.6448,267.67416,274.06866,268.78027,271.04855,268.25925,268.80853,272.2251,274.7412,268.6182,265.6041
2012-01-01 04:00:00,268.7982,269.19623,267.68448,274.00754,278.7686,272.08737,279.49432,279.0046,279.0803,268.93262,273.73206,268.95886,271.5295,269.66156,269.70404,272.1901,275.70776,268.8707,265.70648
2012-01-01 05:00:00,268.81848,269.1012,267.87918,274.10562,278.45847,271.8194,278.5048,278.67966,279.74078,268.89804,274.14807,269.32422,271.40533,270.46667,270.59717,272.26907,276.0487,268.79907,265.81604
2012-01-01 06:00:00,270.20642,269.59845,268.04172,274.36462,278.48682,272.64288,278.7719,279.48108,277.51367,268.85165,274.08456,269.5662,271.74863,269.46695,270.2409,272.5828,276.462,268.81415,265.9048
2012-01-01 07:00:00,269.7587,270.27982,267.98886,274.47736,278.30582,272.06128,277.9141,278.60773,277.61884,268.89435,274.3914,268.97595,271.78745,269.1629,270.28833,272.47833,276.4,268.5936,265.99533
2012-01-01 08:00:00,271.2439,270.00897,267.98267,274.2342,278.06186,272.63647,277.86044,278.76508,278.60486,268.56818,274.26074,270.8456,271.83743,269.88437,271.54968,272.50726,276.22913,268.22845,265.56143
2012-01-01 09:00:00,270.77972,269.79578,267.25412,274.29623,278.50385,272.65585,278.27957,277.70352,276.6674,268.43402,274.121,270.57715,271.85873,270.41858,270.88986,272.55054,276.41443,268.1072,265.28156
2012-01-01 10:00:00,271.32907,268.90564,266.54013,275.07025,278.2315,273.50195,279.75577,277.2978,277.103,268.3526,274.94965,270.9643,271.9313,270.39255,271.0812,272.38126,276.481,268.2216,265.4574
2012-01-01 11:00:00,272.1435,270.93912,267.3095,274.42236,275.8831,273.53787,277.08768,278.62485,275.8533,268.5317,274.6324,272.33667,271.9357,271.26068,272.2954,272.44946,276.70987,268.5208,265.59998
2012-01-01 12:00:00,272.66525,271.15485,267.74814,274.68588,276.73566,273.43796,277.4442,277.9815,276.70358,268.237,274.51804,272.595,272.0146,272.11783,272.89786,271.937,276.14923,268.6722,265.21344
