date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2014-01-01 00:00:00,275.64624,272.37787,269.46674,276.00195,276.5652,275.56293,280.46524,278.1332,278.12366,269.7983,275.66232,275.49686,273.45804,274.2921,275.28107,272.8649,276.07986,269.53558,267.05734
2014-01-01 01:00:00,275.29373,272.13025,269.2138,276.92303,276.3806,275.46948,280.2178,277.8571,278.86844,269.70892,276.20206,274.77863,273.28317,273.9245,274.8439,272.8657,276.06735,269.44806,266.82144
2014-01-01 02:00:00,274.32028,271.1011,268.1232,275.36496,276.4034,274.20862,279.63852,278.31155,278.07455,268.6256,274.66052,274.02795,271.6004,272.87622,274.17386,271.7973,275.29742,268.201,265.62796
2014-01-01 03:00:00,273.9291,270.69907,267.6857,274.6662,276.92868,273.68677,280.30728,278.12164,278.24152,268.0734,274.8034,273.6683,271.51752,272.57272,273.81226,271.55267,275.7479,268.0729,265.05344
2014-01-01 04:00:00,272.63422,270.54117,267.4628,274.34613,276.8211,273.33154,279.90942,278.00705,277.7321,267.83908,274.46548,273.44836,271.13626,271.49414,273.09457,271.3736,275.37332,267.73807,264.689
2014-01-01 05:00:00,272.36713,270.37964,267.27478,274.0641,276.55664,273.2085,279.58044,277.94345,277.4894,267.61877,273.92282,272.4947,270.66592,271.30103,272.86548,270.97354,275.41864,267.3838,264.56876
2014-01-01 06:00:00,272.6338,270.51193,267.16858,275.15942,271.10318,272.8145,278.0111,277.37183,277.37067,267.19476,275.80637,272.61176,271.61963,271.94183,272.02316,271.25256,275.49557,267.85242,264.7938
2014-01-01 07:00:00,271.60535,270.3439,267.33667,274.66547,271.8208,274.52438,278.22635,277.0637,277.03995,267.28867,275.42593,272.81924,271.79578,272.9359,271.6341,271.73148,272.429,267.97012,264.76047
2014-01-01 08:00:00,273.32617,271.08212,267.4678,272.40353,271.65915,275.0032,277.86124,276.95084,276.69467,267.90256,274.88065,272.97238,271.91998,269.21936,273.1909,271.99942,274.6592,268.0665,264.68933
2014-01-01 09:00:00,274.06815,270.46613,267.2852,275.53397,275.9861,274.99045,277.68094,277.25467,277.19424,267.25436,275.64468,272.96973,271.3983,272.9863,274.10083,272.59088,275.4112,268.33865,264.55692
2014-01-01 10:00:00,273.1487,270.5348,267.26074,276.61124,276.6148,274.46594,279.5088,277.87314,277.53177,267.65384,277.33713,273.78223,272.69043,272.21634,273.04,273.28558,276.25278,268.5974,265.43793
2014-01-01 11:00:00,273.39786,270.9744,267.78976,277.568,277.6729,276.01627,279.84918,278.63715,277.71173,268.75952,276.65317,274.06747,272.49948,273.3049,272.82724,273.04828,276.10892,269.02588,265.65964
2014-01-01 12:00:00,271.3825,271.54446,268.59668,277.16107,276.98114,275.55658,280.41614,277.416,276.32172,269.5092,275.94067,272.6463,272.02145,272.50952,271.73062,273.1957,275.8885,270.1257,266.4495
2014-01-01 13:00:00,272.47034,271.98697,269.0339,276.7403,277.29926,274.26907,280.10205,277.63104,277.75806,270.25568,276.45236,272.0703,273.10278,271.69324,272.7517,274.25427,276.1125,270.53705,267.04327
2014-01-01 14:00:00,273.0757,272.8442,269.45132,277.32077,277.29352,274.83035,280.6257,278.15756,278.7964,269.9879,276.96844,273.4176,273.0813,273.89255,272.9369,274.32803,276.12094,270.3298,267.25342
2014-01-01 15:00:00,273.24664,272.87518,269.53674,277.53775,277.0877,274.80225,280.45334,278.42477,279.30536,270.20468,277.49677,273.2532,273.13657,274.55206,273.03003,274.0358,276.66437,270.19757,267.18536
2014-01-01 16:00:00,274.8243,272.41092,269.67007,277.00882,277.46188,275.40704,280.8921,278.3664,278.93268,270.42322,276.90445,274.62894,273.56003,273.90927,274.77,273.68375,276.4916,270.26895,267.10907
2014-01-01 17:00:00,274.90637,272.4307,269.67447,277.0397,277.52228,275.6624,279.4263,278.59634,278.61087,270.5904,277.20038,274.6804,273.61823,273.79736,274.69928,273.90457,276.71216,270.20178,267.13153
2014-01-01 18:00:00,274.9211,272.59946,269.81998,276.94153,277.3625,275.99838,279.90585,278.90875,276.36133,270.76053,277.16364,274.77048,273.479,273.87665,274.73065,273.74893,274.64294,270.20944,267.2386
2014-01-01 19:00:00,275.46375,272.5176,269.71664,275.83536,276.99045,275.63763,279.7549,278.31918,278.57272,270.43637,276.29843,275.0651,273.50888,274.09958,274.92682,273.01804,275.3759,269.54596,267.24066
2014-01-01 20:00:00,274.72183,271.9642,268.92566,276.66547,276.32956,274.98392,280.03607,277.70197,278.9804,269.46805,275.85226,274.6938,272.82874,273.58124,274.335,272.41174,275.887,269.0288,266.5148
2014-01-01 21:00:00,274.0994,271.6357,268.62518,276.08563,276.3493,274.47455,280.02975,277.7502,277.8166,269.08997,275.1404,273.99277,272.49228,273.42514,274.0508,272.07068,275.50882,268.57437,266.15805
2014-01-01 22:00:00,271.84695,270.00235,267.1875,274.26324,275.1114,273.26486,279.47675,277.75803,277.2341,267.23398,273.27042,272.0817,271.25516,271.64655,271.9495,269.90466,274.92764,267.41373,264.25186
2014-01-01 23:00:00,273.0251,270.1272,267.1524,274.21234,271.45328,273.3225,279.71185,277.3339,277.00867,267.02173,274.2705,272.64493,271.2042,272.44162,272.27795,271.67545,275.26813,267.72873,264.36786
2014-01-02 00:00:00,274.8226,270.97278,267.37805,273.63055,276.1361,276.65927,278.96545,277.61972,278.1395,268.52713,275.8058,274.1836,273.53445,273.60345,274.8892,272.51767,275.76636,268.391,264.7655
2014-01-02 01:00:00,275.45746,271.48868,267.78033,275.18677,275.23416,276.68768,279.26654,277.81067,277.65677,268.13123,275.69678,275.71118,273.51743,273.84525,275.09598,271.91788,276.03363,268.3202,265.01196
