date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2015-01-01 00:00:00,275.09836,272.1343,269.4293,274.9987,278.22205,276.71652,279.43225,278.9439,279.82355,270.21518,275.42825,275.03824,274.08835,273.9921,275.0634,272.51688,276.91718,270.0204,267.15482
2015-01-01 01:00:00,274.70657,272.07022,269.3944,274.66248,278.27765,276.2052,280.56534,278.74274,279.66486,269.85666,275.31644,274.3379,271.33713,272.46777,274.5753,272.51834,277.0081,269.9382,267.26944
2015-01-01 02:00:00,274.89575,272.26575,269.3909,274.49966,277.57632,276.39883,279.0985,278.91684,280.03857,270.19168,275.1179,274.5054,274.4099,273.8693,274.65912,272.7131,276.32263,270.40503,267.1362
2015-01-01 03:00:00,274.6726,272.1157,269.42883,274.64297,277.88593,275.9366,278.885,278.90842,280.2534,270.33865,274.92587,274.21848,274.6069,273.6789,274.67746,272.8156,277.3107,270.31497,267.46762
2015-01-01 04:00:00,274.83704,272.12375,269.70438,274.52423,278.0983,276.75876,279.0938,278.7018,279.4687,270.46637,274.92554,274.66116,274.7011,273.70068,274.53058,273.01996,277.03015,270.57385,267.61105
2015-01-01 05:00:00,274.70316,272.70963,270.24905,276.7323,277.8055,276.93237,279.87082,278.31598,279.11447,270.88303,276.54285,274.2375,274.84406,273.83734,274.55276,273.95587,276.6661,271.38403,269.48837
2015-01-01 06:00:00,274.6326,273.48785,271.05005,277.30722,277.7037,277.05627,279.1604,278.24655,279.0026,271.82175,275.99945,274.90524,274.67972,274.47778,274.81427,274.12183,276.37494,271.8084,269.45435
2015-01-01 07:00:00,275.58356,273.73352,271.36682,277.87326,277.7594,277.2555,278.3543,278.81168,279.36304,271.58862,276.6095,276.35303,274.7637,274.98724,275.4772,274.18332,277.1942,271.37512,268.95535
2015-01-01 08:00:00,276.37695,274.03708,271.1984,278.08768,276.74472,277.5414,277.65857,277.87772,277.91516,271.58368,277.2095,276.63318,274.75754,274.0859,276.29813,274.00464,276.14722,271.42175,268.55417
2015-01-01 09:00:00,276.70813,273.9536,270.4587,277.42316,276.54343,276.84106,278.174,277.59442,276.75137,270.89685,276.7394,276.7804,274.38013,275.77698,276.30405,273.69705,275.8703,271.01904,268.0188
2015-01-01 10:00:00,276.46066,273.17026,270.17615,277.30276,276.2104,276.451,278.49466,277.31934,278.02136,270.55536,276.2443,276.68738,274.0383,274.68158,276.10083,273.5715,275.72693,270.74762,267.64737
2015-01-01 11:00:00,276.0711,270.86145,270.04938,277.3608,274.0111,275.7929,277.6245,277.89743,277.54315,270.14264,276.366,276.2784,274.21616,274.98984,275.72217,273.5485,276.35297,270.1611,267.38422
2015-01-01 12:00:00,276.377,273.44583,269.67413,277.30167,276.96576,276.66525,278.22067,277.91638,277.66504,269.9011,276.39087,277.42407,274.1737,274.9676,275.78857,273.56787,276.3705,270.45798,267.27316
2015-01-01 13:00:00,277.3428,273.06967,270.05585,277.53757,277.3342,274.28888,278.43124,278.23093,278.3678,270.56863,276.42953,277.3452,274.2033,275.31442,276.32922,273.66098,276.1623,271.0423,267.7981
2015-01-01 14:00:00,276.7236,272.84103,270.30914,277.70773,277.4313,276.45013,279.32828,277.72247,278.09143,270.15887,276.914,276.74338,274.67386,274.8268,276.1755,273.4929,276.87903,270.41705,267.96616
2015-01-01 15:00:00,275.6516,272.3934,269.99527,276.88907,277.30676,275.09863,278.836,278.34515,278.1122,270.25674,276.7052,276.08792,274.09525,274.56485,273.40216,273.57626,276.42447,270.57388,267.63586
2015-01-01 16:00:00,275.24982,270.3221,270.09583,277.43427,276.76743,276.8071,279.10388,278.16815,278.4271,270.1771,276.73386,276.11053,274.46973,275.02002,275.48322,273.3507,276.60376,270.3889,267.6223
2015-01-01 17:00:00,275.28946,273.0916,269.72504,275.77286,276.79697,275.66086,279.16257,277.7606,278.12582,270.42447,276.39825,275.08856,274.2721,273.99115,273.76395,273.05893,275.75186,270.35144,267.4996
2015-01-01 18:00:00,274.72647,272.31998,269.95557,275.9046,277.02084,275.63226,278.16397,278.10123,278.12427,270.83884,276.298,274.36575,273.66904,273.68954,274.42715,272.8448,276.8551,270.08853,266.95343
2015-01-01 19:00:00,274.69724,272.0697,269.37186,276.13562,276.94855,275.1808,277.02823,277.47223,278.3484,270.47974,276.05258,274.42764,273.4068,273.6316,274.4277,272.42276,276.25354,269.9736,266.91226
2015-01-01 20:00:00,274.56357,271.96237,268.98187,274.83908,278.75214,275.32007,277.5812,278.54678,278.23273,270.54712,275.47598,274.37888,273.40176,273.57056,274.3856,272.47086,276.32263,269.82874,266.41656
2015-01-01 21:00:00,274.52014,271.97614,269.14474,274.36267,278.5461,275.43857,279.0983,279.58377,279.12106,270.71194,274.9562,274.45242,273.42062,273.57584,274.30426,272.88968,276.589,270.05185,267.11282
2015-01-01 22:00:00,273.99564,272.32297,269.3265,274.39902,279.41678,275.31366,276.8574,279.61267,278.76083,269.93762,274.42844,274.01578,273.81735,273.62006,273.73538,273.43695,276.73077,270.56625,267.7106
2015-01-01 23:00:00,273.4358,272.45996,269.99643,274.27493,277.503,273.9432,276.8217,278.55334,278.2327,269.86273,274.5687,273.61554,274.53082,273.74985,273.23035,273.2886,276.9908,271.1749,268.54318
2015-01-02 00:00:00,273.3392,272.40445,270.47607,274.3403,276.3904,273.95813,276.53098,276.39532,274.15076,269.85464,274.34048,273.258,275.1082,273.16708,273.32407,272.39435,275.53116,271.2935,268.22253
2015-01-02 01:00:00,274.29108,271.61102,268.0889,276.47977,274.95874,275.5998,275.8317,274.89453,273.73865,269.60382,276.22964,271.905,274.21454,273.88303,271.63672,272.16995,273.38315,270.30853,265.1077
2015-01-02 02:00:00,274.7859,270.66342,266.7437,274.505,274.3473,275.89932,274.93985,274.9112,273.54208,267.09076,275.55356,275.1762,272.6813,273.82098,274.59033,270.7986,273.02267,267.98392,264.1701
2015-01-02 03:00:00,275.13904,270.2992,267.09674,275.97113,270.11664,275.58408,275.41202,275.171,273.46188,267.1877,275.49213,275.3502,271.30173,273.0366,273.7052,264.93826,273.3097,267.28705,264.034
2015-01-02 04:00:00,274.68192,269.93,266.44608,275.37262,269.3464,273.96262,275.10165,275.13037,274.11948,266.68433,274.22528,274.77078,271.13055,272.27,274.1724,269.81754,273.5583,266.4983,263.6314
2015-01-02 05:00:00,272.3983,269.17,266.46286,274.50604,272.88324,272.0933,274.10782,274.5594,273.24695,266.08362,273.52823,272.25372,271.53333,271.66138,272.8292,270.21512,273.32346,266.61472,263.78052
2015-01-02 06:00:00,272.34937,269.4655,265.3902,275.2687,274.0759,272.4723,275.85458,275.44293,274.23236,265.41248,273.2256,267.65863,270.74997,271.9783,272.7593,269.70874,273.56674,265.8927,262.6469
2015-01-02 07:00:00,272.89444,268.30496,264.86035,273.136,272.6507,273.1845,272.99414,273.465,271.95273,264.28812,272.18668,273.04623,270.4622,270.80673,271.97424,268.39902,271.78366,264.9378,261.89227
2015-01-02 08:00:00,271.00876,267.1957,263.4664,268.3151,271.82324,269.98816,273.01184,273.9664,272.66803,263.22586,270.7916,263.28094,268.82004,269.73364,265.7881,267.31583,271.59546,263.34143,260.68692
2015-01-02 09:00:00,271.16986,266.95413,263.3096,273.13077,270.3351,269.83142,274.17383,273.48358,272.66757,263.76224,271.51605,271.72385,268.4584,269.5514,266.98245,267.04752,271.0804,263.49466,260.35645
2015-01-02 10:00:00,270.9874,267.42642,263.20935,272.9345,269.69867,272.04553,274.29648,274.03204,272.9521,264.64755,269.15305,271.1561,269.06055,264.4197,269.97827,267.30005,271.34357,263.80045,260.6625
2015-01-02 11:00:00,271.67712,268.59024,264.61032,274.1531,272.20294,270.86896,273.98697,274.4756,273.23456,264.63556,273.586,270.88855,268.51144,270.0005,270.80792,268.1718,272.11377,263.9657,261.10992
2015-01-02 12:00:00,271.78766,268.22882,264.53085,273.0617,270.67792,272.12018,274.59512,273.4759,272.34537,264.5992,272.66562,271.87775,269.2211,270.51923,271.3115,268.26242,271.67288,264.45688,261.60736
2015-01-02 13:00:00,271.82202,267.7629,264.31323,274.07986,273.306,272.2317,274.46274,274.15097,272.97128,264.85086,273.62427,271.73718,269.55484,270.03995,269.26413,268.13702,272.04068,264.10394,261.325
2015-01-02 14:00:00,271.1853,266.84058,263.50348,272.80115,272.09207,271.40933,273.9218,273.74872,272.75702,263.88605,270.46832,270.08258,268.70264,269.2558,268.79663,267.8547,271.8513,263.83026,260.8467
2015-01-02 15:00:00,271.48917,268.93494,264.38458,273.37854,268.9628,271.25888,275.28052,274.35547,273.5434,264.77377,271.68118,271.8046,269.15753,270.3184,270.4844,268.09378,271.84976,264.4486,261.5929
2015-01-02 16:00:00,272.2257,268.31702,264.83328,273.82288,272.85684,270.53778,274.56287,275.0154,273.42972,265.33765,272.98535,272.10263,269.74936,270.8936,266.86658,267.89124,272.06412,264.80817,262.01645
2015-01-02 17:00:00,272.13385,268.65558,265.19086,273.9185,273.55594,272.06927,275.30496,274.96262,273.95853,265.15207,269.6551,270.70596,269.07614,271.07715,268.0258,268.4446,272.26843,265.02737,262.55695
2015-01-02 18:00:00,272.17007,268.6944,264.72046,273.50226,273.1844,272.2502,275.26437,274.57983,272.86404,265.0943,272.28592,267.8161,269.42572,271.188,272.30185,268.08124,272.11835,264.68192,261.62656
2015-01-02 19:00:00,272.0987,267.8971,264.63123,268.66254,273.08713,272.18234,275.08188,274.88504,273.58353,265.08798,269.50952,266.66092,269.36646,270.51416,272.01572,268.1245,272.15677,264.49756,261.8911
2015-01-02 20:00:00,268.95337,268.17267,264.87045,272.27002,273.49734,267.63068,275.46844,275.04486,273.98148,265.1588,273.59988,265.96692,269.93445,270.30426,271.17426,268.65375,272.51575,264.69815,262.31137
2015-01-02 21:00:00,271.9542,268.2363,264.64642,274.688,268.42847,268.06354,274.90646,274.76132,273.92398,264.93326,273.8531,272.13925,270.3215,270.15482,271.40872,268.39374,272.4441,264.6601,261.86517
