date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2017-01-01 00:00:00,269.94772,266.25662,262.1468,272.33755,271.82245,270.25705,272.07736,271.81976,271.13474,262.3607,272.22928,270.1196,267.64615,268.45468,269.93292,266.88763,269.9443,262.0641,259.26443
2017-01-01 01:00:00,270.84494,268.28778,264.56335,273.54694,272.84848,272.51935,273.8831,273.83505,272.06583,263.81177,272.95972,271.74295,268.76672,269.51135,270.83414,268.03357,272.53503,264.5213,261.6368
2017-01-01 02:00:00,269.30157,268.3193,265.10352,274.18683,272.99454,271.79114,273.7248,274.16656,272.5629,264.56732,273.64722,272.11807,269.54813,270.1303,271.11926,268.1444,271.98282,264.89032,262.28723
2017-01-01 03:00:00,267.3367,263.46112,265.0687,273.4084,272.64584,271.61176,273.54837,274.22665,272.73773,264.82013,273.52225,270.33438,268.8956,269.91342,267.77484,268.05527,271.85126,262.45505,262.4605
2017-01-01 04:00:00,268.4226,267.42133,265.35318,273.7112,272.89072,273.53125,273.8022,274.7087,272.85318,264.95,272.9913,266.59598,269.29196,269.7881,270.8137,268.4287,272.14377,265.08844,262.5939
2017-01-01 05:00:00,269.16763,269.48413,266.0399,272.79843,272.73837,272.84915,274.67715,275.0704,273.49094,264.89917,272.9624,267.34045,269.0325,269.42856,269.49237,268.7642,272.1608,265.33182,263.11792
2017-01-01 06:00:00,270.58484,268.73404,265.68265,274.1113,273.61682,273.5695,275.79327,274.7432,274.28595,265.7289,274.1483,269.63376,268.10342,269.24744,270.47742,268.99646,272.78918,265.62286,263.0988
2017-01-01 07:00:00,269.72653,269.7706,265.98242,273.8608,274.0371,273.23953,276.31265,275.088,275.32166,266.1337,273.5167,272.24167,269.7538,269.0172,269.4393,268.28424,272.38434,265.53687,263.02795
2017-01-01 08:00:00,268.27756,269.95935,265.69223,272.2278,274.45844,273.41937,274.85397,274.5055,273.9522,265.99606,273.16037,267.8716,269.65518,269.77258,268.87018,266.82346,272.83304,266.2094,263.2794
2017-01-01 09:00:00,272.45126,269.9717,265.69827,273.13766,273.9639,272.61145,275.75607,274.3046,274.28604,266.04007,272.88956,272.1317,270.42767,272.4129,268.85507,269.16516,272.22388,265.83755,263.07178
2017-01-01 10:00:00,272.8132,269.11575,264.8896,271.71982,273.2346,268.70215,274.4513,274.1073,273.35886,265.6335,273.0009,272.70953,270.26782,271.7737,272.71698,269.37225,268.3612,265.00058,262.5146
2017-01-01 11:00:00,273.17795,269.23242,265.22763,274.23093,273.2944,272.49686,275.22812,274.48776,273.83246,264.97678,273.54272,273.1523,270.22742,272.01233,273.20505,269.55496,269.13293,264.93253,261.9001
2017-01-01 12:00:00,272.08356,268.28125,265.03943,271.99454,273.02682,272.95328,274.87698,273.4941,273.2193,264.11414,272.355,272.1338,270.03156,270.6391,271.84125,269.54257,272.2128,264.44012,261.72723
2017-01-01 13:00:00,271.50323,267.6607,263.682,274.24808,272.4308,273.29965,273.05304,273.4258,272.79187,264.1664,274.22052,271.7732,269.64,270.4611,271.90857,268.30032,271.73413,263.83038,260.9352
2017-01-01 14:00:00,270.58728,267.50427,263.83237,273.83548,272.43964,272.2418,273.5659,273.2965,272.14285,263.62643,273.61072,271.33023,269.34158,269.77185,270.3164,268.065,270.91733,263.63562,260.7558
2017-01-01 15:00:00,270.793,267.01004,263.0164,273.53265,271.53986,272.22415,273.01367,273.14105,272.1681,263.16022,273.22397,270.3755,268.49588,270.19257,271.70438,267.51248,270.2054,263.28564,260.34814
2017-01-01 16:00:00,269.2749,266.81842,262.471,273.24976,272.1605,271.4755,273.8471,272.6892,271.54315,263.0995,273.125,269.70605,268.03732,268.67545,269.79904,267.19052,270.06726,262.71988,260.1626
2017-01-01 17:00:00,268.76373,265.90347,262.76855,271.5701,271.48242,269.98325,273.4346,272.66895,271.32214,262.2608,270.71027,269.40607,267.2559,268.2992,269.21677,266.52045,269.52222,261.77023,259.37833
2017-01-01 18:00:00,267.95538,265.84918,261.98126,266.68765,270.4577,269.6817,271.93988,270.969,270.11465,262.7739,267.54755,268.7843,266.75323,267.08218,268.3306,265.6912,262.91327,261.90512,258.93192
2017-01-01 19:00:00,268.18005,265.6999,262.24588,270.58652,270.1344,268.5317,271.94305,270.9833,270.40384,260.28387,269.63757,268.95242,265.86624,267.74512,268.88943,265.87122,269.41064,261.187,258.99112
2017-01-01 20:00:00,269.32037,264.675,261.97568,270.31454,270.96027,266.11877,272.45523,271.36676,270.40778,261.56845,267.0119,269.20935,265.85464,267.61456,269.01163,265.41278,264.54843,261.38318,258.80228
2017-01-01 21:00:00,267.28857,265.03668,261.52002,266.99158,269.99875,266.5376,272.47293,271.0516,270.1194,261.38788,267.79315,268.5574,264.9377,266.53683,266.69232,262.47067,269.63654,261.43484,258.6066
2017-01-01 22:00:00,268.79626,265.254,261.76712,265.5471,270.15585,268.36792,272.4992,270.6957,270.2403,261.78342,265.948,269.2967,266.35065,265.78867,266.46198,263.84085,266.81393,261.3093,258.9056
2017-01-01 23:00:00,266.7656,264.49216,262.0127,268.29044,270.2963,268.43942,272.48398,270.9673,269.32187,262.3936,270.2506,267.6157,265.44757,261.65283,266.1788,265.6828,268.59726,261.96432,258.94965
2017-01-02 00:00:00,265.78128,264.90268,261.7645,269.35794,270.33008,267.27676,272.98312,270.94904,270.2442,262.6919,270.14996,265.75684,265.34027,264.2272,266.00305,265.35623,270.21558,261.8117,258.68466
2017-01-02 01:00:00,262.9763,265.73126,262.25162,269.74023,270.24213,268.9419,273.24606,271.91168,270.50983,261.96658,271.8794,263.99734,267.04816,262.03485,263.79245,265.21988,269.42215,262.30557,259.15897
2017-01-02 02:00:00,269.04013,264.83456,262.36575,271.22824,269.77283,268.07935,272.88797,271.43607,270.18582,261.55176,271.15057,266.70026,266.63852,265.4358,266.26373,265.53168,269.5129,261.81583,259.38736
2017-01-02 03:00:00,268.40024,265.4328,262.35953,272.3409,267.5874,269.8573,273.61072,272.5391,271.08734,262.56143,271.60068,269.35886,266.95523,265.0212,266.89398,265.823,270.25507,262.13,259.3818
