date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2017-01-01 00:00:00,269.72928,267.00238,263.46396,273.22098,272.01028,271.39764,272.97778,273.04285,270.8293,263.1117,271.94116,269.8447,268.04764,268.34732,267.68088,267.17502,270.06277,262.6133,261.63452
2017-01-01 01:00:00,271.1824,269.2795,265.35712,273.71796,272.91013,272.67795,274.88617,274.80847,274.01404,264.5319,273.9693,272.1998,268.66284,269.92593,271.11563,268.48596,272.60492,265.13336,264.27026
2017-01-01 02:00:00,268.1209,265.9044,265.691,274.23508,272.51086,273.58252,274.17456,274.39914,272.86984,264.8472,273.37564,270.48886,269.61264,267.60345,267.4312,269.07446,272.4832,265.50403,264.45926
2017-01-01 03:00:00,268.7671,269.05905,266.15707,274.7556,273.29578,267.7123,275.64008,275.01352,274.29367,265.7839,274.59155,269.47888,269.4043,268.95053,268.96475,269.0663,273.01514,265.3586,264.5552
2017-01-01 04:00:00,270.8536,269.99347,265.9879,273.14603,274.67993,272.81613,275.4005,275.0679,275.47543,266.28354,273.4073,271.5915,270.25464,268.40298,270.77405,268.65405,272.72375,266.0318,264.88626
2017-01-01 05:00:00,273.44583,269.21573,265.31415,274.82513,273.63452,272.65604,275.3698,274.5248,274.83865,265.82797,273.736,273.2285,269.52765,271.261,272.6402,269.4727,267.72128,265.18805,263.60626
2017-01-01 06:00:00,271.54572,268.70782,264.63202,274.05048,272.9578,272.24997,275.01828,273.57663,274.0118,264.4186,273.10458,272.30133,269.70374,270.8477,272.01834,269.04675,272.26572,264.4812,263.32715
2017-01-01 07:00:00,271.42612,267.81006,264.15765,273.97113,272.38773,272.51846,273.89435,273.00427,272.26022,263.71082,270.7999,271.7285,268.77936,270.10956,271.6775,268.15375,270.55902,263.73898,261.90326
2017-01-01 08:00:00,270.00693,266.5003,262.6774,272.34357,271.26572,271.03848,273.91098,272.5409,271.90262,262.13718,269.99487,270.15073,267.06848,268.65115,270.33847,266.6936,270.04117,262.1058,261.4581
2017-01-01 09:00:00,268.6662,265.90533,262.50076,271.6293,270.83047,269.47476,272.67053,271.96646,270.65256,261.37347,268.19138,269.42154,266.86884,267.76147,266.56564,266.0292,269.4583,262.5391,260.7459
2017-01-01 10:00:00,268.43262,265.83557,262.6594,269.74396,271.09427,269.30353,271.36862,271.7806,270.16125,261.36414,268.5061,268.90912,265.7975,268.21622,267.74945,266.61307,270.19373,260.91135,260.69162
2017-01-01 11:00:00,269.18024,266.21976,262.845,267.8445,271.4381,267.95416,272.82986,272.03793,270.53983,261.54898,268.22345,269.88492,265.8993,266.5928,267.29352,265.9542,269.9898,261.55756,261.0368
2017-01-01 12:00:00,272.46234,268.58472,264.95212,274.08542,272.2237,272.42432,274.4726,273.76425,272.33508,263.84515,273.70877,272.87192,267.8252,269.72324,271.79202,268.47714,272.47855,264.70682,263.42346
2017-01-01 13:00:00,271.62817,261.96136,264.6458,274.76584,272.40323,273.27823,274.11795,274.11395,272.6985,265.0297,274.28787,268.55566,269.19714,270.42328,271.67474,268.75345,272.55945,265.16705,264.3478
2017-01-01 14:00:00,270.69672,265.91776,266.14536,273.8792,272.66718,272.9566,274.81815,274.4001,274.0138,264.81934,273.38983,269.91418,268.4225,268.97446,269.71127,265.41974,272.76614,264.51935,264.7773
