date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2020-01-01 00:00:00,276.20178,272.93207,269.88626,277.7283,276.6773,275.97052,278.3126,277.95935,277.88965,270.0463,277.43732,276.46164,273.70953,274.7544,275.96356,272.76126,275.5327,269.2597,267.71628
2020-01-01 01:00:00,276.55716,272.5094,269.37598,277.0821,276.49316,275.82272,279.47568,277.59985,277.83426,269.4306,276.59818,276.82303,273.1489,274.4656,275.62872,272.646,275.83093,269.34384,266.99866
2020-01-01 02:00:00,275.71323,268.04852,268.90808,276.89096,276.23663,275.85016,278.61743,277.2553,277.72183,269.34653,277.1443,275.88477,273.2261,274.04333,275.2598,272.30368,275.33374,269.0679,266.5925
2020-01-01 03:00:00,275.65936,271.7624,269.42725,276.67566,276.0036,275.5995,279.0184,277.6745,277.76862,268.85873,276.41916,275.9911,272.74402,274.131,275.3606,272.10934,275.0337,270.2353,267.06305
2020-01-01 04:00:00,276.31824,271.6859,268.92316,276.7569,275.8189,275.48337,278.7438,277.3222,277.3443,269.21756,276.39743,276.5513,272.72015,274.53366,275.98145,272.19696,275.06265,268.63004,266.53912
2020-01-01 05:00:00,275.82288,271.9231,269.8186,276.82318,275.756,275.47766,279.16785,277.6226,277.88004,269.01068,276.41388,276.19186,272.66547,274.24255,275.2789,271.94363,274.875,268.95297,267.11502
2020-01-01 06:00:00,275.4449,271.90363,269.42206,276.76257,275.87958,275.07193,277.3275,278.03595,278.0864,269.05667,276.2887,275.72946,272.7854,273.99445,275.08133,271.75058,274.92432,268.87958,267.07556
2020-01-01 07:00:00,275.7419,271.55023,269.46826,276.44882,275.8999,275.5491,277.60675,277.9,277.9902,269.10132,275.6615,275.9278,272.84314,274.1093,275.2778,271.8553,274.94037,269.02872,266.96408
2020-01-01 08:00:00,275.2939,271.72766,269.7246,275.36917,275.5833,275.5307,277.35013,277.34344,277.53162,269.132,275.627,275.6747,272.84293,273.79276,274.97748,272.13074,275.1419,269.26453,267.1013
2020-01-01 09:00:00,275.16315,271.86768,269.6575,274.9261,276.15506,275.5733,277.2514,277.1759,277.78214,269.37585,275.15103,275.77576,272.97397,274.23074,274.937,271.90918,275.18637,269.7557,267.1891
2020-01-01 10:00:00,274.6813,271.87027,268.42157,274.96503,275.49445,275.5387,278.91742,277.23096,278.10165,269.70462,275.47113,275.15164,272.90985,273.5746,274.50464,272.17163,274.83148,269.52002,267.5756
2020-01-01 11:00:00,274.72137,271.81772,268.6178,275.63916,276.2987,275.68988,278.6827,279.10516,279.8548,269.29358,275.61237,275.10272,273.02838,274.37265,275.34488,272.03064,274.82996,269.28928,266.2299
2020-01-01 12:00:00,274.8515,272.2489,268.72476,276.73605,277.1647,276.3078,280.30948,278.7266,279.2582,269.16418,275.68558,275.41068,272.9681,273.9712,274.48212,272.24417,275.2746,269.38074,267.4747
2020-01-01 13:00:00,275.74237,271.99954,269.34656,276.82684,276.35938,276.70645,280.62143,278.20197,278.5022,269.37875,275.6844,276.0861,273.26077,273.9789,275.27512,272.42352,276.25116,269.72034,267.3966
2020-01-01 14:00:00,276.26346,272.25473,269.831,277.46066,276.80127,277.00388,280.86157,278.4695,278.79742,269.8932,276.65707,276.57092,273.6918,274.54706,275.78735,272.88232,276.80298,270.08368,267.5598
2020-01-01 15:00:00,276.6471,272.964,270.43594,277.8995,277.16342,277.2839,281.1778,278.54678,279.44736,270.31613,276.0893,276.8735,273.88284,274.75577,275.9127,273.218,277.07224,270.566,268.08896
2020-01-01 16:00:00,275.91006,272.62994,270.4716,277.82153,277.16937,277.26187,280.915,278.32907,279.6074,270.3772,275.9024,276.18832,273.9453,274.14096,275.48364,273.24384,276.65186,270.54456,268.09326
2020-01-01 17:00:00,275.8085,273.0363,269.90964,275.84326,277.36493,275.95636,280.84802,278.62006,279.52948,270.17255,275.91174,276.30014,273.7211,274.9565,274.88956,273.0366,275.82126,270.00986,267.77307
2020-01-01 18:00:00,275.1931,271.96692,269.22067,276.7571,277.01453,276.21143,280.94928,278.09177,279.0219,269.2377,275.73428,275.44974,273.0473,273.47986,274.737,272.20187,275.87704,269.7057,267.72165
2020-01-01 19:00:00,275.7751,271.79623,269.57104,277.18597,276.4158,276.93735,280.76508,278.3685,278.63837,269.50012,276.0076,276.14014,273.6451,274.15536,275.28668,272.75125,276.5934,269.82504,267.4761
2020-01-01 20:00:00,276.31418,272.42395,270.0308,277.62982,277.0957,277.03738,280.96545,278.50125,279.12558,270.00153,276.87476,276.59583,273.76233,274.60956,275.82635,272.99768,276.9671,270.24698,267.87726
2020-01-01 21:00:00,276.46536,273.34714,270.55475,277.92624,277.10538,277.4086,281.0598,278.40472,279.50378,270.44382,275.95154,276.7467,273.93515,274.4845,275.75357,273.25195,276.95667,270.66092,268.10092
2020-01-01 22:00:00,275.44128,272.46863,270.10614,277.5551,277.39755,277.02237,280.69058,278.40326,279.44424,270.17657,275.75705,275.7112,273.87552,274.0786,275.29303,273.18643,276.2731,270.28256,268.11298
2020-01-01 23:00:00,276.28616,273.19757,269.69217,276.7241,277.13126,275.18182,281.5546,278.41736,280.50107,270.12238,275.9573,276.92444,273.6142,276.0263,275.38,272.85886,275.64767,269.79102,267.44626
2020-01-02 00:00:00,276.03,272.62662,269.92545,277.18393,277.51575,275.99722,281.8689,278.99884,280.86472,270.24435,275.4261,276.35837,273.35306,274.65195,275.81744,272.80518,275.58032,270.27225,267.70355
2020-01-02 01:00:00,275.8619,272.79004,269.77228,277.65503,277.3775,276.24078,281.7756,280.31274,280.24756,270.02045,276.25906,276.18268,273.68146,274.3104,275.66562,272.9072,275.72852,270.33154,268.3307
2020-01-02 02:00:00,277.0239,272.80994,270.03647,277.90714,278.17926,276.87766,283.1993,280.35672,281.18518,270.2778,276.41376,277.2396,273.9642,274.84225,276.25238,273.08246,276.2225,271.04678,269.52847
2020-01-02 03:00:00,276.38004,273.17944,270.71313,277.57587,278.14838,276.4262,283.82703,279.3979,280.979,270.86514,276.5597,276.74673,274.08264,275.10287,276.0951,273.2852,276.2921,270.50687,269.6694
2020-01-02 04:00:00,276.43964,273.2625,270.38672,278.187,278.9019,276.32538,283.4529,279.56033,281.81866,270.94894,276.202,276.3015,274.12106,275.18057,276.70892,273.33316,276.02277,270.90408,268.27072
2020-01-02 05:00:00,276.4206,273.07114,270.2864,276.9737,278.51218,276.6285,282.2797,279.6439,280.5331,270.59045,276.14285,276.7228,273.96902,274.75275,275.74274,273.19855,276.61395,270.5896,268.25702
2020-01-02 06:00:00,275.82678,273.00766,270.27368,277.88904,278.52103,276.58405,280.64597,279.04587,279.85504,270.616,276.24536,276.2197,273.98294,274.32678,275.605,273.16806,276.4399,270.6124,268.021
2020-01-02 07:00:00,275.45248,273.32724,270.4444,278.18677,278.23672,276.66397,281.81357,278.6511,279.7346,270.81015,276.68506,276.02185,274.06262,274.5376,275.12576,273.4475,276.7414,270.65506,268.08078
2020-01-02 08:00:00,275.2982,270.28595,270.69656,278.77344,278.6259,277.0564,281.5852,279.22058,280.15005,270.78394,277.01974,275.8258,274.38522,274.39224,275.03098,273.75928,277.5659,270.95248,268.28625
2020-01-02 09:00:00,276.23358,270.002,270.07297,278.7264,278.3541,276.874,280.7842,278.81854,279.97766,270.6623,277.00015,276.8152,274.15237,274.812,275.7007,273.35446,277.50363,270.57867,267.931
2020-01-02 10:00:00,275.8627,270.69214,270.05533,278.47614,278.5254,276.5854,280.77853,278.66934,279.6677,270.70206,276.63025,276.34985,274.4408,274.32495,275.5854,273.39737,277.66345,270.6158,267.9931
2020-01-02 11:00:00,276.01962,273.0802,270.5413,279.30896,279.0822,277.3783,281.77087,280.69226,280.36188,271.2171,277.42084,276.53244,274.88965,274.93823,275.69476,273.89038,278.6615,271.16953,268.41284
2020-01-02 12:00:00,276.16898,272.6282,269.60577,277.4731,277.76157,276.2997,281.98538,280.23688,280.92307,270.16296,275.9149,276.50247,273.57065,274.79044,275.76236,272.70108,275.69504,269.89178,267.53754
2020-01-02 13:00:00,276.59464,272.61108,269.84262,277.74664,277.87177,276.54105,283.59177,280.7213,280.78442,270.20477,276.3616,276.80508,273.78583,274.79984,275.98093,272.9684,275.64154,270.6675,269.636
2020-01-02 14:00:00,276.97958,273.07452,270.93622,277.7029,277.87015,276.69223,283.41608,280.67816,280.50952,270.6391,275.8263,277.3685,274.03802,275.56857,276.62692,273.35223,276.43027,270.73672,269.56885
2020-01-02 15:00:00,276.73526,273.21332,270.48233,277.80624,278.16788,277.2736,283.72314,279.50137,281.50232,270.88205,276.52313,276.84668,274.19907,275.23486,276.37708,273.41605,276.3002,270.4095,269.75555
2020-01-02 16:00:00,276.45728,273.24066,270.2894,277.29575,278.61267,276.8615,282.49637,279.51666,280.89432,270.7394,276.17053,276.60938,273.99683,274.75766,275.66074,273.17166,276.73117,271.00928,268.23135
2020-01-02 17:00:00,276.19006,272.94067,270.3991,277.7056,278.68893,276.72424,280.5599,279.5727,279.9572,270.53818,276.16177,275.86115,273.95953,274.58652,275.9823,273.27292,276.41748,270.64447,268.23013
2020-01-02 18:00:00,275.22488,273.21512,270.26654,277.94424,278.20618,276.2342,281.14722,278.6839,279.88965,270.91052,276.5115,275.76047,274.0122,274.369,274.98563,273.21912,276.6697,270.4812,267.966
2020-01-02 19:00:00,275.38263,273.44586,270.673,278.3518,278.6376,276.76123,281.31696,278.79803,279.69772,270.67133,276.8239,275.84296,274.18173,274.27713,275.16556,273.6097,277.10153,270.75848,268.16718
2020-01-02 20:00:00,276.31522,273.056,270.29132,278.90515,278.37515,277.18542,280.92834,278.9281,280.19238,270.84778,277.05865,276.88168,274.3867,274.691,275.86456,273.53857,277.46512,270.83194,268.06836
2020-01-02 21:00:00,276.01434,270.26334,270.23016,278.65652,278.41602,276.17676,280.7424,278.82645,279.76083,270.60236,276.8982,276.4794,274.21594,274.62302,275.61496,273.3202,277.54037,270.56024,267.905
2020-01-02 22:00:00,275.8204,270.95554,270.01935,278.5563,278.73746,276.56866,280.8333,279.27505,280.04245,270.8335,276.69302,276.3056,274.54855,275.26578,275.3791,273.54282,278.11203,270.79175,268.05847
2020-01-02 23:00:00,276.1882,273.3611,271.38593,279.65347,278.04822,278.16766,278.56937,278.401,276.79218,271.6098,277.69492,276.65286,275.49548,275.44894,275.98898,274.35837,275.8549,271.68808,269.66592
2020-01-03 00:00:00,272.86862,266.80447,265.67557,274.87915,273.48395,267.90424,274.21243,275.35492,273.41312,264.71188,274.36203,273.28436,269.6,268.84262,271.7444,268.66867,273.1418,265.1103,262.74228
2020-01-03 01:00:00,271.9047,269.16455,264.88797,274.56082,272.16022,272.88712,273.50323,273.21478,271.84116,264.36075,274.08423,272.5067,270.20084,270.69165,268.03543,268.04486,271.87296,264.47366,261.51727
2020-01-03 02:00:00,270.98383,267.2587,263.20624,272.81833,272.23224,272.10724,272.71582,274.187,272.26343,263.1089,272.3864,272.11163,269.3035,269.73816,269.19962,267.60068,271.42325,263.47723,260.23654
2020-01-03 03:00:00,270.9594,267.24823,263.1397,272.91983,272.14688,271.3005,272.28726,273.3812,272.1235,263.24533,272.60773,271.11966,268.2528,269.29926,269.8921,267.24255,271.02646,263.4921,260.15417
2020-01-03 04:00:00,270.08582,266.43878,262.6023,272.394,271.57513,271.26663,272.5391,273.3285,271.07324,262.57007,272.11212,264.47745,267.5423,268.84695,268.58972,267.00772,271.10995,262.7289,259.6972
2020-01-03 05:00:00,271.07202,266.83237,262.67767,272.9494,271.7165,271.1415,272.88547,273.23288,271.59412,263.084,272.8941,271.2235,263.74564,269.05176,270.09796,266.981,270.657,262.82712,259.60605
2020-01-03 06:00:00,270.444,266.60385,263.2843,273.1821,271.70462,271.1472,272.679,272.59134,270.98343,262.34076,272.61682,270.9007,267.4162,268.5952,268.96906,266.7138,270.48465,262.59293,259.77145
2020-01-03 07:00:00,269.5115,266.4111,262.72244,272.8883,270.7056,270.82523,272.74216,272.06985,271.17975,262.324,272.80948,269.7174,267.47852,268.27496,269.46545,266.53403,270.32745,262.73618,259.38925
2020-01-03 08:00:00,269.93472,266.29474,262.67047,269.20538,271.15936,269.44635,272.84903,272.53055,271.60693,262.39667,272.23752,270.14322,267.64542,268.64252,268.83405,266.33582,270.16516,262.38364,259.284
2020-01-03 09:00:00,269.7398,266.4182,262.61966,270.47806,271.74908,270.23663,272.81754,271.66443,270.89935,262.60522,270.6717,270.2218,267.32483,266.41446,268.41248,266.40643,270.40277,262.44394,259.56003
2020-01-03 10:00:00,269.40176,266.01797,262.59308,271.96027,270.56314,269.88736,272.71432,272.24628,270.93076,262.12433,271.98752,270.13104,267.60977,267.902,265.8261,266.23422,270.5781,262.29214,259.2121
2020-01-03 11:00:00,269.4844,266.28152,262.42603,272.31134,268.35632,269.80048,272.76892,271.90356,270.4415,262.32254,272.02286,269.7405,267.31955,268.55188,269.1043,266.08005,269.72363,262.2277,258.87274
2020-01-03 12:00:00,267.9299,265.8582,262.21457,271.9263,271.0494,269.3071,272.2609,271.92926,270.60434,261.709,271.77463,269.34705,267.12476,264.7817,266.69534,265.40863,269.26877,261.8169,258.7025
2020-01-03 13:00:00,268.7561,265.5826,261.65228,271.29498,271.01108,269.75378,272.46036,271.92676,270.63373,261.4888,269.97253,269.58185,266.71793,267.75507,262.90652,265.62518,269.3602,261.3528,258.81543
2020-01-03 14:00:00,269.5107,265.2701,260.98114,272.00665,270.44272,268.69324,271.9645,271.75528,270.53766,261.34198,271.60797,269.96558,266.07385,267.27493,265.4021,265.64908,269.6801,261.7164,258.44843
2020-01-03 15:00:00,269.06262,265.45795,261.522,270.70187,267.51572,268.61444,272.7539,271.98856,270.97714,261.4265,270.21143,262.79626,266.44617,267.7637,263.1433,264.8361,269.17545,261.2953,258.59787
2020-01-03 16:00:00,268.1106,266.1317,262.03244,272.0602,270.28412,266.61932,272.83307,272.4429,271.42096,261.40305,271.44138,269.43875,267.06964,268.0962,263.6069,266.0262,270.4818,261.66098,258.9744
