date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2007-01-01 00:00:00,272.55447,269.67477,266.53375,274.66513,273.7975,272.93582,277.78497,276.96967,276.47406,266.9637,274.76724,273.2181,270.83356,271.06213,272.44714,271.94574,274.41577,267.15408,264.08414
2007-01-01 01:00:00,272.03537,269.2248,266.3586,275.34128,273.99826,272.87787,278.29007,277.42426,275.8982,265.95743,275.0797,272.1685,270.19446,270.81384,271.948,271.33438,274.67105,267.25534,263.71793
2007-01-01 02:00:00,269.39233,268.94403,266.48257,275.71072,275.22443,272.61218,278.2458,277.43982,276.0285,267.0603,275.94043,269.6067,270.94656,269.9128,269.33328,271.7583,274.3393,267.21677,263.7427
2007-01-01 03:00:00,270.3312,269.58392,266.47195,275.91165,275.10864,271.24158,277.6693,277.2374,275.7872,267.13116,275.77707,269.84555,270.53455,271.17957,270.19952,271.82562,275.80664,267.4182,263.86743
2007-01-01 04:00:00,269.02512,268.34885,262.8108,275.4939,274.42648,272.53616,277.8505,277.12268,275.8059,267.1834,275.64056,269.17993,271.1087,268.90854,269.0391,271.67538,273.24524,267.48688,263.77475
2007-01-01 05:00:00,270.2655,269.84036,266.46622,275.4988,274.84897,272.47528,277.6349,277.03394,275.6152,265.52017,275.2577,269.3882,271.21933,268.2622,270.50574,271.96432,275.18552,268.01648,264.3182
2007-01-01 06:00:00,274.0067,270.22565,266.78522,275.90173,274.0639,270.959,277.17728,276.42743,274.449,265.6789,276.1597,273.7099,271.30957,273.00952,274.00528,272.40012,274.10626,267.97275,263.97156
2007-01-01 07:00:00,273.4676,269.85352,266.50378,275.25452,273.93344,272.31314,276.5988,276.1517,273.31296,265.0104,275.06723,272.78748,271.76364,272.48846,273.45227,272.6799,273.64005,267.8924,263.00278
2007-01-01 08:00:00,273.0813,268.46448,266.65955,274.79752,273.13,271.68103,276.25778,275.6546,273.14383,264.82028,274.66162,273.33215,270.6335,270.187,273.05106,271.52274,273.3856,264.40924,263.32434
2007-01-01 09:00:00,272.4661,270.07602,266.69778,274.1465,273.29086,270.95493,275.09653,274.8618,272.55118,264.87082,274.66058,272.91513,269.41904,269.90717,272.40833,272.87735,272.97076,265.4201,263.5258
2007-01-01 10:00:00,270.2039,269.30115,265.7802,276.0181,271.72678,273.65863,275.6687,275.2796,273.5546,266.25705,274.22876,270.17615,271.10324,272.25177,270.19745,272.98334,272.80197,266.94897,263.547
2007-01-01 11:00:00,273.5576,269.0826,265.33282,275.3815,272.88464,274.82355,275.54453,274.55917,273.56488,266.06097,274.94116,274.09076,271.35065,271.96997,273.49146,272.07202,272.49023,266.14548,262.89407
2007-01-01 12:00:00,273.32385,269.47214,265.5607,276.32227,273.50592,274.26172,275.76562,274.5736,274.31863,266.46417,275.88776,274.09183,271.53024,271.3961,273.24454,271.54614,273.2758,266.06967,263.04788
2007-01-01 13:00:00,273.38803,269.74548,266.27817,275.9239,272.91446,274.35986,274.52576,273.8097,273.38428,266.9152,275.49335,274.22076,271.48044,271.63235,273.2915,271.49216,272.42322,267.11307,264.0817
2007-01-01 14:00:00,271.86282,269.24155,266.52072,274.6003,273.0755,270.68146,275.21072,274.85367,273.97137,267.1964,274.01596,272.68594,271.1254,271.85745,271.67148,268.66522,273.13995,267.28043,264.0097
2007-01-01 15:00:00,271.47513,269.07574,266.26318,274.85855,272.89835,271.0287,276.16064,274.7751,274.33255,266.53687,273.19635,272.8392,270.4324,271.278,271.24185,268.80634,273.82977,267.31985,263.51547
2007-01-01 16:00:00,271.77417,268.81543,265.85043,276.0862,272.48834,269.70483,276.1717,274.59613,274.31027,266.65393,275.106,272.75223,270.1974,267.9074,271.47562,270.4402,273.85928,266.37167,263.1055
2007-01-01 17:00:00,273.47498,266.8947,265.94543,275.68774,273.43005,273.80075,276.15417,273.33005,274.25726,266.49435,275.6174,273.6805,270.6447,272.28513,273.40054,270.55038,273.0704,266.4634,263.20404
2007-01-01 18:00:00,272.28143,267.9269,266.01974,275.92545,272.82272,273.99103,276.08987,273.10294,273.53665,266.9788,274.90625,272.6868,269.48914,271.2723,272.23648,270.6792,272.8193,264.62122,263.26294
2007-01-01 19:00:00,272.77747,264.89407,265.5584,274.76865,270.09668,273.17352,275.68573,273.48108,274.32227,266.78363,274.33405,272.72665,269.84207,271.66876,272.7199,270.3672,272.95728,266.4496,262.99594
2007-01-01 20:00:00,268.7163,267.77972,265.53598,274.1605,269.5761,273.17072,275.04453,275.45105,273.26318,266.87265,273.59732,269.07675,269.47473,270.60577,268.59717,270.07803,272.89902,264.4172,262.84238
2007-01-01 21:00:00,271.61777,267.49902,265.64877,274.8598,271.99506,271.06253,273.9731,273.57138,273.20084,266.00055,274.15622,272.1189,270.0603,270.4237,271.5838,270.26477,273.31024,266.86865,263.28494
2007-01-01 22:00:00,272.54803,269.64325,266.23575,274.45197,274.37827,273.925,273.96722,273.25122,272.95734,265.59515,274.13177,272.27518,270.039,268.65393,272.40265,270.2939,273.61905,266.68427,263.51193
2007-01-01 23:00:00,272.4065,269.6003,266.19412,275.12674,270.2407,273.5868,273.65768,272.19406,273.3367,266.46686,274.40057,272.99,270.3783,270.18866,272.29807,270.388,273.566,266.49255,263.60104
2007-01-02 00:00:00,272.65137,268.99384,265.51892,275.17584,273.14056,273.94107,275.10074,273.6639,273.85016,266.50186,274.60382,273.222,270.60544,267.49094,272.57053,270.41028,273.08682,266.29166,262.9605
2007-01-02 01:00:00,270.92413,268.8624,265.36368,275.40353,272.389,273.03598,274.53748,273.68903,273.8568,266.7018,274.8684,272.5721,269.54056,266.52332,270.52045,270.53656,273.16513,266.0849,263.0915
2007-01-02 02:00:00,272.39014,268.90652,265.87646,275.28067,273.87115,273.22214,273.61368,272.95557,273.1841,266.1519,273.70837,272.98624,269.8226,266.7731,272.2857,266.53555,273.7849,266.31018,263.35165
2007-01-02 03:00:00,272.92218,268.63763,265.41406,275.6892,271.75784,273.12317,275.3552,274.06418,274.4608,265.70795,273.772,273.68784,270.47046,267.6394,272.79926,268.88553,273.52725,266.29968,262.99847
2007-01-02 04:00:00,272.11368,268.84464,265.212,275.01535,273.23383,272.5773,273.5313,272.3491,273.24106,266.3209,273.34332,273.14133,269.58554,268.09158,271.91376,269.59882,272.9106,266.44778,262.72745
2007-01-02 05:00:00,270.1616,268.85757,265.60626,274.39948,268.7883,271.1774,274.747,274.1067,274.1001,265.45242,273.268,272.01743,270.1727,267.42624,269.84988,269.72186,272.94223,266.36337,262.90704
2007-01-02 06:00:00,271.6836,269.1996,265.92444,274.00235,272.08118,272.70374,274.43954,273.38766,273.6623,265.09174,272.03635,272.15,269.41827,266.95102,271.57477,270.11145,273.04422,266.19128,262.7786
2007-01-02 07:00:00,271.22482,269.18512,265.75537,274.4418,271.47723,273.38937,274.47818,273.74283,273.3212,265.01355,274.08917,272.3097,269.61932,267.58667,271.14514,268.75613,272.72177,266.23584,262.85565
2007-01-02 08:00:00,270.0022,269.46854,266.00818,274.5288,271.87177,273.44073,275.15213,273.85724,273.32455,264.55786,273.85367,271.57495,270.24387,267.0678,269.8036,270.16904,273.05954,266.24133,263.0863
2007-01-02 09:00:00,271.22775,269.14273,265.75937,274.7237,270.66147,273.8299,276.39536,273.91373,274.12408,266.32022,274.64914,271.50293,269.95737,267.52594,271.19412,268.06952,272.65125,266.561,263.4558
2007-01-02 10:00:00,271.79034,269.4087,265.81308,274.81387,272.32233,274.57434,276.32925,274.175,274.09055,266.672,274.42023,273.06024,270.20328,268.17517,271.56885,269.46176,273.0805,266.9049,263.54492
2007-01-02 11:00:00,271.2841,270.34586,266.33298,274.45657,272.64655,273.79117,276.4332,274.99017,274.56625,266.78317,274.10834,272.83267,270.45697,270.50018,271.0585,270.28824,273.3393,266.90656,263.10623
2007-01-02 12:00:00,272.70654,269.59772,266.2248,274.45557,273.1801,274.1339,275.95316,273.63144,273.43494,266.65613,274.3911,273.7498,270.08014,269.6951,272.5359,269.07236,273.13138,266.79526,263.2435
2007-01-02 13:00:00,272.41263,269.3085,265.58572,275.1203,272.81528,273.7407,275.38397,274.1906,273.47433,266.94287,274.89078,273.70673,270.17175,267.8619,272.1732,270.2495,272.9787,266.29214,263.2799
