date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2007-01-01 00:00:00,272.03787,269.50568,266.72946,274.87393,274.00565,273.1308,277.41946,277.00668,276.4707,266.977,275.06223,273.10382,270.98218,270.13644,271.93277,272.0604,274.48456,267.2345,264.5527
2007-01-01 01:00:00,271.09845,269.0994,266.61423,275.67578,274.16275,273.0015,277.30023,277.88715,276.02356,266.8085,275.2534,270.99762,269.93002,269.89157,271.10843,271.51416,273.2576,267.23572,264.11053
2007-01-01 02:00:00,269.78183,267.60278,266.6792,275.8543,275.68976,273.18814,277.83023,277.769,275.79773,267.21774,275.73044,270.5437,269.92657,269.50665,269.62946,271.87582,274.16156,267.2279,264.10577
2007-01-01 03:00:00,269.609,268.1259,266.74634,275.7557,275.34366,271.8174,277.3576,277.51678,275.74188,267.07596,275.78064,269.2678,270.26898,270.3608,269.63336,271.56613,275.87134,267.3466,264.22513
2007-01-01 04:00:00,269.60587,269.9847,265.08563,275.38025,276.16705,272.57422,277.66962,277.43756,275.92398,266.69598,275.32965,270.3646,270.9626,270.76364,269.60825,272.1384,273.92538,267.25842,264.26663
2007-01-01 05:00:00,270.24796,270.34433,266.5219,276.2005,275.65753,271.97925,277.41983,275.99277,275.9524,265.41034,276.2272,268.92218,270.9398,268.71976,270.46625,272.12482,275.37946,268.2507,264.42383
2007-01-01 06:00:00,273.5167,270.3724,266.99374,275.89423,272.0375,270.3983,276.60883,276.16324,274.2907,265.6841,276.40973,273.04974,270.69965,272.96542,273.612,272.30338,274.0718,268.21036,264.21814
2007-01-01 07:00:00,273.7096,269.75168,266.62943,275.4175,273.79047,272.42886,275.22635,275.77206,275.86438,265.00418,275.7316,273.41095,271.07736,272.6571,273.68167,272.57983,273.3734,268.27292,263.4635
2007-01-01 08:00:00,273.34747,267.73978,266.45078,275.53323,273.12497,271.82477,275.5707,275.98444,274.27786,264.95496,275.45044,273.9071,270.17395,270.4699,273.26358,271.02634,272.81146,263.48547,263.88748
2007-01-01 09:00:00,272.39047,270.29688,266.93665,274.19238,272.26648,271.75577,274.92108,275.26462,271.73975,264.1322,273.7798,272.94693,269.03683,270.0478,272.32233,271.77075,272.5001,264.48163,263.98584
2007-01-01 10:00:00,270.0073,269.24615,265.79868,275.86862,273.29263,275.127,275.3437,275.5658,273.3025,266.36404,275.11328,271.46298,270.46906,272.13934,269.945,272.5143,272.37158,267.14838,263.81555
2007-01-01 11:00:00,272.9762,268.84976,265.34723,275.92596,273.41446,275.0291,275.16135,275.28607,273.7664,265.97778,275.33957,273.74405,270.11298,271.95526,272.85648,271.7935,272.754,266.3934,263.26312
2007-01-01 12:00:00,272.99075,268.91217,265.62964,276.09644,273.46686,274.27362,275.56335,274.94913,274.36523,266.29816,275.45248,273.93643,271.20285,270.5344,272.88885,271.2782,273.16415,266.32413,263.24475
2007-01-01 13:00:00,272.8392,269.53818,266.13666,276.12598,273.62653,274.60672,275.26456,273.9493,273.40115,266.5596,275.65756,273.79776,271.383,271.14194,272.72598,270.50397,272.71872,266.7958,263.98636
2007-01-01 14:00:00,270.8481,269.62656,266.79764,274.95123,273.56293,272.54822,275.1156,274.84647,274.06738,265.4375,274.71313,271.72775,270.4017,269.0423,270.561,266.87082,272.8915,267.20828,264.5752
2007-01-01 15:00:00,269.47726,269.0226,266.26178,275.6534,270.6703,269.68967,276.06433,274.95822,273.83948,266.73642,274.88675,272.41574,270.32034,269.92267,269.45645,268.84448,272.75333,266.7006,263.9441
2007-01-01 16:00:00,273.7305,269.54514,266.49673,275.68903,272.34775,273.4747,276.3943,273.7881,274.05246,266.91165,275.41434,274.50693,270.22766,271.949,273.64133,268.5148,271.55432,266.2276,263.88812
2007-01-01 17:00:00,273.3197,269.6086,266.03415,276.1919,271.78888,274.36972,276.48456,273.96146,274.60422,265.8108,275.35727,274.26874,270.20233,272.2501,273.25638,271.12216,271.97632,267.26358,263.72678
2007-01-01 18:00:00,273.98337,267.41992,266.12842,276.28955,273.5435,273.5804,276.77606,274.10233,274.72528,266.47528,275.25333,274.73828,269.63586,272.51974,273.89542,269.73102,270.0875,265.8536,263.4857
2007-01-01 19:00:00,273.12607,267.5998,266.06778,275.2583,272.08832,272.58997,276.07428,274.2193,274.71347,266.6629,275.2299,273.2506,269.67166,270.96445,273.0764,270.4363,272.6811,266.8605,263.43527
2007-01-01 20:00:00,271.8383,268.65726,264.9309,274.24396,270.43207,272.94424,274.4826,274.2852,273.40875,266.0669,273.83035,270.7968,269.69247,271.86783,271.80405,270.2844,273.18167,266.72678,263.60037
2007-01-01 21:00:00,271.33017,268.80597,266.3239,275.11124,274.1941,270.48798,274.2533,275.6059,273.40485,265.46118,274.8103,271.99573,269.85205,269.7662,271.2781,270.61343,272.7294,264.32684,264.0965
2007-01-01 22:00:00,272.80966,268.92822,266.63693,275.28088,271.7489,274.00296,273.58044,273.3825,273.80545,266.29315,274.73825,273.96423,269.81567,270.6956,272.6566,270.70325,273.18854,266.90817,263.4952
2007-01-01 23:00:00,270.14993,268.9686,265.8604,275.47772,271.0073,274.27838,274.3023,274.18365,274.1007,266.26477,274.94293,269.7126,269.74265,270.64307,270.24292,270.50693,272.86404,266.7987,263.23312
2007-01-02 00:00:00,272.66315,269.05838,266.01315,275.3838,271.0428,273.20096,274.9573,274.63712,273.64133,266.81494,274.60876,273.35806,269.84152,267.7105,272.5417,270.39218,272.64487,266.3685,263.13547
2007-01-02 01:00:00,271.93277,269.63712,266.2557,274.1845,272.13205,272.5612,273.76605,273.91275,273.7442,265.91873,274.06885,272.1232,267.93765,270.9067,271.87958,270.4394,273.2149,266.35507,263.28445
2007-01-02 02:00:00,271.8317,268.13208,265.67603,275.20285,269.8271,272.76828,275.1149,274.92026,274.33826,265.72662,272.20056,272.65024,270.31143,270.43747,271.7417,268.51566,272.91974,266.55,263.30533
2007-01-02 03:00:00,271.66165,268.9697,265.74557,274.88367,272.92633,270.4483,273.99185,273.87292,273.1968,265.82462,274.60574,273.02808,269.7419,267.02026,271.40588,270.13666,273.15598,266.2846,263.3865
2007-01-02 04:00:00,271.97543,267.88654,266.3575,275.2654,270.81912,272.32758,274.30612,273.44962,273.8033,266.18704,273.2002,273.00803,269.60623,270.52347,271.86298,270.3879,273.29132,266.5014,263.84482
2007-01-02 05:00:00,271.04044,269.0397,265.7819,274.7523,271.34677,272.64694,275.03702,273.8359,274.04095,265.8738,273.9637,272.30502,270.03745,270.8793,270.84744,270.17422,272.99265,266.76352,263.04495
2007-01-02 06:00:00,271.2114,268.8133,265.81903,274.72797,271.22318,273.6165,274.95685,273.85007,273.9299,264.7807,273.72296,272.05515,269.58792,268.3286,271.16425,269.94666,273.1661,266.49158,263.03622
2007-01-02 07:00:00,271.7978,269.0681,266.00488,275.04242,271.87967,273.46973,275.2024,274.14304,273.40588,265.7154,274.13913,272.18384,269.58643,269.05347,271.71582,268.57666,272.93332,266.32443,263.2861
2007-01-02 08:00:00,271.05746,269.44876,266.49557,275.15448,272.2374,274.0922,274.76086,273.8953,273.48383,264.99805,274.28726,271.5864,269.77692,267.46112,270.98383,269.74692,273.26526,266.4773,263.51614
2007-01-02 09:00:00,271.29532,269.3766,265.96616,274.66956,271.73816,273.11533,276.74942,274.3797,274.19583,266.51852,273.74588,271.53198,269.93057,268.29507,271.20883,269.04062,273.25046,266.7376,263.9374
2007-01-02 10:00:00,272.1271,269.79834,266.63947,275.0989,273.17557,274.24316,276.5321,274.09134,274.42233,266.86124,274.89658,272.9046,270.21204,269.51636,272.01846,268.62225,272.95557,267.0938,263.67413
2007-01-02 11:00:00,271.21704,270.08606,266.9124,275.29535,273.3931,273.90582,276.00104,274.72763,274.7749,266.86792,274.86423,273.0784,270.32504,270.12582,270.97195,269.5849,272.9607,266.76236,263.9534
2007-01-02 12:00:00,272.3919,269.59842,266.5149,275.36038,272.5619,273.8169,276.1595,274.1211,274.0101,266.51013,275.03488,273.69888,270.12155,268.88837,272.20145,270.37558,272.4516,266.62698,263.42932
2007-01-02 13:00:00,272.40598,268.6947,265.78793,274.74637,271.63974,273.97278,275.94183,274.16837,274.3188,266.1746,273.75772,273.3727,269.964,268.7054,272.33633,270.5118,273.05225,266.54004,263.32538
2007-01-02 14:00:00,272.50925,268.98627,265.4067,274.20636,272.49997,272.98215,275.85593,272.8341,274.21536,266.28104,274.12186,273.65543,269.39706,270.03296,272.4518,269.59512,272.22098,266.4043,262.8591
2007-01-02 15:00:00,272.2001,268.72345,265.34283,274.5233,271.98776,274.19922,275.44757,273.51605,272.97195,266.10663,274.48273,272.9828,269.24078,267.75906,272.09653,268.43295,271.89185,265.5922,262.9284
2007-01-02 16:00:00,272.2635,268.78342,264.937,275.2651,272.30115,273.55423,274.94788,272.99173,272.94696,265.44885,274.1555,272.8814,269.13043,270.4729,272.18347,267.87552,270.6446,265.9885,262.35022
