date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2009-01-01 00:00:00,262.9195,262.23798,261.78442,268.23703,269.774,268.75894,271.8014,270.66568,269.9328,260.33313,270.10468,266.48718,263.09824,262.62024,262.83456,266.26733,269.2827,260.4482,260.0327
2009-01-01 01:00:00,265.55377,263.45697,261.17023,267.84366,269.74588,265.50964,271.5551,270.7008,270.49765,260.81097,270.84756,266.94614,264.3553,262.91406,265.37955,265.31393,268.80902,261.09506,259.93036
2009-01-01 02:00:00,263.74512,262.2201,260.97278,268.9058,269.6763,266.4364,270.584,270.03616,268.61578,260.22385,266.68256,266.22934,262.7289,261.52264,263.79773,266.06174,264.08942,260.23306,259.60406
2009-01-01 03:00:00,266.4998,263.9881,261.21393,268.48187,269.54385,265.7929,271.55453,270.44882,270.0232,259.68863,270.21814,267.58923,261.46262,264.6344,266.41843,261.9972,268.08633,260.54324,259.47644
2009-01-01 04:00:00,261.40588,260.53613,261.18698,266.8583,269.55786,268.5923,271.61273,270.36942,268.4655,260.51785,268.60678,263.49396,262.7198,260.14935,261.2816,261.7124,263.47284,260.43793,259.41342
2009-01-01 05:00:00,265.16922,257.08878,260.86368,269.3675,266.51337,266.25748,269.78757,269.9334,268.371,260.41635,269.2465,267.10962,260.43985,261.35138,264.83746,261.99622,266.7569,260.73624,259.07315
2009-01-01 06:00:00,266.1046,259.07907,260.72678,267.50226,268.42053,267.04663,269.65976,269.3401,268.29623,260.52512,269.41776,264.79007,260.66162,262.1948,266.107,262.6726,267.61493,258.27405,258.9662
2009-01-01 07:00:00,262.22546,260.4178,260.86313,266.28687,268.35114,264.12134,270.22952,269.70856,268.6571,261.20993,268.88263,261.1609,261.7658,260.3886,262.25845,258.77216,264.17105,260.34708,259.45486
2009-01-01 08:00:00,261.75742,257.559,261.12604,267.9919,268.39188,264.2975,268.73343,268.75388,267.85028,260.1637,268.43698,260.14404,260.99713,260.64905,261.81808,259.84705,262.86713,260.57333,259.46268
2009-01-01 09:00:00,260.35498,258.9119,261.12042,268.16815,267.04767,264.4963,270.05386,269.4852,268.46982,255.48717,267.4207,260.3813,259.3837,259.7296,260.19357,261.36154,263.8537,257.81567,259.0817
2009-01-01 10:00:00,260.67365,259.70288,261.1002,267.81274,268.28653,265.39648,270.3176,269.59897,269.7052,261.24738,267.12256,261.03522,262.3971,259.9575,260.63858,263.48727,265.42188,260.8348,259.66116
2009-01-01 11:00:00,262.6866,260.1015,260.52875,268.67838,268.75153,268.55966,270.60233,269.99643,269.8624,260.91663,269.12994,262.63095,262.40866,261.59613,262.59265,265.16006,267.17914,261.20413,259.8062
2009-01-01 12:00:00,262.1128,260.9922,261.1843,266.63614,268.43817,268.5254,269.97125,269.71887,269.43793,259.23627,267.00287,263.75784,262.98453,261.55408,261.99142,265.2609,268.63745,257.9173,259.73618
