date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2011-01-01 00:00:00,272.20837,268.2818,264.62326,273.26025,272.9594,272.05774,272.9943,272.913,272.44763,264.54068,270.83475,272.65436,268.87192,270.71213,272.13196,270.13348,271.93878,265.41797,261.6712
2011-01-01 01:00:00,270.86737,267.5208,263.86084,270.7859,272.21542,271.58463,273.39587,272.1279,272.76965,264.1172,269.69266,271.32025,268.85278,269.86298,270.8567,269.5979,271.44543,263.60443,261.25317
2011-01-01 02:00:00,271.04938,267.663,264.32053,272.31076,272.189,271.49628,273.2458,272.59717,272.06845,264.73447,269.87012,271.68445,268.33438,270.02774,270.98483,269.42468,271.4093,264.08112,261.24725
2011-01-01 03:00:00,270.161,268.3049,264.52554,273.03107,272.6776,271.4473,274.21503,272.72958,272.99246,264.4433,269.8594,270.65448,268.46973,270.6336,270.06158,269.2719,271.7843,264.65952,261.41544
2011-01-01 04:00:00,271.61115,267.53708,263.90152,272.8907,272.9682,271.44284,272.989,272.47607,273.48526,264.01886,270.4693,271.9417,268.5203,270.5444,271.60187,269.12762,271.46112,264.22772,261.488
2011-01-01 05:00:00,271.48334,267.29926,264.43567,272.67764,272.64975,271.18573,273.42413,272.83618,272.73,263.87048,267.80637,271.98926,268.60846,270.41464,271.4466,268.9054,270.97003,264.65588,261.15848
2011-01-01 06:00:00,271.72977,267.42322,263.73273,272.68762,271.9866,271.67133,273.71597,272.39615,272.5759,263.91525,271.36615,272.14902,267.6228,270.29742,271.68698,269.50574,271.04614,264.52917,261.0221
2011-01-01 07:00:00,271.32037,267.15854,264.005,272.62982,271.7301,271.1445,273.33875,271.92038,272.0936,263.3027,270.28284,271.89334,267.85757,269.92468,271.2643,268.44376,270.66644,264.35812,260.76694
2011-01-01 08:00:00,271.43372,267.73553,263.88834,272.42014,271.6959,270.8782,273.3215,271.97086,272.2682,265.20224,271.25,271.95486,267.62787,270.0723,271.39142,268.23978,270.86887,264.4681,260.7892
2011-01-01 09:00:00,269.83255,267.74905,264.2133,271.6454,271.73685,270.6336,273.50198,272.25494,271.1682,264.32593,270.4291,270.57352,267.14795,269.04175,269.6364,268.3755,270.78403,263.94305,260.67303
2011-01-01 10:00:00,270.20044,266.79767,263.12662,271.94025,271.78342,270.38144,272.9318,272.09976,272.18884,263.87622,270.11636,270.77124,268.38547,269.53806,270.2232,269.04254,270.85803,264.49503,260.48123
2011-01-01 11:00:00,270.4773,267.5071,263.61618,272.4096,272.08353,268.554,272.83258,272.0223,272.14777,263.73123,270.894,270.8341,268.3394,269.5015,270.49188,268.628,271.2323,263.93292,260.36533
2011-01-01 12:00:00,270.80264,267.49637,263.8687,272.11734,272.11884,270.7758,273.62442,271.98166,272.04892,264.17007,269.2543,271.16608,267.9428,270.05847,270.82468,269.14203,271.12747,264.48132,260.76822
2011-01-01 13:00:00,269.55984,267.05536,263.48682,272.38748,270.73416,270.9356,273.62695,271.69305,271.5156,263.7048,271.25912,270.3869,267.48856,269.12448,269.55823,268.32016,271.055,264.13058,260.5979
2011-01-01 14:00:00,269.4794,266.6585,263.02225,272.43344,272.12665,267.1409,273.1381,271.53595,272.16162,263.36765,270.0141,270.35367,267.39407,269.7994,269.46976,268.0367,270.2686,263.4701,260.6185
2011-01-01 15:00:00,270.23843,266.67563,263.01898,271.66397,271.02936,270.67273,272.79236,271.75803,271.561,263.12463,270.74512,270.62967,267.1824,268.91846,270.2077,268.33762,270.3857,262.96542,260.19318
2011-01-01 16:00:00,267.9,266.65646,263.27362,269.3968,271.2477,271.0614,272.7137,270.63202,271.25055,262.73184,269.59872,269.23782,267.24774,267.97873,267.67233,267.67972,270.61038,263.50583,260.05432
2011-01-01 17:00:00,269.18408,265.96344,262.2926,272.18646,271.28415,269.4803,272.94974,271.17838,271.24982,263.41348,266.38116,269.7064,267.21692,266.35632,269.25653,267.59436,270.51337,262.82968,259.64032
2011-01-01 18:00:00,268.65622,265.80273,262.59482,270.70453,271.05127,270.04498,272.44745,271.35678,271.12906,262.9259,267.96652,269.02676,267.03217,267.4026,268.64685,266.4002,269.20074,261.83167,259.52142
2011-01-01 19:00:00,267.08594,266.03232,262.8581,268.82083,270.77887,269.713,272.44586,270.97766,270.401,262.63034,267.8345,268.75897,266.89862,264.7679,267.21106,262.1027,268.06674,263.0909,259.74103
2011-01-01 20:00:00,266.74243,266.3019,263.27377,270.28528,270.56882,269.53915,272.29416,271.37354,271.00568,262.4149,268.70752,266.67297,266.56064,267.48074,267.07224,263.3222,269.546,263.3238,259.9446
2011-01-01 21:00:00,266.85583,265.93597,263.15958,271.38013,270.9087,268.44827,272.18884,271.23764,271.08435,262.44006,268.8429,268.46738,266.75366,265.69345,266.98453,263.37787,268.27673,262.48224,260.25092
2011-01-01 22:00:00,266.95096,265.23886,263.2838,271.46945,271.4549,263.59006,271.73975,271.26874,271.39902,262.24628,268.723,268.41272,266.71503,265.5941,267.10056,266.12473,269.5634,263.31696,260.0085
2011-01-01 23:00:00,268.61505,265.992,262.68442,271.27463,271.05383,267.91357,272.293,271.2348,271.02634,263.15805,268.9798,269.42218,266.48495,267.4282,268.48953,267.11896,269.34076,263.3766,259.72543
2011-01-02 00:00:00,266.9009,265.41373,261.89294,269.65247,270.4358,268.88348,272.56934,270.47208,270.82172,263.34976,266.13123,267.9097,266.53934,265.38757,266.56323,267.46213,269.5397,262.8699,259.68463
2011-01-02 01:00:00,267.58035,266.2894,262.74692,271.51178,271.0593,266.1994,272.77756,271.0006,270.4955,262.87213,267.3953,267.81824,266.37283,267.99725,267.39597,266.17075,269.45248,263.38757,259.70984
