date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2015-01-01 00:00:00,274.80658,271.7757,269.3127,274.52487,278.1863,276.60352,279.64255,278.4004,279.76465,270.52054,274.7406,275.1042,273.69278,273.7995,274.75858,273.05612,277.05045,270.5961,267.03336
2015-01-01 01:00:00,274.37534,271.7145,269.30093,274.62302,277.9746,276.0753,280.20636,278.38412,279.767,270.07513,275.16925,274.60098,272.40155,272.92847,274.31647,273.03937,277.13318,270.65802,267.24286
2015-01-01 02:00:00,274.31607,271.8882,269.30658,274.51718,277.9871,276.2993,280.05643,278.3664,279.91144,270.37527,274.78198,274.48587,272.927,273.6413,274.2931,273.05402,276.37875,270.99207,267.04572
2015-01-01 03:00:00,274.99487,272.02188,269.33646,274.59503,278.10452,275.72952,280.14624,278.35455,280.14212,270.59164,274.81644,274.98047,273.9514,273.7838,274.9473,273.3187,277.02655,270.9182,267.45944
2015-01-01 04:00:00,274.22348,271.98196,269.57257,274.6288,277.90186,276.56213,279.12714,278.47116,279.48328,270.7223,274.69113,274.42612,274.41693,273.40988,274.1693,273.38098,277.00912,271.09003,267.39005
2015-01-01 05:00:00,274.41345,272.475,270.26874,276.0223,277.52283,276.89896,279.86633,277.9992,279.29733,271.23477,275.76163,274.5692,274.57645,273.74872,274.37778,274.32895,276.57883,271.9339,269.4783
2015-01-01 06:00:00,274.6839,273.2643,270.61975,276.79282,277.27536,276.48022,279.21243,277.9652,279.11334,271.974,275.79297,274.8841,274.4186,274.70462,274.68884,274.45068,276.43756,272.2002,269.34555
2015-01-01 07:00:00,275.6794,273.57306,271.26898,277.27454,277.63138,277.15195,279.45633,278.23566,279.36188,271.90427,276.2395,276.27466,274.5274,274.9493,275.6296,274.51645,276.6739,271.96683,268.94452
2015-01-01 08:00:00,276.15213,273.72318,271.0956,277.73438,276.6716,277.28067,278.83908,277.42258,277.55554,271.85645,276.99008,276.60873,274.44965,273.75323,276.12384,274.3597,276.23434,271.91418,268.4141
2015-01-01 09:00:00,275.76004,273.5846,270.41574,276.8922,276.37912,276.94864,278.60324,277.47614,277.24277,271.14407,276.23434,276.3011,274.19638,275.19656,275.6684,274.08917,275.93304,271.3061,268.52032
2015-01-01 10:00:00,275.68625,272.86102,270.03052,277.14957,276.17084,276.2931,278.68076,276.84766,278.00854,270.7292,276.1135,276.29166,273.74817,274.62262,275.60242,273.89102,275.93558,271.11185,267.7553
2015-01-01 11:00:00,274.26285,272.323,269.7757,277.32257,276.01648,276.14313,278.3053,277.5149,278.06314,270.5616,276.10767,274.23767,273.90475,271.76044,274.00732,274.02753,275.8475,270.5555,267.523
2015-01-01 12:00:00,276.2386,272.64966,269.93988,277.50296,276.6493,276.6518,278.69547,277.4549,278.04724,270.12256,276.14917,276.8641,274.13074,274.35742,276.155,273.92505,276.2757,270.8815,267.4182
2015-01-01 13:00:00,276.9133,272.7833,270.1018,277.20044,277.36377,276.0435,278.41742,277.16022,278.30615,270.52298,276.17978,277.49658,274.2119,275.0618,276.84344,274.0757,276.1457,270.97635,267.6936
2015-01-01 14:00:00,275.24905,272.67758,269.82584,277.28046,276.8972,275.6757,279.71118,277.66302,278.0364,270.34048,276.52475,275.33984,274.12598,274.4914,275.21075,273.99957,276.41412,271.01886,267.4617
2015-01-01 15:00:00,275.32578,272.54074,270.01398,276.53253,276.7794,274.78815,279.44653,277.8214,278.01248,270.71957,276.21835,275.87228,274.27393,274.3853,275.26547,273.9416,276.613,270.78772,267.6808
2015-01-01 16:00:00,275.5547,271.77155,270.04565,276.69183,276.6053,276.0508,279.2237,278.09283,278.8019,270.52414,276.2463,275.81528,273.51044,274.91858,275.55402,273.7446,276.5498,270.67645,267.50113
2015-01-01 17:00:00,274.8375,272.34332,269.66858,275.9135,276.7436,275.85413,279.0935,277.4302,278.25455,270.94357,276.52155,275.28534,273.65796,273.87717,274.77463,273.63605,275.6802,270.6638,267.0134
2015-01-01 18:00:00,274.54422,272.0079,269.63034,275.72974,276.38126,275.46283,279.14267,277.7952,278.39624,270.9385,276.14713,274.7095,273.3871,273.72568,274.49463,273.30902,276.38513,270.6498,266.8954
2015-01-01 19:00:00,274.37332,271.83047,269.29926,275.5205,277.1276,275.2225,278.43536,277.48663,277.85474,270.81528,275.62186,274.58475,273.1106,273.5564,274.32257,272.99014,276.10095,270.55756,266.92273
2015-01-01 20:00:00,274.2574,271.62076,268.96997,274.7146,278.6169,275.29733,278.88303,278.4344,278.29666,270.8294,274.88074,274.4593,273.05853,273.39658,274.2139,273.11276,276.54443,270.42117,266.37448
2015-01-01 21:00:00,274.1726,271.6888,269.04382,274.49335,278.7266,275.42294,278.73203,279.25314,278.5255,271.04544,274.8248,274.38837,273.2403,273.41513,274.13605,273.37903,276.17157,270.63867,267.0354
2015-01-01 22:00:00,273.87686,271.76517,269.2903,274.52646,278.9059,275.25208,279.0863,278.85208,278.80005,270.15207,274.512,273.90585,273.74142,273.56586,273.85083,273.83466,276.9283,271.19562,267.2172
2015-01-01 23:00:00,273.24664,271.66058,269.77606,274.0094,277.2737,274.1614,276.99887,277.9719,278.52463,269.9418,274.30878,273.33444,274.3462,273.56506,273.2438,273.5118,276.80652,271.74274,268.47012
2015-01-02 00:00:00,273.2079,271.74924,270.7797,274.2583,276.558,274.04074,276.41656,276.53195,274.2718,270.05698,274.1394,273.2641,274.50183,272.78326,273.20853,272.88806,275.19626,271.7797,268.3731
2015-01-02 01:00:00,273.94122,271.23947,267.8201,276.44678,274.7719,275.85107,276.137,274.8444,273.73047,270.02985,276.1618,274.38202,273.52,273.6195,273.8275,272.13562,273.6362,270.93848,264.92944
2015-01-02 02:00:00,274.50354,270.14053,266.53268,275.44376,273.82797,274.9438,274.62503,274.2689,273.46494,267.5499,275.69724,274.83636,272.4886,273.16898,274.45984,269.88293,273.01654,268.89133,263.87616
2015-01-02 03:00:00,273.66736,269.5511,266.61505,275.412,270.83163,275.64252,274.42786,273.13922,273.67346,267.5848,275.20572,273.94037,271.1364,271.17313,273.63757,267.7452,270.70642,267.91745,263.7506
2015-01-02 04:00:00,274.23773,269.03458,266.17722,275.5069,268.72534,273.97424,274.99536,273.60782,274.03476,266.7935,275.25027,274.80325,270.88495,268.30798,274.1676,270.8178,273.3218,266.96246,263.42862
2015-01-02 05:00:00,272.18417,269.36722,266.5368,273.87747,270.89886,272.17673,273.82916,273.6517,273.2062,266.46533,273.4284,272.34933,270.3922,269.29077,272.1209,270.33325,273.2147,266.78766,263.29913
2015-01-02 06:00:00,271.8237,269.32886,265.48532,274.69754,273.94153,272.6313,274.61148,275.45026,273.8413,266.20026,273.4289,272.77127,270.53818,272.08533,271.61475,269.57178,273.74518,266.35724,262.513
2015-01-02 07:00:00,270.36545,267.7307,264.61948,272.41138,270.8864,272.39148,274.57898,272.8247,272.45154,264.68417,272.43588,271.6575,269.39438,270.21762,270.12595,269.0944,270.54962,265.58646,261.414
2015-01-02 08:00:00,270.8306,267.3609,264.03098,270.89355,269.2421,271.73248,274.28363,273.3045,272.1108,264.58856,270.46207,271.67627,268.9055,268.55927,270.6972,268.92865,270.60532,264.55945,261.1758
2015-01-02 09:00:00,269.26752,266.80103,263.54382,268.3456,271.1134,271.93463,273.9337,272.75278,272.45184,263.9478,270.78705,270.8435,268.81552,269.79034,268.8942,267.5315,271.71753,264.32425,260.82605
