date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2020-01-01 00:00:00,275.7389,272.0788,269.9107,278.25626,276.55807,276.62704,277.9931,277.0505,277.50098,270.0006,277.68948,276.4077,273.3319,274.48346,275.6709,273.53433,275.73425,270.04208,268.68198
2020-01-01 01:00:00,275.62506,271.93472,269.46408,277.44022,276.4403,276.0151,278.77167,276.88904,277.42032,269.65887,276.7604,276.39844,272.67462,274.43475,275.5125,273.2594,275.73425,269.8056,268.11484
2020-01-01 02:00:00,275.28845,271.45697,269.19424,277.35516,276.29794,275.9962,278.30307,276.67847,277.38635,269.5096,277.10852,275.76346,272.77637,273.94412,275.218,273.14954,275.51355,269.57925,267.9604
2020-01-01 03:00:00,275.1544,271.54288,269.49747,277.16806,275.9004,275.4976,278.87845,276.6863,277.56757,270.0964,276.57095,275.7643,272.27115,274.0852,275.08102,272.7636,275.1116,270.02075,268.29736
2020-01-01 04:00:00,275.4414,271.13907,269.1782,276.9475,275.90875,275.12302,278.38217,276.56052,277.02228,269.02216,276.37683,276.03162,272.26663,274.06894,275.33856,272.88467,275.21313,269.47775,267.8631
2020-01-01 05:00:00,275.05765,271.402,269.62595,277.04666,275.72964,274.9091,278.88675,276.90802,277.4942,269.2064,276.33698,275.709,272.12622,273.81104,274.97623,272.70612,274.93146,269.42184,268.3545
2020-01-01 06:00:00,274.9612,271.34177,269.29636,277.04364,275.81482,275.23108,278.49985,277.39917,277.5727,269.24167,276.18958,275.5926,272.25766,273.8864,274.89008,272.6693,274.99994,269.40198,268.11914
2020-01-01 07:00:00,274.8817,271.25198,269.49924,276.82907,275.97144,275.58002,277.969,277.0483,277.52545,269.3021,275.57773,275.5291,272.34714,273.78195,274.80743,272.62357,274.9822,269.41602,268.14706
2020-01-01 08:00:00,275.02954,271.46432,269.46927,275.5825,275.54507,275.57013,279.04404,276.6244,277.21576,269.50848,275.49643,275.64624,272.37082,273.91812,274.95728,272.68124,275.25455,269.69095,268.0022
2020-01-01 09:00:00,274.85663,271.50647,269.63144,275.3477,275.6821,275.2331,277.902,276.83698,277.47293,269.4605,275.1922,275.34,272.5081,274.0972,274.80637,272.6196,275.16437,270.33292,268.41678
2020-01-01 10:00:00,274.25006,271.4501,269.22568,275.7131,274.13153,275.2138,278.75153,277.08173,277.73746,269.50797,275.6197,274.65674,272.41815,273.54657,274.21426,272.78156,274.88837,270.01825,269.13043
2020-01-01 11:00:00,274.5443,271.54922,269.00922,276.60617,275.97516,275.78842,279.85687,278.51245,279.44846,269.57346,275.5158,275.11383,272.5882,274.07776,274.51724,272.84814,274.84824,269.68674,267.88687
2020-01-01 12:00:00,274.48203,271.52603,268.86685,276.88293,277.14066,276.2845,279.8152,277.67755,278.4955,269.37506,275.5148,274.85556,272.532,274.36795,274.45462,273.00284,275.2295,269.81934,268.21497
2020-01-01 13:00:00,274.53653,271.54358,269.32346,276.98782,276.6841,276.10104,280.16815,277.38904,278.49847,269.4763,275.51556,275.12555,272.5558,273.45255,274.4695,272.9389,275.73373,270.1856,268.2588
2020-01-01 14:00:00,275.05627,271.63278,269.2489,277.04065,276.3205,276.7324,280.15256,277.53143,278.13184,269.60785,275.82706,275.67944,272.8079,273.94272,274.98532,273.11526,276.12695,270.09714,268.11694
2020-01-01 15:00:00,275.24622,271.59644,269.5973,277.36163,276.3895,276.9434,280.21725,277.664,278.24957,269.8032,276.14993,275.90784,273.1168,274.00226,275.16586,273.4221,276.47702,270.3118,268.38275
2020-01-01 16:00:00,275.53482,271.78223,269.89175,277.59604,276.66165,277.02652,280.34705,277.72498,278.40536,270.05048,276.59116,276.2044,273.2799,274.3646,275.45886,273.5437,276.65112,270.53827,268.62823
2020-01-01 17:00:00,275.74564,271.92886,269.9536,277.77408,277.08173,277.06757,280.4344,277.80838,278.79303,270.24393,276.27487,276.27856,273.36136,274.3981,275.6601,273.64444,276.81116,270.70172,268.86313
