date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2006-01-01 00:00:00,100.542175,16.62806,187.36057,348.02484,218.74936,75.06975,342.91217,290.2974,35.842957,115.15863,50.496384,134.05096,91.457794,148.50653
2006-01-01 01:00:00,12.808304,342.81964,129.28748,134.60236,250.67346,73.60498,4.010597,286.21915,47.231766,117.62384,60.159515,125.31384,78.54999,148.83453
2006-01-01 02:00:00,25.923088,358.48462,313.91833,272.18707,329.21155,62.797226,349.39935,277.7464,71.610565,325.13678,55.140335,112.506256,46.88919,115.90802
2006-01-01 03:00:00,30.623611,296.57428,169.1578,152.24536,6.984024,78.174164,346.33682,284.6096,68.936356,273.9179,53.866333,52.354385,77.506714,119.502686
2006-01-01 04:00:00,78.90582,328.6429,178.22015,215.34499,19.91941,91.92688,355.76193,300.67566,72.972534,256.94934,58.00786,46.371826,90.80893,25.182693
2006-01-01 05:00:00,34.0291,37.07206,161.73193,162.87027,335.65747,72.418915,26.179115,176.72781,69.45351,80.98218,57.16983,49.48419,60.95912,44.033203
2006-01-01 06:00:00,72.70035,343.3324,346.8155,160.02637,333.79694,79.13255,191.52081,212.76302,76.75189,12.041649,51.236725,63.819107,17.86834,23.001755
2006-01-01 07:00:00,30.994637,318.23596,148.74716,191.92084,325.57687,85.75438,171.64267,191.0032,67.55414,337.52588,43.74405,40.728287,0.2763672,30.373611
2006-01-01 08:00:00,68.21269,307.2171,197.30713,195.76187,328.87854,108.73193,171.53503,155.47415,66.23169,265.44455,8.055,40.21608,85.87483,14.732262
2006-01-01 09:00:00,43.473602,336.8862,208.90977,212.23753,319.37817,110.89206,186.35388,155.7013,35.740555,333.98767,340.16916,41.208206,96.9245,10.264839
2006-01-01 10:00:00,1.5445633,341.82526,144.9798,164.60913,325.65228,247.20593,202.50308,142.93619,297.2588,341.23077,341.79407,37.08165,43.09616,7.2086487
2006-01-01 11:00:00,22.848198,318.6205,21.406944,37.127388,331.56836,152.5101,227.82628,160.16882,241.49251,25.297523,24.093452,47.05194,119.26962,337.22113
2006-01-01 12:00:00,205.01698,207.16325,70.59985,201.31895,348.69946,124.03546,192.77878,135.91296,306.60358,10.586983,82.4951,39.44168,173.1322,331.27246
2006-01-01 13:00:00,51.98471,247.9139,54.85402,163.25525,34.695297,86.23964,185.82874,129.44739,323.20395,165.52536,91.244446,32.58851,11.2606125,333.5592
2006-01-01 14:00:00,82.6774,244.13847,65.11548,113.52963,326.56543,106.54251,178.62045,130.3559,332.6563,268.54037,66.43996,31.692802,22.8917,337.97937
2006-01-01 15:00:00,69.59865,135.99167,77.52104,192.90051,327.0401,257.39447,183.03363,149.3045,335.69315,3.4929962,123.076324,49.671585,18.639534,327.76685
2006-01-01 16:00:00,60.862793,95.56238,74.951645,102.265015,335.82184,237.76741,173.33017,320.15747,326.9121,359.7293,25.235672,68.41388,354.35278,330.85898
2006-01-01 17:00:00,22.569458,185.23132,55.469284,171.32489,322.07578,207.83716,309.30072,278.48026,320.28833,106.2616,84.124054,197.69926,358.64478,315.95618
2006-01-01 18:00:00,38.20584,152.34937,66.783005,164.2351,319.9926,205.70236,357.70288,256.67566,293.19638,17.731194,68.641464,219.04424,359.91772,321.44482
2006-01-01 19:00:00,59.463394,22.706192,60.381393,159.77747,322.6781,214.95854,347.18564,215.52525,282.992,98.14282,5.150566,209.7411,355.43054,307.9475
2006-01-01 20:00:00,251.49518,79.63551,146.19403,42.440887,320.89258,208.25313,353.5182,244.89497,253.75923,141.96594,70.65662,235.62845,331.65366,301.04092
2006-01-01 21:00:00,300.54526,310.18137,90.72693,117.58563,335.3571,168.50806,7.916275,170.1391,217.25502,175.8451,202.44684,234.01431,176.51828,300.36157
2006-01-01 22:00:00,290.0374,286.56274,296.09314,180.97125,337.95776,190.90869,354.44128,155.01447,218.45358,154.70511,120.84802,232.75385,244.5173,295.06357
2006-01-01 23:00:00,26.12851,292.0877,21.458069,236.55666,333.32983,188.21417,190.9107,162.93164,213.50018,92.34619,108.00867,221.9984,264.33893,289.87067
2006-01-02 00:00:00,213.91183,308.40933,25.519508,226.6304,347.10962,207.82562,185.23325,102.16022,208.05347,94.45386,126.71051,196.39566,258.90442,298.84567
2006-01-02 01:00:00,310.82196,21.39132,15.830139,213.37193,338.2444,210.47441,195.3761,285.63748,213.23007,111.94211,137.85172,213.21484,257.2622,284.41644
2006-01-02 02:00:00,20.399628,246.14783,73.743744,105.92044,317.30914,154.26666,202.22401,336.0873,225.15894,152.40143,140.8902,268.823,241.98827,275.0919
2006-01-02 03:00:00,272.05286,288.61984,328.34027,119.97873,349.61035,203.8404,173.23404,106.690796,223.55927,59.91458,99.444,173.76224,257.24347,286.09952
2006-01-02 04:00:00,22.86982,70.30177,21.516663,127.45203,341.51553,172.84296,125.91644,340.068,221.83113,72.94841,221.34555,210.41423,256.07654,279.187
2006-01-02 05:00:00,319.68402,293.29333,85.66733,111.16736,354.3588,190.46765,344.19116,233.71092,223.40276,196.78079,109.374084,32.653152,241.14374,286.2886
2006-01-02 06:00:00,3.4722443,252.37868,11.569656,122.6322,343.2792,194.09393,348.7454,187.44452,217.20522,348.0385,95.83264,21.48101,234.6593,279.73322
2006-01-02 07:00:00,286.978,251.07043,342.7312,119.397766,348.24133,191.77966,308.23688,134.56567,223.32108,304.2754,340.33633,68.744644,222.99155,276.94153
2006-01-02 08:00:00,358.04956,266.09195,46.912537,244.60434,337.03534,207.97827,8.32798,230.69899,220.78888,322.0533,305.292,209.76791,231.82129,264.53204
2006-01-02 09:00:00,256.29712,299.9571,21.282661,146.65833,340.89316,197.48112,334.8357,156.65692,223.25331,359.7993,108.72931,125.55615,221.43066,270.93796
2006-01-02 10:00:00,356.54007,297.33182,86.577484,231.68251,328.7644,212.81908,119.56979,139.01544,232.63045,175.00177,92.37506,42.754456,237.81142,256.88757
2006-01-02 11:00:00,23.565918,307.89304,24.738625,95.4491,351.30258,209.14746,349.27893,272.92532,217.92947,151.30942,89.73605,210.3751,228.20801,269.8894
2006-01-02 12:00:00,62.787277,286.10004,299.2576,103.90573,337.98444,174.08493,47.49849,282.6607,224.03302,340.11374,93.8616,58.355637,246.71463,270.00555
2006-01-02 13:00:00,45.149887,283.48825,263.53864,133.95355,346.43463,201.62183,346.51465,226.24359,217.89667,119.899414,105.12622,123.88403,226.96756,267.43597
2006-01-02 14:00:00,330.1732,254.08783,32.082306,235.28821,326.23016,189.15204,9.799217,141.29291,219.94806,111.241394,110.52466,156.62933,237.09583,267.96695
2006-01-02 15:00:00,343.1762,285.31088,335.1438,198.22913,333.97424,207.6845,184.74088,131.81805,220.10509,95.72363,87.93913,50.092514,227.01907,268.2091
2006-01-02 16:00:00,284.01318,227.31665,324.7395,212.68715,340.93945,204.50183,134.14984,119.806,224.30597,100.312256,81.02855,35.71438,228.68219,261.43896
2006-01-02 17:00:00,304.22925,279.974,13.26252,214.02817,347.96213,306.525,121.42517,218.18242,225.85277,116.31839,106.934265,358.6811,235.16153,243.49557
2006-01-02 18:00:00,283.05396,78.5381,357.08185,218.6473,297.23126,261.91248,161.30664,146.2037,226.75389,225.81131,88.34972,21.741241,221.0969,251.4275
2006-01-02 19:00:00,41.91191,92.5733,89.07518,211.50633,318.30597,243.38718,161.40881,101.01251,233.7484,122.48236,97.438416,110.38028,168.09009,259.4442
2006-01-02 20:00:00,307.97888,92.10553,72.43996,199.69434,325.7143,259.4381,149.85312,237.74466,235.55588,260.04413,89.90459,100.629395,184.31348,254.89394
2006-01-02 21:00:00,254.60461,274.90823,31.200966,197.57794,325.90704,287.05133,138.09137,202.46628,240.29149,284.93552,78.34076,134.76239,186.25522,241.82022
2006-01-02 22:00:00,286.01413,351.7471,91.1709,199.78583,318.82703,280.7163,156.99408,250.06662,241.41098,285.62537,121.26892,142.85947,153.56134,218.6772
2006-01-02 23:00:00,248.0824,17.18415,37.126923,186.73267,177.74261,163.44708,157.81985,276.9043,229.55107,284.5954,60.720062,136.77637,157.22156,202.03319
2006-01-03 00:00:00,82.32927,270.10486,3.1851273,178.129,344.88675,334.30057,163.54044,356.73236,235.69614,305.9864,26.22741,223.2246,160.26224,202.79286
2006-01-03 01:00:00,41.713608,103.46451,101.20264,162.30505,317.8824,357.62823,164.1626,191.01602,235.07196,224.34927,259.49164,237.65948,176.58536,207.56982
2006-01-03 02:00:00,251.77829,108.76315,68.04422,200.96646,49.266357,310.5702,160.7312,199.47876,234.10829,325.64166,127.1069,272.08527,183.49011,208.20755
2006-01-03 03:00:00,286.3617,99.91614,55.077057,200.9516,348.91098,334.7262,157.78598,191.82141,230.24814,103.31412,79.11905,270.83893,190.95813,206.62837
2006-01-03 04:00:00,7.676651,99.5293,344.44836,137.44781,284.05988,2.2750092,182.6727,188.16028,227.43654,118.57257,139.1847,121.69226,198.13754,209.33656
2006-01-03 05:00:00,81.476456,93.68237,48.0744,151.2222,62.81868,336.07056,190.60513,193.33612,221.82109,143.25714,147.29404,129.42114,203.55615,202.90117
2006-01-03 06:00:00,282.8606,158.94928,120.218506,141.31873,142.0296,197.38428,187.88367,344.20905,214.9663,148.20074,169.81207,147.71133,167.79861,198.60316
2006-01-03 07:00:00,265.02188,203.05875,178.84235,137.30469,102.88907,325.98682,183.5697,102.78589,215.16708,110.256744,132.88477,269.49054,189.98819,197.76645
2006-01-03 08:00:00,233.11285,131.1206,222.83443,134.06702,102.42639,33.07025,184.2984,86.20154,215.62009,108.82434,139.27826,118.8956,184.27045,197.9035
2006-01-03 09:00:00,240.1955,123.20288,190.22787,130.14972,135.0698,351.8448,188.51758,157.75278,215.46971,150.07419,114.20523,122.02045,177.32745,205.28552
2006-01-03 10:00:00,274.1016,98.79999,1.4330902,125.06207,153.5871,80.58513,184.63354,111.21567,225.60667,174.84192,135.82605,132.06985,167.06451,199.39188
2006-01-03 11:00:00,282.4817,103.72049,75.84755,148.67331,141.71902,339.99466,357.71298,273.68448,223.99463,183.73709,101.21173,154.14044,175.54019,201.71109
2006-01-03 12:00:00,287.0985,103.70441,50.377136,148.44778,185.86902,213.95331,196.2945,245.85045,232.40132,136.1095,84.929184,118.75769,201.35248,211.02408
2006-01-03 13:00:00,299.95404,100.54315,103.68521,75.47972,323.64374,200.05154,348.80905,314.16077,224.11041,221.61723,78.68503,244.42719,185.39255,208.21378
2006-01-03 14:00:00,321.10895,83.34412,245.92262,217.43027,324.02295,209.90948,323.47385,265.9412,221.49544,304.5024,88.04736,293.7953,200.58038,256.47443
2006-01-03 15:00:00,63.742813,88.067154,45.176773,98.48767,293.96686,53.62422,343.56668,285.38107,236.95688,143.36615,84.869995,227.0069,157.04779,251.4452
2006-01-03 16:00:00,231.29596,281.50336,321.6823,120.36899,7.4729385,218.0997,284.2053,148.90497,232.15335,284.71252,104.69284,178.77829,193.83243,252.74973
2006-01-03 17:00:00,297.60974,126.159,298.8002,200.61043,351.02646,278.74762,11.1073,358.41876,220.95393,353.0204,91.62152,190.65671,220.71512,255.73334
2006-01-03 18:00:00,184.79456,264.03888,318.78983,235.08846,333.61084,123.826996,344.05838,174.00406,236.10724,251.33722,128.40652,159.03802,181.98792,274.4177
2006-01-03 19:00:00,39.353104,285.05194,327.0501,262.92108,332.1504,213.17453,328.3783,136.76477,242.57307,287.11392,97.02557,240.82518,203.15752,274.47192
2006-01-03 20:00:00,247.08972,283.58136,43.049423,358.59277,330.95578,236.4633,343.47144,141.83667,229.56773,322.3092,87.455734,55.252472,116.91498,280.0379
2006-01-03 21:00:00,34.371506,302.08554,75.39636,280.627,333.5064,219.3608,332.949,267.28665,232.59009,310.80173,150.37943,163.39981,356.3017,272.68402
2006-01-03 22:00:00,82.77162,303.79218,90.59848,312.4261,193.16467,207.6313,339.52112,206.51057,215.05806,317.25287,98.91864,200.6801,90.43042,270.63635
2006-01-03 23:00:00,50.416824,340.4736,83.02849,289.4888,330.3501,112.54788,186.25113,149.7779,217.90036,180.94531,111.11078,43.654938,202.07101,265.653
2006-01-04 00:00:00,76.78958,331.6578,344.8201,123.67975,333.51712,21.852547,172.01956,157.36243,221.1828,341.65503,122.10147,64.98566,154.58044,271.32874
2006-01-04 01:00:00,62.398026,134.54724,63.714554,324.85025,244.39197,238.29366,213.20448,135.04297,213.07303,324.91522,105.265076,112.59625,81.94284,251.64131
2006-01-04 02:00:00,132.62906,318.19196,225.04968,151.51465,353.12683,203.33945,199.43512,143.89197,195.84259,314.98157,104.27948,243.23854,305.4669,195.71332
2006-01-04 03:00:00,66.09149,131.79614,78.66872,169.01395,298.6753,250.07124,146.30078,175.20609,219.34688,316.72214,88.35704,162.26404,155.63083,139.51358
2006-01-04 04:00:00,136.43005,303.44495,58.790207,171.86502,306.49005,329.67728,161.53497,222.16429,217.83679,297.88483,87.82013,134.48343,126.30069,165.17645
2006-01-04 05:00:00,323.60168,254.05362,86.75044,171.95862,316.09824,298.73953,154.7862,174.72351,202.09137,341.8069,54.927933,132.76718,120.260254,174.08432
2006-01-04 06:00:00,41.3871,237.35619,51.14128,149.32385,306.9776,233.82542,171.62311,149.01447,210.66745,353.73737,56.187836,131.08215,137.39658,173.16809
2006-01-04 07:00:00,350.5345,260.80396,59.148468,142.40659,318.19867,121.269165,324.97693,262.05853,211.25598,156.6344,52.14511,135.55927,143.34753,176.11548
2006-01-04 08:00:00,333.00952,306.53314,48.07927,144.80984,345.75555,279.8958,352.38855,183.85077,228.10954,139.56097,46.360535,149.55069,145.70612,173.18704
2006-01-04 09:00:00,14.384621,333.22107,62.774918,129.10214,53.19539,305.1224,345.42834,144.43417,231.26997,276.27197,57.220047,142.69153,149.95941,172.02829
2006-01-04 10:00:00,14.398659,13.661148,46.616257,136.53442,75.52864,311.34937,338.16003,200.78204,226.07681,316.1392,63.722534,137.02734,132.01184,170.75784
2006-01-04 11:00:00,264.53485,6.7361984,69.61722,141.18039,49.42679,304.39362,339.3595,282.61475,228.73581,322.35458,52.00244,132.86401,131.17923,168.88974
2006-01-04 12:00:00,306.27185,253.4471,59.978195,49.000717,347.9361,341.0767,343.4754,301.00433,232.1742,182.2182,42.380096,132.23932,134.19714,176.86697
2006-01-04 13:00:00,90.20648,239.83235,98.75934,39.36345,76.70155,330.30917,350.1919,232.10135,220.92583,20.851486,58.91153,148.75769,135.56308,171.93378
2006-01-04 14:00:00,79.774826,259.3226,42.35846,28.55812,347.50363,311.37915,336.00516,174.98843,223.36871,269.45828,43.33075,144.66226,130.94528,174.88324
2006-01-04 15:00:00,158.32849,224.3213,300.5327,339.34433,314.1621,297.2069,348.93442,236.62338,215.36801,324.71933,54.39418,220.40318,125.83569,181.5647
2006-01-04 16:00:00,58.187073,247.98094,64.11923,38.18483,356.30356,247.02257,337.026,293.03583,214.44664,336.43152,47.101532,142.79907,128.4114,183.31836
