date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2013-01-01 00:00:00,207.33835,331.66077,155.20148,179.34717,26.887314,268.18042,120.29889,304.91092,227.82181,271.03345,227.85233,228.11224,264.58704,266.61273
2013-01-01 01:00:00,117.640686,259.8455,159.51227,124.104095,266.80682,299.27225,177.71173,325.61954,232.1008,287.6375,285.75012,234.13068,249.95435,266.49243
2013-01-01 02:00:00,142.93515,264.0839,178.98236,150.96161,243.58862,323.8805,154.92548,280.11945,245.11142,255.92853,149.99048,216.2639,246.4729,264.50336
2013-01-01 03:00:00,174.99506,267.14847,181.10913,224.56226,259.73953,334.09012,153.09564,289.25708,243.6341,269.13162,203.30658,233.42949,248.22331,258.37946
2013-01-01 04:00:00,164.29651,274.90952,172.88855,138.19586,250.56503,339.60464,173.22717,55.019257,221.59668,262.66614,210.4529,238.68343,251.00076,260.8755
2013-01-01 05:00:00,133.68188,196.27615,159.63397,220.02113,241.58926,334.73718,168.75781,340.1632,241.96883,269.93652,293.44885,224.36937,235.31474,256.58716
2013-01-01 06:00:00,177.55328,120.42328,165.4213,221.23372,12.842979,354.93634,352.35245,338.0579,231.06592,336.40424,235.97527,240.59586,214.1395,260.26065
2013-01-01 07:00:00,165.64066,136.51324,184.18378,133.30383,22.485306,265.96786,147.05673,0.47396088,217.41693,255.8403,221.1344,180.02332,236.09886,250.78508
2013-01-01 08:00:00,240.28618,165.39243,180.1012,118.838104,112.59906,147.06256,124.83365,98.206726,233.73119,261.63232,204.73807,189.37549,192.34949,258.68823
2013-01-01 09:00:00,266.42758,82.63423,186.43158,110.94769,98.70688,198.01797,173.91501,0.21079254,236.86893,293.54773,205.17987,190.91617,219.84773,275.03577
2013-01-01 10:00:00,293.15308,91.05969,171.69531,111.21094,48.11885,199.5433,171.47034,329.01157,233.91724,252.14285,215.4864,241.20992,226.21236,258.7514
2013-01-01 11:00:00,207.58423,98.571106,180.04425,158.19879,138.67725,213.72473,227.43762,156.6915,230.48322,261.35577,205.11978,184.27728,209.13232,253.5719
2013-01-01 12:00:00,211.6101,97.70831,193.44772,207.49153,120.21216,260.25162,344.28876,303.8741,229.68794,259.26172,212.28899,202.44522,203.4543,256.23157
