date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2013-01-01 00:00:00,132.71771,339.9174,156.75262,198.60358,103.58215,274.0695,143.08804,286.76984,228.32138,272.37225,239.88513,229.62396,262.30975,267.15155
2013-01-01 01:00:00,126.897095,235.87955,163.02765,131.62436,257.09204,312.8971,150.64203,312.59808,223.22992,280.8715,271.85785,234.44456,245.91034,269.64816
2013-01-01 02:00:00,148.96289,266.82773,175.48346,146.4693,239.80548,320.20715,166.9562,313.75327,243.49489,262.84424,270.00513,232.00922,242.19899,264.35
2013-01-01 03:00:00,175.64636,267.54608,182.79504,205.58191,249.69618,324.5385,158.62396,219.17549,244.28256,255.81624,206.40836,236.00438,244.96976,259.6305
2013-01-01 04:00:00,182.04669,271.0529,155.60028,197.59923,255.20695,318.51553,177.83585,344.37982,212.51642,269.53595,239.6027,228.82281,228.68219,261.7336
2013-01-01 05:00:00,146.7962,292.07852,158.5542,233.57788,241.87363,341.42834,138.49542,342.24097,247.5979,254.78708,242.73257,226.55899,264.59784,262.61353
2013-01-01 06:00:00,168.22961,136.98383,169.24887,197.66013,359.28787,331.3199,97.48059,195.61096,240.23895,334.9463,282.00806,234.62296,260.21024,269.95648
2013-01-01 07:00:00,170.23083,96.24661,193.69662,119.11359,131.66656,237.80661,53.373474,139.18973,224.44743,259.16806,202.59201,193.44855,253.27644,267.59372
2013-01-01 08:00:00,225.10347,64.324066,156.16486,131.99362,125.632385,22.683044,101.39868,257.4756,235.95999,248.58923,199.48389,215.90106,170.90369,259.63214
2013-01-01 09:00:00,243.25632,80.74078,189.16187,93.866486,150.37918,310.02435,176.03421,228.47931,239.65623,281.1659,204.54297,175.41895,221.91275,259.09973
2013-01-01 10:00:00,300.8763,97.262665,165.2789,119.59494,131.30023,217.10873,135.0149,223.67429,233.49303,242.3066,205.66917,239.66864,214.97034,250.41261
2013-01-01 11:00:00,316.04135,122.416595,170.99255,155.73062,59.49652,235.4585,154.06363,267.98047,229.69327,260.57095,204.14412,232.67874,217.29141,246.18
2013-01-01 12:00:00,202.8053,106.9845,222.49355,107.71887,92.879,254.6369,161.21124,306.42102,237.63943,245.58632,214.40707,265.8357,220.82884,241.87123
2013-01-01 13:00:00,296.9436,99.04556,195.20973,118.65198,105.21292,273.71698,132.24902,199.82605,227.03226,245.16098,212.16394,243.45741,206.3252,234.1214
2013-01-01 14:00:00,295.22772,21.102737,170.9137,94.50699,94.92853,182.74469,150.58545,292.9379,226.24287,252.10161,210.81035,233.20023,194.28282,259.2922
2013-01-01 15:00:00,275.85114,101.11981,164.08063,163.42102,158.31183,235.6748,193.63562,300.55978,243.84178,287.6673,225.1856,242.66675,226.31133,278.30484
2013-01-01 16:00:00,352.1829,77.0363,104.56378,140.18665,12.225906,216.63211,170.9461,319.69623,236.25131,289.66876,235.72289,235.15222,235.6369,261.27173
2013-01-01 17:00:00,9.69603,125.73541,245.42046,135.31073,97.01788,243.54054,153.51569,294.93338,231.95096,272.89542,202.42297,227.87912,221.89076,263.1386
2013-01-01 18:00:00,50.88852,124.01239,193.8789,109.14841,15.787102,335.2348,357.1885,299.759,233.75378,281.47867,202.57889,209.51202,229.42255,270.79337
2013-01-01 19:00:00,30.32869,99.965515,201.83846,215.90198,0.36605835,144.88525,35.826187,212.93881,236.05388,305.20605,216.78572,241.71848,251.46996,279.4958
2013-01-01 20:00:00,175.97842,99.37079,297.47043,215.60461,8.9468155,164.15454,153.0463,132.80151,238.02597,311.40015,232.44592,242.66434,261.48956,284.23102
2013-01-01 21:00:00,17.503632,213.20778,56.60936,140.38153,34.95936,160.21127,120.34711,124.03723,236.46089,283.7193,216.50122,255.33255,274.33252,296.02765
2013-01-01 22:00:00,95.01691,127.214355,168.0437,128.01056,337.21042,193.44037,98.211,303.3958,233.13448,291.81094,111.040344,233.48817,261.5515,276.78906
2013-01-01 23:00:00,313.27295,160.99182,358.35474,122.25415,350.3725,119.380005,117.49692,28.212189,235.54059,291.205,187.01355,227.48152,262.04248,277.2867
2013-01-02 00:00:00,358.4411,341.4765,173.17044,122.52533,177.6174,333.60248,112.08093,205.41559,232.78098,286.5479,207.27975,237.87654,262.34125,281.59265
2013-01-02 01:00:00,323.96817,121.63464,85.78693,117.03732,1.4795532,332.10974,109.53937,274.4505,231.89648,277.91388,245.39104,241.55983,256.3003,284.5077
2013-01-02 02:00:00,343.0907,86.88042,37.400948,17.361313,94.29001,338.60037,88.46188,311.1829,260.65344,266.373,238.95541,263.0924,239.86876,278.0509
2013-01-02 03:00:00,303.49548,136.58163,288.23337,131.24023,102.22052,327.91052,157.68268,266.5294,277.5204,275.32007,299.24133,259.98575,286.20404,302.8191
2013-01-02 04:00:00,49.2975,300.33032,334.1273,300.776,354.49805,357.15067,158.56833,320.3051,290.30096,305.15616,304.77255,250.53177,277.73456,285.25848
2013-01-02 05:00:00,338.37314,285.4239,98.615295,310.487,1.7214737,343.26358,38.63443,273.50012,291.02054,304.30762,303.2664,242.73201,276.48474,296.1833
2013-01-02 06:00:00,349.82043,300.35132,123.61676,121.2016,1.7984161,322.58838,6.8719025,349.29056,298.6544,318.05542,303.085,239.24861,308.78546,319.5144
2013-01-02 07:00:00,26.874802,298.7774,107.30011,172.94754,359.072,331.53088,46.66899,313.06952,303.92554,333.1363,315.5339,221.9214,298.2577,295.2362
2013-01-02 08:00:00,71.45708,318.07147,95.803345,144.28638,9.290588,332.64154,76.07677,327.0819,256.41446,349.01443,314.82587,233.04112,295.6846,301.2763
2013-01-02 09:00:00,104.59082,313.27664,89.170425,136.099,354.96057,332.12738,66.28609,316.93478,252.54047,345.12512,315.82062,175.85391,286.10425,289.83682
2013-01-02 10:00:00,34.097336,311.16907,83.42789,309.33942,305.86517,324.74655,82.23549,274.59058,260.63245,322.3588,314.10962,194.14175,310.54822,286.71655
2013-01-02 11:00:00,184.34198,306.61227,345.14984,102.434326,1.6726685,345.55402,358.75708,320.08127,290.14642,321.88547,321.81924,200.25066,281.4962,290.95807
2013-01-02 12:00:00,129.29764,313.582,293.00903,223.22058,345.96237,353.04535,191.37427,226.4212,272.99356,314.2598,307.49564,188.60168,280.59534,289.76788
2013-01-02 13:00:00,34.8499,330.8135,62.963272,178.09332,25.874733,320.72314,153.57495,114.84772,272.7158,302.20966,307.9749,203.76628,234.244,272.748
2013-01-02 14:00:00,83.84184,169.10147,25.677963,173.24533,224.295,163.35272,168.59894,310.9891,235.76833,264.51154,235.60754,167.02576,216.17809,271.98425
2013-01-02 15:00:00,314.383,298.87292,52.45462,168.73422,114.086,180.0976,139.45392,273.38452,230.40807,279.51154,276.89282,177.38089,242.20956,266.53625
2013-01-02 16:00:00,307.1682,320.06674,304.35944,166.672,96.278625,194.79428,145.0073,37.184937,229.20752,276.9924,197.31381,181.8479,219.72614,243.33682
2013-01-02 17:00:00,306.4757,354.79193,51.81642,113.60425,78.91011,236.65485,164.03198,205.0084,242.43774,78.58151,291.1314,189.48187,221.22978,243.8372
2013-01-02 18:00:00,275.5723,69.39252,119.588745,77.96117,60.496506,218.07103,160.81244,201.28033,222.86928,133.42902,199.66895,212.51497,211.80983,214.41985
2013-01-02 19:00:00,295.05804,153.5329,349.77768,204.02956,112.60901,326.60104,158.078,197.93076,201.02115,251.08359,196.30536,244.83078,195.70233,204.28656
2013-01-02 20:00:00,213.16338,136.307,60.192627,200.36804,120.657074,324.62357,156.42496,195.64331,214.40863,299.03168,204.57654,265.61755,182.71768,211.15309
2013-01-02 21:00:00,268.5415,139.82489,201.10445,150.25452,107.73285,288.48132,170.80841,198.14691,201.56866,243.21086,177.03525,155.15292,197.88107,199.14099
2013-01-02 22:00:00,229.34708,129.19656,20.434807,122.59491,83.6956,291.3144,125.4812,198.2925,205.52907,90.94171,223.55972,135.64911,160.10114,206.016
2013-01-02 23:00:00,273.4391,106.78589,246.7424,115.05542,166.33374,299.17822,188.6236,111.26889,205.46397,165.68048,237.45258,273.99036,164.64539,214.97534
2013-01-03 00:00:00,316.5794,106.269226,140.9816,84.46214,212.77246,319.54047,142.43787,111.80264,218.14537,223.05121,95.6109,238.27977,156.32907,221.75027
2013-01-03 01:00:00,304.2544,93.489685,64.5217,189.93701,313.9283,329.624,139.39954,97.25769,229.03183,8.853516,32.871857,133.00629,183.70755,212.45462
2013-01-03 02:00:00,298.84146,101.90619,20.09842,205.60446,318.83905,312.32007,163.98853,329.8791,226.25783,52.242126,46.525635,77.70856,182.00348,235.77864
2013-01-03 03:00:00,304.21686,55.908752,63.930496,192.88043,2.1391602,317.4303,169.90845,16.558853,232.21497,42.03006,96.73529,150.1889,176.8374,246.99023
2013-01-03 04:00:00,252.80957,62.771255,90.27045,184.08792,300.96786,329.3425,173.607,36.70919,223.30066,346.37305,126.064514,120.414856,243.24141,258.50006
2013-01-03 05:00:00,57.887573,110.20856,349.01883,92.14334,348.18787,323.22906,172.48798,55.696793,228.28638,308.99222,114.08365,217.75696,231.93835,265.37595
2013-01-03 06:00:00,185.54285,284.27628,165.08435,42.53203,250.8536,264.1535,159.61456,68.34686,225.96251,261.44128,277.28864,228.67538,239.30618,266.5958
2013-01-03 07:00:00,186.62662,287.9071,177.91763,134.03973,247.83372,250.75127,154.89185,81.8817,219.67593,247.49805,274.4744,235.3755,264.71655,269.96472
2013-01-03 08:00:00,175.09521,275.9148,175.11493,158.30661,284.9839,286.69632,167.18301,29.1585,222.79199,265.09415,279.0448,234.33447,270.11536,263.5931
2013-01-03 09:00:00,175.55774,285.93027,205.35083,181.08118,271.47003,264.2399,25.485847,310.8465,251.62006,252.6983,278.65253,236.87627,264.36053,269.73758
2013-01-03 10:00:00,171.69052,304.80273,172.10147,306.94812,326.03894,270.4914,347.25775,315.21802,273.0542,284.9067,286.0862,232.43199,289.94415,284.17755
2013-01-03 11:00:00,234.8385,293.12463,214.44557,6.2609634,318.01794,258.55246,50.476715,334.6262,276.3244,266.63733,282.17197,240.1637,282.52078,287.08136
2013-01-03 12:00:00,184.3139,290.41522,205.4638,10.313103,296.3093,261.37415,11.151939,323.27863,269.5628,282.15213,282.025,241.38423,287.55426,281.56482
2013-01-03 13:00:00,168.00488,302.5094,175.70633,109.2843,286.16406,266.64648,12.790535,303.89374,272.62756,296.85745,284.99365,239.2652,298.37097,283.38763
2013-01-03 14:00:00,242.8011,295.33435,190.08612,19.898964,291.31857,278.91544,356.74918,301.6321,276.8538,284.67206,284.67157,270.56766,297.59283,288.0263
2013-01-03 15:00:00,311.37103,305.41647,239.69125,109.215485,301.05444,272.5329,32.376877,306.221,270.1514,295.10504,290.6236,301.48438,305.475,298.3068
2013-01-03 16:00:00,159.73889,293.18036,229.66089,334.58624,298.40472,270.6319,5.7147903,300.27032,291.12253,294.37732,290.72205,260.29114,293.48886,293.44608
2013-01-03 17:00:00,336.44843,298.71704,267.3512,356.82883,298.68295,267.9535,21.999702,290.48608,300.8255,289.31754,284.1356,255.16083,304.28268,291.98962
2013-01-03 18:00:00,318.5177,295.60672,243.12718,308.87448,280.2906,273.72183,359.21524,315.3511,296.00195,296.71423,280.98767,255.5607,293.44522,294.17822
2013-01-03 19:00:00,314.45398,321.0271,275.86624,344.28482,302.89676,275.02435,12.886948,288.05862,287.972,311.74005,280.8335,252.5413,303.88806,293.753
2013-01-03 20:00:00,288.83398,315.3498,213.00531,354.07712,310.58008,268.67252,29.993301,278.82462,270.33252,289.86835,292.81378,244.53929,286.9065,302.99985
2013-01-03 21:00:00,239.75696,294.64246,206.91095,4.8420715,348.47015,270.3145,350.6644,297.94437,300.4544,288.97363,285.9394,252.26038,279.06177,292.62592
2013-01-03 22:00:00,174.06116,303.12936,218.15785,6.867325,330.91537,285.2489,358.97876,328.7915,283.96686,284.47897,291.47842,169.19513,294.1723,292.51517
2013-01-03 23:00:00,287.5185,303.66415,206.3988,24.34037,338.66458,281.81033,336.85132,344.6406,273.2995,305.3861,288.29504,210.6813,296.5213,287.3257
2013-01-04 00:00:00,302.98718,303.5547,174.68939,55.164932,347.78696,282.47864,174.71707,352.32166,282.70547,317.04428,291.06894,189.91953,286.63715,287.21133
2013-01-04 01:00:00,198.8127,317.11148,184.86731,101.366425,358.3298,307.36423,30.550407,320.39807,288.1464,263.4326,292.59412,223.98593,270.29413,290.3357
2013-01-04 02:00:00,323.96616,311.3142,166.70111,106.12506,125.41373,323.15823,103.34201,42.100113,280.768,265.6311,282.7893,227.34378,253.15251,275.03046
2013-01-04 03:00:00,163.89667,308.2252,167.71082,191.85132,35.246994,315.61203,125.49756,202.80066,237.00783,277.50662,203.89407,213.87039,272.87335,266.35028
2013-01-04 04:00:00,180.56451,77.68877,165.65314,182.14542,94.50189,163.32458,138.99225,139.43732,234.12476,281.6526,213.8129,226.57298,253.20709,263.67267
2013-01-04 05:00:00,228.21098,107.62421,153.36993,119.87323,194.29218,176.36542,151.57364,128.01428,249.25726,284.19324,232.90762,202.55446,226.62018,260.54147
2013-01-04 06:00:00,274.14252,83.11914,149.4956,129.59836,196.65356,188.37695,148.77222,87.86963,241.38257,280.82697,257.6801,184.2529,236.41475,261.61047
2013-01-04 07:00:00,309.25546,52.088547,262.6889,190.91391,315.6596,205.73676,170.53195,149.05276,239.23839,359.18427,296.7635,230.30304,245.18329,281.36594
2013-01-04 08:00:00,4.791977,262.6021,28.95427,215.18314,131.92505,177.38394,145.73816,35.01867,226.96391,16.652573,292.8546,211.72714,261.45578,273.22806
2013-01-04 09:00:00,39.720947,272.47522,68.52049,232.96817,127.28778,41.05307,144.30072,20.972366,267.666,26.966988,306.02545,175.05136,271.54083,278.29544
2013-01-04 10:00:00,104.30603,281.02313,66.67929,76.99713,130.49661,143.40823,99.50195,320.51978,282.9867,311.4068,308.63214,158.80707,287.17657,282.7215
2013-01-04 11:00:00,314.8275,291.8739,94.293915,100.54944,324.90024,82.079865,135.72241,233.67426,295.78238,265.461,305.73987,150.41998,282.31976,274.6232
2013-01-04 12:00:00,277.9831,292.25183,196.97296,129.01529,245.54898,308.16513,30.84829,26.19542,276.68225,279.69098,301.2687,184.17438,263.48358,274.66553
2013-01-04 13:00:00,305.53076,299.61224,26.326103,154.06454,246.19077,321.53375,126.58392,326.80215,286.57318,267.58856,286.41864,247.39723,263.1214,273.8535
2013-01-04 14:00:00,273.45236,302.06946,219.46542,137.88641,242.01868,326.6092,182.41052,324.3642,289.28772,279.3619,276.48584,242.1687,249.15729,272.86243
2013-01-04 15:00:00,190.30832,296.16507,293.2127,163.75565,176.58655,334.7603,120.80707,341.37994,222.73465,296.71548,283.05817,222.7716,283.38263,276.95258
2013-01-04 16:00:00,333.16278,297.602,336.42926,199.53508,272.20496,316.05417,43.444,312.32462,198.8888,282.6526,216.08694,225.96266,181.28436,288.76044
2013-01-04 17:00:00,196.51118,285.07513,182.93594,209.76604,268.79074,338.99936,9.431282,206.00449,243.5397,296.93216,189.21112,241.05061,164.043,304.91394
2013-01-04 18:00:00,246.39821,262.12988,35.018845,161.21231,15.169113,336.0278,150.86191,325.40125,263.1787,305.6025,247.65494,225.10953,168.12143,294.96503
2013-01-04 19:00:00,233.60138,234.7554,160.03278,134.16864,102.76221,314.6278,163.12283,149.50107,266.21445,296.56696,217.56801,227.76941,138.31757,286.30728
2013-01-04 20:00:00,329.9831,122.334625,174.81302,128.39825,191.36438,183.10715,341.9809,228.1345,278.51605,301.2417,212.40482,167.19263,136.01776,289.08307
2013-01-04 21:00:00,58.379135,139.41559,284.79053,83.5468,209.91351,199.16547,325.92654,171.00201,284.52502,299.0166,125.5235,158.51144,19.035988,294.86026
2013-01-04 22:00:00,10.103516,306.75574,220.17566,284.94464,45.759155,196.46579,347.8202,149.53946,243.51581,307.09818,89.39569,45.71794,60.402527,307.1552
2013-01-04 23:00:00,161.78073,311.86908,7.824394,158.22726,178.76593,183.88953,310.37317,122.4176,250.68394,304.90323,68.939896,17.624084,151.49579,303.95868
2013-01-05 00:00:00,214.69812,280.7777,90.92282,338.89215,140.031,192.77145,55.382263,160.58643,240.59052,320.98837,70.64302,167.65717,319.307,301.72894
2013-01-05 01:00:00,347.13538,343.49258,299.3426,304.04108,113.87097,188.29752,57.33188,161.74039,261.80762,315.61755,269.0556,234.62659,336.40848,317.72778
2013-01-05 02:00:00,207.77588,97.109924,49.418213,212.53148,155.60953,129.51993,129.77094,138.44278,272.2525,317.55386,311.28854,26.582962,11.593063,308.9927
2013-01-05 03:00:00,51.773483,329.67297,94.51892,170.29233,269.94836,127.77142,156.68744,162.3999,217.54073,329.25983,351.63983,44.368362,251.7066,282.51868
