date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2013-01-01 00:00:00,180.80646,312.914,271.61713,182.04327,124.86853,36.48111,272.65207,36.643112,276.50204,245.866,266.74738,224.208,231.93304,257.58722,260.938
2013-01-01 01:00:00,100.23389,274.97424,269.5328,201.43163,138.7995,301.76398,271.7936,143.46417,330.99915,263.4764,291.1536,125.73523,228.62666,248.78873,264.28223
2013-01-01 02:00:00,151.50522,272.53845,262.96857,183.73718,141.01791,253.81964,325.57184,155.10687,285.98053,241.39673,264.53674,163.11829,229.62729,257.5334,260.88544
2013-01-01 03:00:00,173.5643,279.6082,265.29135,183.20349,138.23865,242.26488,330.586,327.9961,294.87683,243.7874,254.05006,238.38998,226.215,245.51767,253.03278
2013-01-01 04:00:00,198.44809,285.36688,278.6696,163.05573,212.52802,258.4143,330.0012,141.31921,183.12659,249.73785,269.39133,205.60837,223.05272,236.78691,272.97986
2013-01-01 05:00:00,164.68423,299.0207,269.08823,151.91742,112.82092,60.78618,334.6418,95.71173,247.35121,242.05971,286.96637,183.10083,230.77315,325.96164,271.04913
2013-01-01 06:00:00,169.9018,124.74454,254.52856,156.29633,221.80647,35.372147,344.41925,335.88367,326.72903,246.61859,328.94608,298.29456,233.97604,302.5808,264.52173
2013-01-01 07:00:00,181.8869,116.4361,267.24353,203.10611,183.82874,346.3083,173.63705,152.21603,199.2597,225.05486,268.93726,229.80533,224.767,306.74017,268.96866
2013-01-01 08:00:00,271.76013,118.46686,221.9345,182.23907,115.92639,126.89914,209.33939,239.11255,116.55255,237.90945,228.1931,199.41095,186.20923,192.09442,243.98338
2013-01-01 09:00:00,277.63992,203.06836,204.85062,177.92831,124.0697,126.34485,170.43073,193.24338,252.9259,236.54456,238.8595,204.90536,189.74844,207.11366,234.73595
2013-01-01 10:00:00,256.8991,74.83899,215.50055,165.04614,131.50726,94.97943,183.87256,160.53815,9.719894,235.15703,262.7537,193.21542,240.34283,222.68546,243.88606
2013-01-01 11:00:00,212.36449,49.370026,213.37949,197.74059,190.68774,136.78912,170.22546,156.38596,326.79474,235.96107,224.29758,192.69052,244.91257,228.40918,247.22527
2013-01-01 12:00:00,257.08228,113.517395,212.07588,184.46225,230.199,102.28015,193.52069,141.83295,329.22083,236.3288,247.39124,191.13434,240.01834,203.53372,220.49724
2013-01-01 13:00:00,228.77562,97.68915,235.0448,202.59442,109.50354,95.695984,278.66785,176.6272,272.21234,230.4114,246.26414,192.05957,241.30414,213.20914,240.37685
2013-01-01 14:00:00,293.9225,104.29712,215.5132,169.8859,102.41232,110.10574,192.77155,189.19266,339.1613,231.03693,280.99133,208.09663,245.27112,209.61536,248.06418
2013-01-01 15:00:00,267.98083,100.8064,231.51663,70.22304,121.68741,332.1626,199.91118,135.29684,305.1898,230.60078,6.6360016,216.70589,249.4274,224.28079,259.14154
2013-01-01 16:00:00,309.34955,77.00812,264.74606,49.568054,89.63536,70.517975,168.72974,150.90182,338.5782,231.88287,297.91302,242.23553,238.82812,230.376,245.78581
2013-01-01 17:00:00,339.45792,100.49823,267.05383,332.69458,118.25391,8.981277,214.7391,136.76733,330.12112,229.0953,294.78088,175.9133,238.92307,230.98984,272.1701
2013-01-01 18:00:00,316.50104,100.92819,266.12943,115.70795,132.88199,127.61456,359.05127,111.941284,33.199593,234.36568,293.7453,229.13083,206.00594,216.74548,272.59436
2013-01-01 19:00:00,293.5561,105.14288,287.4411,17.011017,127.00842,10.670792,339.05347,290.5723,338.9158,230.12924,284.64145,127.28406,242.40073,247.1902,275.6103
2013-01-01 20:00:00,316.71216,102.400085,282.15057,66.46243,277.52997,325.6896,320.6292,289.5752,191.82123,235.92624,291.2743,206.07224,214.43127,270.02365,270.71826
2013-01-01 21:00:00,37.23458,266.25726,269.854,85.094345,118.73468,351.5834,336.83554,58.012054,277.73062,233.56075,297.84662,201.28433,217.15573,287.32233,274.24103
2013-01-01 22:00:00,59.18509,304.7065,278.5006,36.401657,152.1312,341.64398,48.919342,132.03558,196.87071,230.77882,271.8579,226.94081,243.51315,277.18103,275.26318
2013-01-01 23:00:00,34.96779,123.06641,276.19507,319.0966,154.14825,2.244316,41.70192,133.13474,116.11725,237.07266,293.54285,207.52338,238.69717,256.72345,275.78937
2013-01-02 00:00:00,326.92523,99.734344,201.56421,336.99902,106.64731,155.69775,114.32953,183.88431,127.23462,201.81989,132.73627,227.22762,265.5944,170.84604,195.45497
2013-01-02 01:00:00,262.41357,117.00595,186.68561,259.04932,153.31345,99.98938,13.530479,155.21829,179.72162,205.79523,54.721527,176.36978,199.13963,193.34277,187.33017
2013-01-02 02:00:00,233.5965,132.29163,206.02155,352.49326,116.98285,97.864685,337.12637,135.30664,141.99005,203.61896,92.93207,198.5388,269.04233,157.0011,167.16669
2013-01-02 03:00:00,310.00644,132.35312,180.85297,150.2536,165.89252,122.39731,10.602982,155.02954,157.29181,193.88196,125.50018,222.21548,222.06932,176.44043,180.983
2013-01-02 04:00:00,303.1296,109.068115,171.09897,204.18466,191.44345,122.4176,350.97406,156.33713,185.39767,206.394,119.43787,212.82483,268.37512,192.9892,194.15842
2013-01-02 05:00:00,321.67584,274.6902,270.77338,166.13052,115.78351,15.280014,330.51712,143.93903,238.52263,231.66512,279.55505,212.1889,201.94556,284.84784,280.7235
2013-01-02 06:00:00,40.840027,103.70123,271.65894,140.33209,101.742065,25.180984,335.36456,146.39642,206.61957,235.68724,294.55447,193.07513,251.58685,253.4143,276.92804
2013-01-02 07:00:00,323.01447,121.33777,301.08276,157.4414,214.63252,7.1747055,340.01257,72.66696,261.36163,231.85303,281.45898,201.53723,249.70572,275.3007,297.51675
2013-01-02 08:00:00,261.24857,309.9654,303.92377,48.874054,336.70105,322.10162,343.2854,67.12517,7.4126663,267.50458,303.62744,297.93326,243.92378,296.55832,288.91028
2013-01-02 09:00:00,347.90744,326.0693,291.8153,32.74478,65.06993,0.14785767,341.1085,336.16992,338.49347,247.56741,316.64288,307.45016,240.83862,276.2428,270.8164
2013-01-02 10:00:00,356.89035,315.14673,295.12952,157.08026,252.71352,16.926048,324.3572,228.18332,33.23082,287.58228,303.26602,237.63702,244.77145,303.91516,288.05954
2013-01-02 11:00:00,31.741425,304.11377,313.90466,179.1094,87.79579,353.29047,342.05612,146.70029,319.7472,284.65762,339.31253,302.44327,234.34842,286.52097,294.9389
2013-01-02 12:00:00,0.1546402,310.38986,304.82047,168.10706,164.61288,0.49995422,324.4969,35.783554,1.0959396,286.22668,311.7033,302.4724,248.99112,296.15082,292.0971
2013-01-02 13:00:00,221.5358,319.25735,311.81006,118.58154,214.39249,358.56317,303.39328,18.380737,304.91943,304.4961,309.66675,309.99933,229.34187,334.4614,274.12164
2013-01-02 14:00:00,169.57947,310.21246,290.84027,159.29535,168.6784,331.34302,341.31982,304.47986,294.0086,229.86253,329.65088,313.77612,234.72897,291.57,286.06848
2013-01-02 15:00:00,328.50128,301.77036,272.3327,208.45312,135.33847,344.02106,333.312,157.47412,296.62848,287.18268,340.99426,259.86087,219.31113,286.8826,266.57556
