date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2018-01-01 00:00:00,314.04987,113.31549,191.07043,125.62634,139.27869,350.94354,152.49829,196.94743,98.659,148.5759,92.37369,48.105927,136.669,98.86838,143.39307
2018-01-01 01:00:00,356.76883,294.51007,266.89062,185.12451,129.64688,105.482086,135.71112,185.58417,141.90375,147.01239,242.11058,50.561264,136.38818,104.96289,143.42249
2018-01-01 02:00:00,47.985123,303.34064,243.00583,292.77185,238.251,356.7993,129.36978,188.55508,113.038605,142.47076,74.9762,46.248627,33.645638,112.77417,146.67444
2018-01-01 03:00:00,63.203537,333.38135,233.26083,302.25604,329.22626,346.00888,157.22284,333.49146,249.46588,159.72675,238.5318,41.17729,127.81055,119.69263,145.3562
2018-01-01 04:00:00,43.344315,311.95807,265.07,267.00635,344.49042,349.09863,253.09445,298.82587,202.8982,64.88118,182.15958,40.353455,124.1452,134.3396,143.54672
2018-01-01 05:00:00,26.906967,12.457062,199.74164,273.26868,351.18985,348.39542,68.60487,56.371994,111.486206,127.767395,226.82153,53.35164,125.04437,125.43793,149.20511
2018-01-01 06:00:00,54.487152,57.240265,36.17421,81.847336,191.08295,331.0727,67.45244,181.67499,123.815186,154.10779,228.16643,41.965347,126.73071,140.08154,140.17468
2018-01-01 07:00:00,31.238586,113.38788,60.590363,98.53592,140.91583,353.69147,112.1134,17.44735,261.60733,144.54037,157.3476,59.205322,118.085236,115.20682,145.12341
2018-01-01 08:00:00,301.17252,249.03268,162.72989,118.69586,343.75815,326.62885,262.86047,3.485176,287.30157,169.13715,207.43259,54.339905,131.78842,138.12964,159.92029
2018-01-01 09:00:00,343.0666,31.909912,168.8764,118.17566,320.06296,349.32773,289.85355,93.72708,286.4934,172.51685,201.36314,53.55562,128.35889,151.10223,160.63098
2018-01-01 10:00:00,82.2885,336.03738,190.82932,106.283325,221.19348,315.69098,272.6708,281.05457,291.6464,181.42822,294.63458,49.83435,127.067566,157.48184,181.33105
2018-01-01 11:00:00,35.43345,202.15778,260.88312,318.7456,228.48598,316.8771,273.31708,174.70358,304.4903,205.88939,206.63733,33.844254,38.57321,153.47443,185.31424
2018-01-01 12:00:00,70.35785,319.67288,305.30902,111.27173,286.7365,300.46103,59.08629,142.40323,300.93274,238.39053,339.01627,356.06613,29.57557,128.8388,217.77057
2018-01-01 13:00:00,36.875023,132.61075,254.29245,337.63104,185.25244,13.10907,340.30423,19.513176,288.0608,253.32494,43.969086,335.9345,32.190414,107.55115,258.44443
2018-01-01 14:00:00,317.76324,290.44196,337.55695,279.69293,343.41248,312.35916,322.49576,320.09338,311.6961,238.79294,330.7718,312.15927,47.767624,17.392761,293.8237
2018-01-01 15:00:00,49.92131,204.2753,305.2954,201.07773,323.58005,346.759,330.72137,10.940384,274.58005,281.04407,338.14218,194.71594,13.788536,349.15308,314.88345
2018-01-01 16:00:00,58.874588,60.70752,227.7281,154.6243,157.37335,328.35672,126.372925,56.65056,63.51436,154.33243,164.32721,54.614212,136.90442,134.23718,147.35373
2018-01-01 17:00:00,105.6651,321.8133,306.1409,119.23694,321.48633,321.07355,183.63272,351.17996,294.27988,332.4093,319.59744,0.30953217,40.04596,9.776382,327.84494
2018-01-01 18:00:00,36.48313,311.40228,315.80792,332.26642,7.092392,341.25174,304.9157,14.429352,284.31555,346.40152,319.2552,1.2075806,62.138504,3.185234,339.15985
2018-01-01 19:00:00,72.12224,310.1218,314.95978,232.31122,131.49951,36.297157,153.5311,92.974884,257.6244,6.9917603,347.57343,8.338463,192.20245,14.202316,336.47308
2018-01-01 20:00:00,49.73755,14.540947,204.05583,92.06207,142.99432,336.65256,33.13465,354.55798,119.612366,152.58188,189.26648,46.0045,136.23935,116.01724,139.23114
2018-01-01 21:00:00,77.229355,328.1834,312.7752,251.79607,308.2823,303.8533,119.53677,326.75165,293.06644,311.32434,347.36804,13.777512,42.229416,355.07214,313.01068
2018-01-01 22:00:00,47.182236,320.1664,314.76166,160.39813,311.2425,305.64218,136.73615,4.886032,301.85242,323.1327,320.39423,349.03366,21.232925,358.31644,323.76343
2018-01-01 23:00:00,50.279755,313.80072,315.32,348.75696,4.932907,355.36172,296.94498,10.59742,217.20291,333.79053,352.11557,7.012596,147.38397,9.323555,344.20187
2018-01-02 00:00:00,55.996643,313.6884,312.43597,206.73367,164.6886,298.75092,312.8794,158.67249,276.66022,323.01022,287.97107,3.105011,124.56183,2.6332169,316.94513
2018-01-02 01:00:00,288.9824,338.59982,311.80676,95.07861,32.642685,353.11423,350.13263,164.88455,298.6165,279.91583,348.1628,199.3858,150.05109,299.67563,313.7669
2018-01-02 02:00:00,306.32745,165.04913,311.8946,0.33763885,238.3694,230.45421,141.87466,191.72034,183.62622,265.08527,327.14478,178.21738,245.59995,162.2211,307.47717
2018-01-02 03:00:00,64.384,46.740112,342.43686,104.51343,264.9597,1.2900848,146.94125,346.48035,246.52022,284.8901,319.94354,291.59216,207.53477,298.12213,325.35736
2018-01-02 04:00:00,19.078629,310.95062,282.3339,183.23889,317.37198,354.4383,165.2384,59.247955,286.24146,223.78566,19.492233,157.07935,86.82944,202.77579,292.11682
2018-01-02 05:00:00,101.82669,336.3545,303.585,178.26263,209.0152,147.51477,227.09132,144.89865,162.4892,279.2865,160.88013,232.89392,65.71036,110.98663,342.0928
2018-01-02 06:00:00,12.359528,296.4926,235.21516,37.930565,251.30269,314.88495,139.85074,122.28021,288.60504,311.42654,12.789619,68.7847,43.752,146.71143,202.53647
2018-01-02 07:00:00,54.68245,254.29335,221.1007,48.4149,238.2644,328.16507,106.14545,179.81793,175.1412,242.5913,354.89877,44.304825,109.03778,136.71619,211.70166
2018-01-02 08:00:00,358.94788,285.28772,305.57117,99.63513,223.74745,68.683,344.60046,233.22586,40.375458,266.59186,330.42282,195.66264,134.40573,344.01892,307.19208
2018-01-02 09:00:00,307.07233,225.38019,308.76428,315.93713,135.70972,59.15367,344.85007,178.86737,20.658875,277.60028,315.71606,173.40775,152.72876,328.86115,307.49118
2018-01-02 10:00:00,59.5688,323.9007,219.77045,80.43413,36.78965,348.984,135.98291,63.344467,311.7179,299.82306,277.14923,250.57271,165.1276,162.28351,302.74518
2018-01-02 11:00:00,264.53708,159.06097,311.41913,47.6364,180.74893,356.27863,187.73325,299.23215,190.35556,244.85873,306.82965,299.35245,229.01053,333.47882,304.34845
2018-01-02 12:00:00,340.076,162.37433,340.84848,196.13875,154.99997,85.4232,165.2348,157.53662,8.205467,295.79163,2.770935,281.19434,107.53119,139.00146,326.9374
2018-01-02 13:00:00,59.76979,339.445,233.28537,341.52344,160.13849,348.72574,147.09973,343.74487,238.26544,276.65216,32.38051,61.855286,66.000336,129.84543,191.90909
2018-01-02 14:00:00,30.78051,266.91223,224.61429,112.35443,260.38306,324.32373,111.17651,156.22824,185.1614,317.39935,15.13607,42.309494,146.90839,124.37836,204.59819
2018-01-02 15:00:00,76.140274,314.1126,234.22127,131.76141,239.54887,352.68793,222.97833,165.84933,153.98868,288.39807,9.391243,46.92572,176.0112,118.04419,201.13766
2018-01-02 16:00:00,25.410866,180.19238,296.28802,75.24217,65.84009,10.563515,271.68253,85.20781,126.11688,304.98538,16.205238,299.32477,158.92206,170.99551,284.03503
2018-01-02 17:00:00,58.16858,325.45203,216.18976,87.32327,290.00653,328.327,236.94266,186.22775,189.87073,226.63425,172.16333,53.014572,116.36853,142.17374,193.84583
2018-01-02 18:00:00,73.16377,338.55286,214.4676,194.3906,187.15472,18.19976,271.05225,173.88669,189.47443,178.33115,354.1932,84.554,122.441284,173.79846,175.58777
2018-01-02 19:00:00,353.78308,332.4527,199.62167,66.73639,131.72284,305.47043,250.40512,358.66998,260.25845,180.11652,269.2079,52.02536,123.253784,142.04437,174.16449
2018-01-02 20:00:00,268.37643,20.231407,292.02167,205.2897,331.33057,5.1935577,161.78424,128.074,196.45596,235.3555,293.3147,282.77643,190.27173,331.46225,274.02917
2018-01-02 21:00:00,88.16283,235.93167,206.1619,60.70381,163.29163,319.64276,167.93454,161.00052,170.7001,305.28275,59.83667,59.904755,62.944183,151.75778,195.99408
2018-01-02 22:00:00,57.82405,267.01086,228.00334,95.70917,10.00248,347.95462,297.0237,28.260704,352.87088,179.15778,356.01578,53.590515,145.92374,120.556305,181.7106
2018-01-02 23:00:00,61.23015,69.592865,212.98895,176.98047,45.339355,230.81902,274.99585,321.84442,163.0539,255.20345,213.76303,72.79892,122.007385,132.40009,175.5346
2018-01-03 00:00:00,80.98764,303.94333,223.02774,117.09012,136.41776,279.55145,287.28674,342.97815,244.44687,120.4241,139.49109,46.921814,130.8966,110.313965,169.93222
2018-01-03 01:00:00,29.081642,45.453552,250.95915,0.9035721,138.99838,89.59819,167.57556,150.59363,120.40485,62.3145,67.352585,33.814964,127.492096,115.52649,144.62018
