date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2022-01-01 00:00:00,218.87614,293.4198,121.5567,141.62073,293.31567,157.0528,155.81244,116.273315,254.57452,160.5235,311.72064,192.14493,169.47736,201.97601
2022-01-01 01:00:00,258.91534,93.19885,26.293144,140.02496,138.46918,207.63286,158.58478,104.83688,243.03596,208.22253,288.19385,187.76147,215.39069,210.96637
2022-01-01 02:00:00,32.28437,14.348503,278.67535,332.1455,304.4913,130.73846,33.48796,250.0569,114.37778,113.94867,41.92282,124.652954,119.48895,148.2579
2022-01-01 03:00:00,347.6493,320.6993,256.37604,340.8115,334.98184,242.21892,123.1579,321.93768,92.85565,229.91156,45.80246,78.36644,105.00461,156.78659
2022-01-01 04:00:00,64.28328,345.55582,232.76654,345.39487,318.84644,39.63054,239.72104,259.1996,141.2728,82.20488,42.74649,134.60416,118.69818,162.41577
2022-01-01 05:00:00,295.75473,348.12427,328.58505,344.80573,339.81192,66.933105,96.1669,254.99187,160.84747,284.44073,55.157974,138.46582,126.0361,165.52246
2022-01-01 06:00:00,12.399017,19.827538,344.91095,137.05713,323.1634,244.52422,300.4527,151.72647,178.65506,214.21225,42.294556,141.57379,110.565,157.74875
2022-01-01 07:00:00,81.13161,357.24295,302.38953,140.11285,51.180008,304.31628,259.43585,148.50314,278.10632,69.1512,41.3994,134.74481,119.85004,169.51425
2022-01-01 08:00:00,65.745804,281.40137,286.71924,152.5314,316.97452,332.61884,328.50818,160.22656,289.704,231.05164,44.984802,131.44012,117.90765,172.3375
2022-01-01 09:00:00,36.12982,33.089912,336.96274,113.51105,315.3081,312.46207,336.63055,293.97455,207.86313,230.57854,46.135742,133.49933,112.75836,139.83322
2022-01-01 10:00:00,22.583565,3.7709732,306.72754,127.24463,329.286,324.77197,49.930786,282.61594,245.40955,32.89218,47.463394,126.81479,126.026276,183.4194
2022-01-01 11:00:00,54.264282,45.694763,304.99976,147.69409,325.66452,118.54242,184.35486,143.97232,172.76202,210.90486,49.62169,129.67993,111.45285,166.4248
2022-01-01 12:00:00,337.84195,4.3286057,181.85034,133.09845,342.32104,51.95404,193.50766,111.269104,139.62665,245.48976,45.4048,138.85693,119.93985,150.43411
2022-01-01 13:00:00,24.137863,40.3356,262.51154,139.98853,319.97095,29.810478,176.15375,120.086395,220.94365,134.04669,52.347565,140.61679,127.90289,153.51248
2022-01-01 14:00:00,14.38633,330.12308,122.13196,127.069275,327.5276,290.67957,157.3664,128.90454,185.30765,319.91156,43.25293,143.0932,129.112,165.31754
2022-01-01 15:00:00,15.681221,324.13562,116.64575,126.02112,306.88257,173.96524,165.2526,129.93185,197.16159,321.49832,76.48746,156.34937,157.08578,166.29797
2022-01-01 16:00:00,348.72458,219.94531,199.1421,133.00278,318.35275,164.21759,157.91666,130.69647,267.8945,346.4137,76.05519,167.08469,157.9375,192.54529
2022-01-01 17:00:00,98.08774,296.22046,108.036804,133.04666,349.0895,167.39545,155.10306,144.13763,214.63754,159.36789,116.32016,167.84128,156.20703,191.74677
