date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2006-01-01 00:00:00,-2.8406677,-0.35503128,0.59117234,-1.8410268,3.7660377,-1.577146,-0.6732864,-1.8609117,1.4811049,1.3199862,-6.0411882,4.3274593,0.3332625,3.7401974
2006-01-01 01:00:00,-2.782369,-0.7383089,-0.17967777,0.83432835,1.1890213,-0.039779548,-0.10336158,-1.9442033,-2.9734952,0.91765076,-5.878002,4.0863647,-0.57425743,2.5112739
2006-01-01 02:00:00,-1.4568846,-0.9117814,-1.7580208,-0.16298354,-1.9767919,-1.0586222,0.37514204,0.27737668,-1.8097352,-0.9763808,-4.8972716,0.81521446,-0.80890775,1.4882312
2006-01-01 03:00:00,-1.2628989,-0.24154335,0.26373497,-0.43439904,-3.238115,-0.19313703,0.2447123,-0.9508889,-1.9131474,-0.21807827,-3.4378765,-2.1352358,-0.648998,1.2621437
2006-01-01 04:00:00,0.2050051,-0.3397704,-0.18660024,-0.72405463,-1.2057307,0.18785985,0.11883498,0.79350835,-1.4086326,0.15594642,-3.1011875,-2.4649048,0.67217207,-0.27257794
2006-01-01 05:00:00,-0.9561304,-0.58556086,0.20130636,0.53918505,-1.4082693,-0.9151875,0.054575175,1.3569074,-1.2307754,0.08922819,-3.2160516,-2.4485886,-1.3728682,-2.2291543
2006-01-01 06:00:00,-0.7122436,-0.42517394,-1.2531706,0.037781827,-1.2662255,-0.8956699,2.348419,1.0091344,-1.4513667,-0.8928287,-4.2079782,-1.6839789,-0.67937857,-2.770566
2006-01-01 07:00:00,-0.3797993,-0.81164,-0.05901034,0.048079606,-1.7502626,-0.09196105,3.089733,1.1422313,-0.95641273,-1.021067,-4.2395244,-2.389775,-0.89660144,-2.9712403
2006-01-01 08:00:00,-0.56255805,-0.73914677,-0.4312849,1.0410789,-2.091915,0.2531911,3.555744,1.4558157,-0.7192888,0.1738985,-3.1318965,-1.765537,-0.8280066,-3.0900185
2006-01-01 09:00:00,-0.5561808,-0.8887325,-0.18156706,0.15342128,-2.027056,-0.14910777,3.0253727,1.6030205,-0.6917648,-1.4800302,-1.3980722,-2.0752065,-0.7146688,-2.5966845
