date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2007-01-01 00:00:00,-2.9365473,0.9403644,-0.8253022,5.155298,0.4791451,2.444604,7.2940116,2.1679087,5.8393407,0.46956745,-1.2344338,1.0637304,3.9062705,9.745536
2007-01-01 01:00:00,-2.0378277,-0.6850932,-1.6004764,4.40387,-0.9679191,7.311164,6.2671595,0.5769194,6.907356,-0.10008355,-0.58276325,-1.5950032,3.075241,6.4823065
2007-01-01 02:00:00,0.74079674,0.34649312,-1.9496006,-0.47779545,0.50593996,6.865041,4.370562,4.066565,6.02443,-0.18999076,-4.2863603,-5.370255,3.5699518,6.411618
2007-01-01 03:00:00,-0.0016056005,-1.7558068,-1.5755618,2.9289672,0.19617991,6.2728863,2.937474,3.9164982,9.367164,-0.04472101,-2.7900395,2.408888,0.759973,3.5683706
2007-01-01 04:00:00,-0.4443125,-1.6199116,-0.76135325,3.136779,-1.9501156,5.532388,1.5544126,3.2425392,-1.4877068,-0.059787877,-5.42725,-3.195741,0.8986575,3.8949218
2007-01-01 05:00:00,-2.117184,-4.436175,-2.3017862,-3.349989,0.16416523,2.9118745,-3.0947804,2.0208101,-0.6915971,-1.6981134,-6.7994733,-4.057349,0.014225613,2.7058115
2007-01-01 06:00:00,-2.212575,-6.339842,-3.1751952,-2.0691745,0.47421166,2.5255954,-2.1561894,2.830081,-1.5290991,-0.31808895,-5.9131985,-1.9269915,-1.2577399,-0.0010768243
2007-01-01 07:00:00,-6.0969157,-5.0827737,-1.818377,-3.1664138,-0.14068183,1.1735733,-3.9439712,-2.002434,-1.529501,-2.3900006,-5.9731917,-3.1677842,-1.5255501,-0.803562
2007-01-01 08:00:00,-5.539935,-3.6984787,-1.0859197,-3.1157274,-1.3730811,-2.678172,-4.166541,0.0299382,-1.4435604,-3.2617033,-2.3319323,-2.12697,-2.4845762,-5.2701125
2007-01-01 09:00:00,-5.8314033,-9.952766,1.73004,-2.7328513,0.25584534,-0.42161837,-3.5797858,-0.38773128,-3.9706128,-4.7224946,-6.351986,-2.56066,-3.666798,-6.29496
2007-01-01 10:00:00,0.11977445,-11.722019,1.2947614,-1.1699177,-6.893939,-1.3960952,-3.7058048,-0.24082433,-9.671044,-3.0429916,-13.828243,-1.0408827,-8.290694,-8.629955
2007-01-01 11:00:00,-0.7507547,-13.841382,-3.9632468,-2.8721342,-9.593102,-0.8863914,-3.555946,1.7474663,-10.504362,-9.37594,-17.42142,-1.4161088,-12.070712,-10.876307
2007-01-01 12:00:00,1.81687,-14.654108,2.7514179,-1.2391382,-7.1282086,1.2877085,-2.7352471,-0.07173969,-12.200101,-12.49867,-20.851997,0.06637323,-9.325549,-11.533981
2007-01-01 13:00:00,-1.0272579,-10.244589,0.037578642,-1.4982667,-3.5036602,-1.341158,-3.020497,-0.48835805,-9.327719,-7.4492393,-7.5767846,1.4025148,-12.726761,-13.066529
2007-01-01 14:00:00,-4.035179,-4.4071097,0.96580935,-3.8036008,-0.36999774,0.1859631,-6.15248,-1.2771046,-4.198124,-8.857696,1.3407091,-2.283089,-13.8348255,-14.255673
2007-01-01 15:00:00,-2.4588027,-10.569802,-0.36653367,-5.0382075,-3.6075003,-0.11300004,-4.8334684,-1.4351032,-7.9971747,-9.562736,-5.6721582,0.18584633,-10.646723,-14.147562
2007-01-01 16:00:00,-1.6738759,-5.539447,-0.6599855,0.4348918,-7.0760627,-0.9788233,-3.6254482,-2.2630079,-7.9847417,-8.365058,1.2477144,-1.0421256,-11.823641,-12.311199
2007-01-01 17:00:00,-3.085252,-4.842884,2.1678464,-0.5315927,-6.7846594,-0.10291412,-3.441106,-2.5583467,1.9010131,-6.3150344,-0.4009647,-2.363811,-8.316696,-9.513158
2007-01-01 18:00:00,1.1135733,-2.9733284,2.6668274,2.8140783,-8.6188135,-1.8224453,-1.9415704,-1.3655472,0.9103608,-6.515738,0.9797038,-1.3135937,-3.2334235,-9.490341
2007-01-01 19:00:00,0.27358148,-3.2110465,1.6748129,2.7482836,-3.8450532,-0.5585157,0.18471985,-1.9080111,3.665553,-2.7417169,3.0921307,0.81556743,-1.2220023,-7.160154
2007-01-01 20:00:00,1.1925738,-0.5113592,4.975883,2.4523144,-1.6278116,-1.0442121,1.9720117,0.6634195,3.8617103,-2.086162,3.1364138,2.2850678,0.3295359,-2.9598894
2007-01-01 21:00:00,1.8697644,-0.50260377,3.463363,3.0788324,-1.4303871,-3.1076941,2.4027784,-1.5233237,4.5881824,-3.544095,1.7364631,2.3242323,3.066047,-0.14629501
2007-01-01 22:00:00,-0.26053736,-2.748523,1.8408219,0.24020416,0.040479217,-2.4445062,2.7707188,1.7950068,3.5763285,-3.108682,2.1659796,2.128511,4.0198865,0.9499561
2007-01-01 23:00:00,2.655107,-0.9992156,6.238725,0.6790012,0.39515767,-2.187006,2.148769,-0.35181955,4.578159,-2.9922276,2.7066522,2.9496665,2.8222373,1.4170789
2007-01-02 00:00:00,3.2585132,-8.056888,6.2101088,2.8898895,-1.5784392,4.4921103,2.7187254,1.6434515,8.311313,-2.0925193,1.7621324,2.6652386,-0.397269,-0.5837007
2007-01-02 01:00:00,1.2257022,-2.9975586,6.684902,3.42923,-2.8145168,0.2645054,3.4087548,-1.4019883,7.491371,-1.7795837,3.2130883,4.0696177,-0.97433263,2.2745326
2007-01-02 02:00:00,5.0852966,-7.899182,1.151683,1.9761395,-0.87569356,-1.1067289,2.2509604,0.2339531,3.682158,-3.7033122,0.60251296,1.7507607,5.1858406,0.7058608
2007-01-02 03:00:00,5.260954,-0.5391485,5.2324266,2.0068717,-2.292884,-2.6155174,3.8877802,-1.4114419,5.7439513,-0.24632666,0.45301893,3.181936,-1.5111188,1.3964847
2007-01-02 04:00:00,0.2535932,-4.766067,6.448716,2.5967329,-3.0900083,-3.534912,1.0572964,-1.5953062,5.4701495,0.80272526,-0.61782396,2.5180721,4.131487,-0.13794991
2007-01-02 05:00:00,0.23097873,-10.841025,5.1355214,2.5004601,0.57884747,-0.8448967,1.872843,-3.2665777,-1.3876461,-1.9537052,0.011705963,3.7140028,3.2802913,-2.2971296
2007-01-02 06:00:00,-1.321923,-3.949366,4.204279,1.7253264,-3.8406963,-3.2754664,0.022367533,-0.97053516,2.9039776,-2.7007217,-0.79184663,1.8518342,2.627551,-2.831187
2007-01-02 07:00:00,-0.5454793,-1.308585,2.7372773,1.1582755,-1.3152584,-3.5236335,2.7288415,-3.3636727,5.1406093,-1.9618021,0.5700803,3.3301091,2.9307187,-2.2420852
2007-01-02 08:00:00,-2.699534,-6.0155087,4.6669593,1.3860248,-4.737965,-2.7769592,0.23038237,-1.5630944,0.39567393,-2.3569508,0.8788423,2.7651734,0.26792732,-4.3597503
2007-01-02 09:00:00,-0.08069569,-9.629255,1.2776237,-0.50238836,-5.7272353,1.9280422,-1.9722961,-1.8867824,-3.3596478,-3.4879513,1.6791757,1.4065727,0.39672646,-7.8971405
2007-01-02 10:00:00,-0.51232684,-11.808122,1.9005249,-2.2450378,-5.813168,-2.2491481,-2.6929705,-2.9202878,-2.8124895,-7.9602504,-0.011444926,-0.27888352,-7.3037243,-8.229249
2007-01-02 11:00:00,1.4117322,-13.029507,1.476599,0.54818636,-4.7207847,-0.74122,-5.610705,-3.297543,-10.161812,-3.5072653,-0.74229044,0.51002973,-9.57386,-14.724626
2007-01-02 12:00:00,3.8352861,-10.206549,2.1344016,0.6314333,-1.4732425,-2.3231726,-4.665731,-1.755617,-7.5137444,-7.7737584,0.96310157,0.6280841,-10.134455,-10.384857
2007-01-02 13:00:00,1.7094092,-11.433898,1.4445812,-2.321412,-3.1307542,-3.8166087,-6.583895,-2.616776,-6.2751336,-7.505359,-1.2061787,-3.74115,-13.1640835,-9.353046
2007-01-02 14:00:00,-0.6061719,-12.770579,3.1462371,-3.7291582,-7.6771293,-1.521068,-6.2186112,-4.6011786,-5.332745,-8.915342,3.0339684,-3.6169393,-7.1804686,-13.786117
2007-01-02 15:00:00,2.305926,-12.426734,-0.5004999,-0.46885896,-0.15133819,-2.9150493,-4.37843,-5.2789464,-3.3990471,-9.822648,-0.69230485,-2.8373196,-10.836709,-11.6257
2007-01-02 16:00:00,2.3079288,-15.320435,4.510321,-3.5879316,-3.8114989,-2.1374917,-3.9121592,-4.4874506,-5.2531834,-6.300701,0.49460644,-0.22697008,-12.809269,-8.597365
2007-01-02 17:00:00,-0.7014389,-11.49223,5.6714044,0.38027787,3.673181,-2.8046167,-4.6781063,-2.9434357,-7.930229,-5.536867,-3.3476243,-0.85743564,-7.545705,-11.283489
2007-01-02 18:00:00,-0.7110518,-17.62857,2.977564,1.501211,9.241302,-2.148594,-4.99936,-2.6385446,-8.696831,-5.101744,-3.9757705,-2.3443317,-7.6102805,-12.093231
2007-01-02 19:00:00,2.3718464,-15.8767605,5.3168797,0.011055108,7.4762034,-2.0326707,-3.9494848,-4.0740147,-5.8053675,-4.206851,-0.37881017,-0.16066551,-14.673721,-10.859628
2007-01-02 20:00:00,3.374791,-17.260519,1.4136502,0.68098724,0.8623727,-1.1632102,-4.609633,-3.3623044,-6.9472003,-5.830648,0.04707802,1.9229538,-6.2067227,-10.949554
2007-01-02 21:00:00,2.9211364,-12.603831,2.3225186,-0.63456357,0.75129986,-0.36644074,-2.0776124,-2.5809743,-6.7813063,-9.559217,-2.2448473,1.1562638,-8.459151,-11.002855
2007-01-02 22:00:00,-1.1025367,-13.361927,0.95940506,-2.7173116,-1.4840022,-0.23490983,-0.97268933,-2.3254213,-5.1505527,-9.134817,-1.6803814,-0.052827127,-0.19605376,-12.214597
2007-01-02 23:00:00,6.973285,-9.139043,4.898799,1.2500031,-1.5997326,-0.8723258,-2.3314235,-1.4539099,-2.2300327,-3.351903,0.09056649,-0.17626709,-5.242939,-11.314665
2007-01-03 00:00:00,0.5466729,-5.407785,1.6903932,2.6080065,-0.6351925,-2.774361,-0.38477877,-1.4535984,4.3563495,-4.523577,1.8011922,0.31514204,0.552365,-8.996849
2007-01-03 01:00:00,5.4384103,-10.160871,2.7275429,-0.045931492,-1.5353434,-2.4288065,1.9260132,-2.4860313,5.258664,-6.0243015,0.18668681,0.02540011,-0.07123146,-8.520829
2007-01-03 02:00:00,5.6542554,-9.742196,2.3515437,4.273612,-4.3741026,-1.1726139,-1.6441416,-1.4617987,5.008899,-9.152904,1.5104282,1.1771821,4.812417,-8.329624
2007-01-03 03:00:00,0.70991164,-6.740293,1.3773166,0.2838147,-6.8569274,-2.0366457,-2.547455,-2.200442,6.4209647,-8.978791,0.026535736,2.038934,6.755985,-5.6797724
2007-01-03 04:00:00,-2.2291384,-7.7115784,2.5899503,-0.07818332,-7.2528653,-1.130973,-1.6770308,-0.29375985,7.80378,-1.2024817,2.9544084,0.84517676,1.4588978,-9.621688
2007-01-03 05:00:00,-2.498648,-2.3433125,2.3943343,1.1115474,-8.298485,-0.86021,-0.08268034,-1.1565709,5.1984096,-0.9811612,4.335646,0.12036821,5.000003,-6.791586
2007-01-03 06:00:00,1.912764,4.772062,4.55502,1.782426,-1.8051465,-1.8621655,3.5256088,-0.75827616,6.877923,-0.06628425,2.1923156,0.5883365,2.5164099,-5.752552
2007-01-03 07:00:00,1.4264054,7.0621624,1.4611541,0.10930384,2.830915,-0.913859,2.2252917,-1.884836,0.85560316,1.2870402,2.0793893,1.2852405,-4.1448135,-5.6965837
2007-01-03 08:00:00,2.283537,4.442696,0.8663892,-0.08349625,-2.8059735,-1.0982267,2.4318552,-0.9465472,2.2337928,0.5888575,-0.17919941,0.7144896,1.1097584,-4.9125376
2007-01-03 09:00:00,-0.67054754,-1.2216876,1.7807219,3.6708984,0.91116697,-1.5397316,3.963287,-1.3354286,1.4647671,-0.6718397,0.5310166,1.2649815,2.7536645,0.23950042
2007-01-03 10:00:00,-0.04027078,0.49337414,1.7065164,1.2465895,-0.7645056,-0.3299784,5.31666,2.5299563,1.9233158,2.4648774,2.0985565,0.45033574,3.1923897,4.506561
2007-01-03 11:00:00,-2.4249165,-0.51792866,-1.1869695,0.5890622,1.2977657,0.5039911,7.1301045,3.793537,4.7434754,2.1606703,0.81078714,0.5144234,3.8360763,4.6482897
2007-01-03 12:00:00,3.9055557,0.57863593,-0.7262214,3.7034338,2.8385751,0.9478418,7.328262,-2.9933865,4.2147536,3.0304055,-0.6673767,1.209233,7.2286043,8.81319
2007-01-03 13:00:00,-1.1581098,1.1650661,-0.7861944,1.526553,1.9365007,-2.2100224,11.282677,3.1810417,6.6964445,2.4553914,-0.48148182,2.2206569,9.775433,10.42702
2007-01-03 14:00:00,-0.4324825,3.6545162,-0.805222,4.182005,1.1297088,-0.6769219,8.32908,-2.7556677,13.287835,1.9268008,-0.35312834,1.132724,6.9915543,9.981241
2007-01-03 15:00:00,1.7600212,4.571534,-0.23693688,6.3757644,-0.4015111,3.5482044,10.236424,3.646457,10.190533,1.10853,-0.567121,-1.5191433,7.8692317,7.6027083
2007-01-03 16:00:00,1.5748224,3.4763918,-0.29142347,7.852765,-1.2996755,-2.2241828,13.1925335,6.111449,6.334148,2.0211298,-1.0228666,4.6517305,7.9589977,6.3361125
2007-01-03 17:00:00,0.53777283,2.2935019,0.15027094,8.669529,-1.5369163,-0.836477,12.161576,6.746148,4.0183096,2.9872808,-0.7723884,12.571251,8.046648,6.342866
2007-01-03 18:00:00,-1.3690501,0.8717695,-0.717509,10.014795,-1.80302,4.127365,13.147915,9.572001,5.7454343,1.4388783,-3.1013703,14.268385,9.028927,9.5061455
2007-01-03 19:00:00,-2.3704925,-0.06600609,-0.40858135,9.627067,-1.7126107,-1.1281096,11.804427,9.24583,0.89371616,0.30551103,-1.5741738,13.545901,9.770383,10.307306
2007-01-03 20:00:00,-1.065495,-0.7084401,-0.6980161,7.1426945,-1.1382326,-2.8669686,12.749866,5.88494,1.51612,-1.6002004,-0.37649965,10.61185,8.478774,8.054082
2007-01-03 21:00:00,2.4978561,4.133498,0.103091724,6.118326,-0.6863994,-4.253701,10.559468,7.856453,10.038546,4.3331766,0.7840885,10.053014,7.8875155,10.537656
2007-01-03 22:00:00,-2.3864818,2.9597955,-0.26526704,5.592216,1.1951921,3.0162284,9.426029,8.983549,10.864522,5.4708457,2.781849,4.396051,10.866255,12.52277
2007-01-03 23:00:00,-1.297529,1.9134656,2.1750336,6.0673714,2.8231542,0.13899136,10.952587,7.81792,14.938552,5.4076495,3.5088098,6.9818773,11.670984,13.182362
2007-01-04 00:00:00,-0.3043108,2.406407,4.2351446,6.940516,2.6318347,-1.5527496,10.745499,4.0761223,11.88955,7.6801395,2.828368,6.30054,9.444553,14.635376
2007-01-04 01:00:00,-2.5401962,1.9437855,-1.5228271,6.9126,4.251756,0.65877974,10.364144,2.9661155,13.837872,7.829465,0.73418796,1.6874644,11.851535,12.66656
2007-01-04 02:00:00,2.7178228,2.3636918,-2.2809117,6.2192698,5.688346,2.9083452,10.684589,2.0557172,14.979597,7.034763,-1.4191444,0.99239683,12.097453,11.968109
