date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2008-01-01 00:00:00,-0.29387,-0.8945761,-0.33980447,0.93085194,-1.2732259,-1.0816967,4.4149203,2.0080743,-1.4754152,0.27605465,-5.0225124,6.0579643,2.0898292,5.083561
2008-01-01 01:00:00,-0.19774197,-0.64137584,0.4336525,1.3525381,-1.3102139,0.17999262,4.775566,0.846495,-1.7095866,0.2761953,-5.6229367,6.400497,1.5387542,4.8960943
2008-01-01 02:00:00,-0.11849782,-0.5769956,1.4046103,1.3379914,-1.5031327,1.0157791,4.7582536,0.96178967,-2.1508498,0.25451058,-3.7103596,6.0344853,0.81355435,4.8679705
2008-01-01 03:00:00,-0.1299447,-1.101117,-0.17559518,1.140622,-2.166627,2.280592,5.121628,2.0464034,-0.71464515,0.6027433,-2.0512629,6.6382365,0.8286605,5.097324
2008-01-01 04:00:00,-0.27574384,-0.15621345,2.420877,1.0594286,-1.7208866,1.8211764,5.904681,3.2523673,1.996524,0.88920724,-1.9112298,6.6280494,-0.13285947,5.831552
2008-01-01 05:00:00,-0.589694,0.3920703,-0.4869488,0.57478535,-3.1677063,3.332033,6.537165,4.1535153,2.910437,0.648084,-2.617575,6.871664,0.82121336,6.597533
2008-01-01 06:00:00,-2.2609086,-0.28496778,-2.1352055,2.346613,-4.75057,2.9371476,7.072537,5.5718236,4.5292935,0.0063677244,-5.949253,6.8933725,0.7207284,6.577027
2008-01-01 07:00:00,0.15235244,0.06257229,-1.5614674,2.4486337,-2.2512577,2.775951,7.168056,5.836678,6.2721767,-0.30543208,-4.0354576,6.067268,1.6329526,6.4315667
2008-01-01 08:00:00,-0.27334747,-0.29939073,-2.5613053,2.1563532,-1.7920166,0.9198742,7.3525963,6.0862465,6.1425624,-0.40669173,-4.9645443,6.0451717,0.3503401,7.1479125
2008-01-01 09:00:00,-0.27398768,-0.06438293,-2.0993893,1.8656936,-1.2873298,2.6741328,7.7559304,6.345384,7.063636,0.38899434,-4.8478713,5.8755884,1.1911315,6.5853066
2008-01-01 10:00:00,-0.5324866,1.1334143,-2.1307588,1.9988583,-2.0677366,2.4592674,7.842328,6.804989,7.455955,1.5540705,-2.8327444,6.9820757,1.4591205,6.916493
2008-01-01 11:00:00,0.07455961,1.0661288,-2.384221,2.4429026,1.5307897,4.502812,7.6069927,5.2948093,7.4207816,1.3359599,-1.7697556,7.1667094,1.7413092,10.061337
2008-01-01 12:00:00,-1.322508,0.76768625,-3.0880058,3.4279115,0.74064136,4.315359,7.908253,3.7287524,8.211467,0.56301725,-0.41677275,6.9400067,3.7695081,8.843479
2008-01-01 13:00:00,-1.0477457,0.19898473,-0.04032887,2.5349624,1.1089001,4.9259725,7.307585,4.67744,7.5284863,1.0089478,-2.1388445,7.1895494,3.0136912,8.248191
2008-01-01 14:00:00,-2.2646167,0.32020667,-1.280015,1.4389344,2.193458,6.0740614,6.3862276,4.3086143,8.349982,1.0711955,-0.918606,6.1688347,3.1998768,9.056788
2008-01-01 15:00:00,-1.7652208,1.0175189,-1.520963,0.1589668,1.4046113,5.6693,8.436435,4.281066,8.504097,0.73771536,-2.357298,7.206934,3.4161503,8.826851
2008-01-01 16:00:00,-2.630654,0.7874618,-2.4751048,3.6632524,3.580117,5.43212,8.0316305,4.2972016,9.299353,0.23951,-2.79374,6.8735166,2.5511324,9.241602
2008-01-01 17:00:00,-2.0579488,-0.36161476,-1.280864,2.8770945,2.0958629,6.3965473,7.4346933,5.5767565,6.5226817,0.94854003,-2.4400437,7.636466,4.1121607,7.90423
2008-01-01 18:00:00,-1.6527833,-0.078191586,-1.9319102,1.8748937,1.2233773,6.8967557,6.592062,4.4728665,6.5656266,1.1778808,-3.2707732,7.160041,4.0142603,6.709691
2008-01-01 19:00:00,-1.0804325,-1.1074336,-1.7571853,-1.1060189,2.461612,8.308932,7.6754403,5.189771,4.176276,0.6584776,-4.086306,6.451379,2.9774709,6.742789
