date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2012-01-01 00:00:00,-0.14998809,-0.98324186,0.77361876,8.045125,-1.7702537,9.244895,7.825501,3.5288708,3.0903616,-0.20357122,-2.8139174,8.990929,5.8131795,7.8055153
2012-01-01 01:00:00,0.03540485,-0.34219676,0.76155955,7.908409,-1.422212,10.66061,6.3176436,2.6107123,3.4000337,-0.58489317,-4.172948,9.644183,6.3478985,9.580425
2012-01-01 02:00:00,0.10566546,-0.70326364,0.36985043,8.911358,-0.62835884,10.283967,6.588243,3.261658,0.3339732,-0.53461504,-4.3065276,5.2300158,7.2623267,11.568371
2012-01-01 03:00:00,0.057317846,-0.25178257,-0.717402,7.5311546,-0.52257156,3.339521,8.847233,9.510967,2.3040562,0.33232063,-2.3153315,5.7312613,7.4869895,11.748158
2012-01-01 04:00:00,-0.14440063,-0.61128366,-0.5295956,8.556512,-1.4127884,-0.5508023,8.870588,4.8817887,7.153678,0.20391169,-3.7691057,7.6515913,7.162335,11.429585
2012-01-01 05:00:00,-0.45852146,-0.1596915,-0.47795868,7.997578,-0.892734,10.222376,8.230934,4.0617995,10.051112,0.37356508,-4.23763,7.9989214,6.5778155,10.71142
2012-01-01 06:00:00,-0.3479862,-0.8314936,0.19233344,7.3948555,-0.57842255,7.6186385,7.5626216,2.5346851,9.35287,0.3382768,-4.751197,8.223648,5.2849097,8.90549
2012-01-01 07:00:00,-0.36549276,-0.7815911,-0.071084596,6.3615456,0.24802878,1.6354978,5.3827415,1.2484244,8.5830765,0.1428697,-4.23069,5.729788,5.3702803,8.374304
2012-01-01 08:00:00,-0.35069296,-0.4964769,0.27499524,6.2961793,-1.1104246,1.348762,6.5928807,3.2796254,7.52539,0.6649133,-4.531531,5.2224016,3.9648085,8.038896
2012-01-01 09:00:00,-0.7606013,0.11061208,-0.32017344,6.282997,-1.7130159,1.9255025,5.677941,2.215656,6.8279457,-0.32140082,-3.6245177,6.9342575,3.358914,7.3782263
2012-01-01 10:00:00,-0.29191905,0.3702327,0.74218494,6.2598815,-0.6919047,1.5833715,5.734331,0.72848576,4.618833,1.088434,-4.599859,4.9940534,3.728697,8.060314
2012-01-01 11:00:00,0.108603805,-0.42041934,-0.15469547,4.860852,-1.2300112,1.5549446,4.914758,-2.6916864,2.3588295,0.89793134,-3.0474539,4.6964674,4.749811,7.3350396
2012-01-01 12:00:00,0.18056865,-0.22510946,0.63787764,4.779911,-1.1607765,-0.918828,3.741905,-0.49023438,0.45152414,0.44980493,-1.2954127,4.1551175,5.275262,3.6327584
2012-01-01 13:00:00,-0.5536246,0.7005057,-0.13093698,3.6664596,-0.5737436,-3.0410337,6.0595603,-2.1950917,1.2602327,0.11586146,1.3428797,3.496588,4.832573,5.8769164
2012-01-01 14:00:00,-1.0367563,-0.56147105,-0.29408357,1.7719845,0.66988415,-0.7110055,8.343115,2.8844628,3.1554754,1.0212791,0.09099816,0.32415417,4.7577114,5.80136
2012-01-01 15:00:00,-0.5471765,0.6309088,-0.5502807,4.1304197,0.1460453,-1.0744435,6.16241,1.7127175,1.9132761,1.4570612,-0.29641256,3.2812197,5.92127,5.9417024
2012-01-01 16:00:00,-0.2137262,1.2542847,-0.36142316,4.0380363,2.1389506,0.060898725,6.422406,-0.5782133,7.646159,0.32297972,1.9212881,3.082722,6.9526167,7.915659
2012-01-01 17:00:00,-1.8357056,2.1356714,-0.15866442,5.0929,0.78547746,-1.4772943,6.1577907,-1.8572268,8.364478,1.8392268,0.9249279,2.3143678,7.201857,6.7786016
2012-01-01 18:00:00,-1.7499266,3.018461,0.5426327,6.2157636,2.2906764,2.821325,7.89039,1.3723733,7.786286,2.848809,0.5125617,1.7694724,6.486965,6.93689
2012-01-01 19:00:00,-1.5712998,2.8372087,-0.623036,3.4442725,2.445371,0.06705643,5.7938614,-1.4534868,9.756425,2.4169252,1.7528018,2.586998,9.985544,10.051312
2012-01-01 20:00:00,-1.173617,2.6391366,0.24656707,5.696598,1.6380424,-2.1647856,1.4225161,-2.3892946,8.9826565,3.7185104,1.6714026,2.7082546,8.4993,8.946604
2012-01-01 21:00:00,-1.8066735,2.3714712,-0.24530272,3.2216616,2.6033518,3.2644017,6.4139905,-0.8498952,11.396246,2.492013,2.4359426,3.1588383,7.4172034,8.89318
2012-01-01 22:00:00,0.20241918,3.1032407,-0.47025466,3.7014048,3.1795177,0.75185305,5.2388487,0.19982424,10.281885,1.982552,2.4553378,0.31975332,7.715782,10.732679
2012-01-01 23:00:00,1.0340122,2.3343499,-0.1743313,3.295119,1.175656,2.9125645,5.7971725,1.5987984,9.664297,3.419718,1.6043772,1.0587099,6.588463,9.334022
2012-01-02 00:00:00,-0.97633374,3.0894704,-0.8225783,1.350126,2.1264422,-0.7507493,3.3590362,0.059108038,8.739894,2.1961412,1.365808,1.6544939,7.1943135,9.451471
2012-01-02 01:00:00,0.79247224,3.0569887,0.11971519,5.6632276,1.8575909,-0.36258972,6.373436,-0.71291506,8.871632,1.9364698,4.046136,1.7533742,7.613963,9.391571
2012-01-02 02:00:00,1.131907,3.21377,-0.6279037,4.799325,3.3726578,4.059901,5.459101,-0.05323898,7.3005476,0.85340154,2.3907619,2.665207,7.4279003,8.332216
2012-01-02 03:00:00,2.0082865,5.921493,2.6498709,4.110267,1.8868167,1.1834236,6.4104347,2.8479588,7.5745826,1.4637258,2.8046596,1.9521065,7.634017,6.746675
2012-01-02 04:00:00,1.5415225,4.3096704,-0.63756925,4.0892973,1.7879713,-0.26816016,4.7103667,-1.6956537,8.268416,0.4391242,3.187771,1.8002353,6.717534,6.5529685
2012-01-02 05:00:00,2.8709035,5.0376363,2.033381,4.5170126,2.322245,-5.091837,5.8699956,-0.02661393,9.790447,2.6062098,2.8234572,0.64148504,6.6920533,9.660786
2012-01-02 06:00:00,-0.59324634,3.2842102,-0.11608121,1.4442962,2.6073434,-1.2201006,4.3002524,-0.26490703,7.396209,2.496094,2.9014769,-0.76165634,8.2658,8.990808
2012-01-02 07:00:00,1.1170076,4.3450418,2.4596968,3.8565414,3.2339373,-0.23103866,3.2611887,-1.6075662,6.600942,3.98358,4.027924,2.5800433,7.5317745,10.506472
2012-01-02 08:00:00,-0.296305,3.4304879,-1.8625911,5.403806,1.6949042,-1.8597023,4.841289,1.9882137,8.754759,2.3809257,1.422585,1.3165542,7.2944026,8.383509
2012-01-02 09:00:00,-0.6629648,2.5383935,1.9977251,1.9899412,1.2329999,0.5183372,4.36618,1.7996441,8.0320425,1.1459776,2.20276,-0.086956926,6.4147882,6.410099
2012-01-02 10:00:00,2.6526575,2.0954146,0.11549654,2.0325303,3.289161,1.8448497,5.301484,3.6412673,4.5856223,-0.8322404,1.6393893,2.0293148,4.4307785,4.1543694
2012-01-02 11:00:00,0.87118226,1.5636373,0.7498754,2.678626,2.1956148,-1.5789055,4.539803,1.2663747,2.8104029,-0.05212713,1.9074197,2.1197877,4.9351206,3.9237766
2012-01-02 12:00:00,1.9710225,0.961455,-0.33051637,1.1619649,0.9033819,-2.331415,7.2959037,2.9676874,6.937848,-0.061727807,1.0853703,1.41235,5.705527,3.3985376
2012-01-02 13:00:00,4.5143566,5.3133984,-0.16278261,0.5510098,2.490035,-0.28235525,5.6490636,-0.28523812,5.1874266,2.082007,1.5122569,0.4140091,4.7824764,0.9341538
