date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2013-01-01 00:00:00,2.8208137,-5.071207,6.880395,2.064487,-3.0365596,0.41993442,-4.4622927,-0.6113477,5.4341764,1.0781932,4.913264,4.299417,2.11897,2.8426864
2013-01-01 01:00:00,-0.032233085,-1.4841776,5.849009,0.792053,-0.030589016,-0.027588207,3.067966,-2.9046335,2.2870846,-0.503084,2.981881,4.2510867,4.3614964,1.2821174
2013-01-01 02:00:00,3.9423985,-1.1723326,6.946942,2.2964818,1.580292,-3.8272727,3.9763553,-0.9710669,4.296408,0.6885439,1.1215005,3.3720357,2.2440846,1.6249707
2013-01-01 03:00:00,5.1852527,-1.0167454,6.5107765,2.5181777,1.7359822,-4.173673,-1.9461986,-1.4281832,2.9356241,2.0209432,1.5259944,3.8346555,4.362058,2.612144
2013-01-01 04:00:00,-0.15200095,-3.060994,4.9348536,2.796766,1.2508425,-3.285114,2.46136,0.31167963,2.4441931,0.22474237,4.854488,2.8308141,5.3187776,-0.57372993
2013-01-01 05:00:00,3.1688855,-3.6080813,3.9379623,1.4844282,-0.35247067,-2.3856034,-0.11193351,-0.9147567,3.4368272,-1.8036985,3.175262,4.2693996,-2.321317,-0.15276457
2013-01-01 06:00:00,4.589398,1.1343902,2.891005,5.4263077,-5.200958,-4.183564,-2.1348364,-0.9210885,2.3984754,-4.0873766,-0.63482016,2.609477,-2.1261115,0.99981755
2013-01-01 07:00:00,3.0706222,2.5703354,3.4334517,2.9755483,-2.4457347,1.7905208,1.5864972,1.5133185,5.824159,0.17270604,1.3107867,2.610029,-0.9407764,0.16732582
2013-01-01 08:00:00,0.49306977,1.2413657,4.803446,2.3828275,2.9490197,2.1917272,2.9551806,1.0005232,3.962089,3.0439818,4.461831,1.7391474,3.4054286,3.181275
2013-01-01 09:00:00,0.13622405,0.76502806,5.0680876,1.67588,2.5957148,1.1510829,2.4240758,-0.81981754,4.558518,1.9677134,2.94812,2.620958,5.622887,3.1539655
2013-01-01 10:00:00,0.84748954,-0.017379511,4.75085,2.9488003,0.4171257,1.0104934,3.4856544,-1.9336817,3.4053864,0.45443258,4.081636,3.1174316,5.640325,3.209142
2013-01-01 11:00:00,3.7089307,-0.052765984,4.506371,3.5576055,4.203185,0.8175966,1.8932717,-2.3552833,4.1729503,2.299955,3.9380493,2.6748545,5.158415,3.2482412
2013-01-01 12:00:00,0.68489933,2.2267697,3.4114466,6.386031,1.2567347,0.76081085,2.1356604,-2.774283,3.466365,1.312214,3.4456403,3.070024,5.966804,4.1106863
2013-01-01 13:00:00,0.7532021,0.7490755,2.5041492,2.0620737,0.4604041,-0.16113108,2.3530157,-0.93471926,3.3809345,1.7567831,4.208481,2.8302867,5.5026937,3.9259634
2013-01-01 14:00:00,-1.3429868,0.8433781,3.8056095,1.452641,1.4465256,1.348675,2.0764213,-1.3713672,3.8053398,-0.7174355,3.894681,1.4648287,4.836735,1.3080115
2013-01-01 15:00:00,0.21825871,0.44167256,2.4188473,2.0707257,-0.0782226,1.484024,1.710264,-1.2666353,2.9881165,-1.7268363,1.8919835,1.3278975,3.5212855,1.1721702
2013-01-01 16:00:00,-1.1788062,0.14229268,-0.09378837,0.932969,-0.9001827,0.9416081,2.479693,-1.009555,3.5886104,-2.6229584,0.72009516,2.4939733,3.2366662,2.3776054
2013-01-01 17:00:00,-1.462552,0.58855677,-0.6757619,1.4588788,-3.3587456,0.7257656,1.5362388,-1.2703663,4.1487,-1.4575652,0.8789801,1.5577506,3.15581,-0.22009325
