date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2007-01-01 00:00:00,3.8227282,4.3226204,4.7799983,2.079728,5.0985727,2.6005929,3.3239996,6.207361,6.569273,6.139988,2.699202,2.8944364,0.9459321,2.5839126,4.144337,2.5736644,2.975038,6.3323617,11.470237
2007-01-01 01:00:00,2.061358,2.1002436,4.4856563,3.1137235,4.3147335,1.6072112,5.4933267,6.7993755,4.6094017,8.115664,2.7695951,1.6851513,1.1932054,2.542546,3.0116565,10.759908,2.4253263,8.804255,10.480806
2007-01-01 02:00:00,2.325083,0.43793735,4.681877,3.5987182,8.764001,1.488718,5.3631196,4.6435657,5.5366087,7.3480344,1.9470606,0.62005687,0.87661576,2.9159174,1.3127028,6.5540605,4.643914,8.694879,9.42322
2007-01-01 03:00:00,2.9725738,2.5685346,1.3276403,2.3770354,4.8552303,2.7147107,4.4967623,5.7161174,5.4875975,11.803554,2.0052238,1.190549,1.0787615,3.9302783,5.1721516,3.6486113,9.944367,8.858514,7.5635667
2007-01-01 04:00:00,1.2011248,2.293924,1.8746278,3.5215788,6.4153323,2.8583899,7.6939583,5.1609735,4.168645,8.310178,2.9986942,2.0088446,1.8770514,0.7906586,1.7035768,8.259176,3.7004738,10.180237,8.281577
2007-01-01 05:00:00,1.007404,4.8547034,4.7068768,2.2398818,1.1590452,0.20997469,4.6821413,3.0900462,3.3928218,7.4503145,3.4759793,2.0873766,1.5896417,2.2543614,1.4153706,10.553261,3.5466974,8.405166,6.947941
2007-01-01 06:00:00,1.1493027,6.906628,4.4148235,2.5640113,2.178902,0.9341628,3.8101346,2.4419446,3.6657882,6.1473083,3.606438,2.085423,1.2886076,1.970235,0.81404793,8.767321,4.0552406,7.601181,5.218822
2007-01-01 07:00:00,5.1810474,7.5500035,3.857702,1.1312793,1.6242527,1.9596796,1.0302792,2.5005288,1.7796493,5.4265647,2.5385926,2.1924877,2.2015455,6.8895764,8.615799,6.8829355,4.25048,4.448898,3.9436316
2007-01-01 08:00:00,4.214244,5.098607,5.2631307,0.9008343,4.045966,2.9624267,4.413604,4.098952,2.3260021,3.8430245,0.9685724,3.742862,3.4652436,3.710198,5.1618543,3.3231566,4.799828,2.7450483,4.2886558
2007-01-01 09:00:00,3.8747602,11.15138,11.23677,0.7320802,3.6442225,3.0091443,3.1743672,5.898062,3.0951905,5.0036917,2.5145442,3.805322,5.3549323,3.8639443,1.9908211,7.1251383,3.7548447,4.500066,6.905383
2007-01-01 10:00:00,2.245867,14.526506,14.264834,3.9465768,1.1351312,9.226261,3.721332,4.6252,5.6561956,10.590039,2.5846753,1.511449,5.687995,10.588454,1.4929004,15.377488,4.390428,7.8462915,8.457891
2007-01-01 11:00:00,6.0334296,15.950948,16.974642,7.022161,4.052507,10.78503,2.8084915,3.6442783,4.741726,10.350887,6.495568,5.206597,9.582928,5.310872,3.8850796,15.974234,2.1471934,10.819308,11.596191
2007-01-01 12:00:00,8.720645,15.3707285,17.426104,7.4775186,3.7559345,11.301261,0.77562827,3.6199026,3.3902335,12.421224,3.3680854,7.670904,12.90103,1.3119863,6.8250504,14.807527,1.5052764,8.607148,14.033062
2007-01-01 13:00:00,7.208168,11.197012,13.507172,4.7203126,3.5774152,6.066139,1.0507792,2.8422062,3.5999079,9.005393,3.6584625,6.774005,12.948801,1.7840419,6.1627502,2.4765692,1.8093027,13.73005,13.969644
2007-01-01 14:00:00,2.262142,11.266262,16.250908,3.1839247,5.5144553,3.492034,0.6134839,6.6195946,5.149559,8.221971,3.3153036,2.5522304,10.395216,5.6989613,1.0140187,12.187005,1.9507979,14.234997,15.662817
2007-01-01 15:00:00,4.7200975,16.036594,17.658312,5.26573,4.2584944,2.542496,5.860908,5.1767454,3.6595004,11.532249,5.3538227,4.8836703,11.517722,6.5249634,3.4040642,10.565482,3.6287806,17.503983,14.826752
