date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2008-01-01 00:00:00,0.38484257,1.1314461,0.25920603,3.9495094,1.2410477,5.6488523,4.95896,4.335281,5.018614,1.6145743,7.2132754,10.3298235,5.3517756,6.8118243
2008-01-01 01:00:00,0.31330526,0.71657884,1.0951499,3.6733637,1.7491621,4.6953506,5.447107,3.9241037,4.55094,0.3843131,8.6968975,10.390626,4.848089,7.143125
2008-01-01 02:00:00,0.77718395,2.1434102,2.5799136,3.9552498,2.1079292,3.2137344,5.447518,4.331866,4.8152113,4.0293827,7.817438,10.57384,3.7247086,7.4564853
2008-01-01 03:00:00,0.21715306,2.7109234,1.0937594,3.629705,2.1480608,1.2065291,5.8509774,5.738612,3.2900527,2.6961064,6.2132115,10.883811,5.5898223,7.6948724
2008-01-01 04:00:00,0.18689829,3.0507152,3.9256501,3.064827,2.1439826,3.1998208,6.945795,7.1516953,4.368921,0.90533817,6.832577,11.243768,6.8960705,8.61911
2008-01-01 05:00:00,0.5683309,1.4568008,3.3365965,1.7820853,4.699836,3.6929915,7.5491376,8.140029,6.3798685,2.56959,9.140113,11.90477,7.010814,9.980273
2008-01-01 06:00:00,4.1933928,1.2077138,3.1954749,4.613805,5.1018996,3.8941689,8.336221,9.21013,6.9543133,0.31634992,10.367611,12.304982,7.993027,10.223488
2008-01-01 07:00:00,1.4114654,1.1523786,3.2265522,4.4633374,3.8490765,2.2012749,8.390706,9.1645565,9.710797,0.12874702,9.365662,12.011756,7.904994,9.665951
2008-01-01 08:00:00,1.9257762,0.9258866,3.9333735,4.1732454,3.0022974,0.881985,8.068968,9.288381,7.935061,0.6662416,10.070872,12.915557,6.7138834,10.17929
2008-01-01 09:00:00,2.1395,0.46460274,2.440221,3.3406625,2.8599837,1.8106875,8.255847,8.218582,9.315733,1.6499845,10.591875,13.130641,7.891141,9.810981
2008-01-01 10:00:00,1.079782,2.2292624,3.5340133,1.3978022,2.436292,3.1223047,7.8499064,7.625078,9.405765,1.5014826,8.822564,13.061041,7.766745,11.315228
2008-01-01 11:00:00,0.6044718,1.3474299,3.83347,1.7882284,4.986815,7.487402,7.56261,7.9837756,9.805955,1.2813098,8.703471,12.346513,10.74649,13.329453
2008-01-01 12:00:00,1.544772,3.0140352,3.758512,2.843185,8.117509,5.1673737,8.107996,8.253918,10.929262,0.646094,6.829613,12.243828,9.113586,13.063465
2008-01-01 13:00:00,0.72933745,3.4497128,3.3420315,3.13152,6.428964,6.9810324,7.678284,8.526947,10.346881,1.1700337,4.767116,12.481314,9.817889,11.181914
2008-01-01 14:00:00,2.2808979,2.7605703,3.7559173,2.1717794,7.7831745,8.165315,5.80669,8.668649,11.333893,1.1370592,5.2278533,9.648957,10.858858,11.449118
2008-01-01 15:00:00,2.639735,2.3313344,4.113923,2.8160782,7.7628546,8.156645,8.724866,7.9541917,11.795745,0.58918166,6.250675,12.066376,8.475681,10.894635
2008-01-01 16:00:00,2.9922304,2.593926,2.7797966,4.878871,2.987484,7.4715004,7.8185925,8.131887,11.491312,0.32563037,5.768855,11.844654,8.98671,11.486217
2008-01-01 17:00:00,1.9434407,1.4573764,0.7710053,5.620433,4.734552,6.465901,8.190895,7.427393,7.736405,1.5763131,2.5798926,12.231714,9.782479,10.578331
