date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2011-01-01 00:00:00,5.8503423,12.518519,17.668715,3.6764092,8.434724,8.902873,4.383022,8.264087,5.797633,12.70654,9.709673,15.118826,7.7048564,14.689143,15.826815
2011-01-01 01:00:00,4.335016,13.666302,14.617573,3.904181,6.903197,7.068164,3.3576472,4.243002,5.9400406,11.0201845,13.084807,16.393124,5.436824,14.491957,12.983909
2011-01-01 02:00:00,3.181381,13.270968,17.3075,4.2553864,9.606476,7.848488,5.54638,7.8494225,7.320066,10.227333,12.187111,14.171161,9.294606,15.256697,15.583743
2011-01-01 03:00:00,6.9863443,13.508303,22.349407,6.038405,7.7974653,6.948132,7.7375546,2.5335708,8.265341,11.451882,13.743128,19.135405,6.750309,16.03294,19.942244
2011-01-01 04:00:00,7.2428546,17.970715,20.802326,6.493036,10.456367,8.268233,4.946813,5.0323715,7.7426186,13.166082,14.484626,18.049995,5.3478756,17.493608,17.258585
2011-01-01 05:00:00,10.9689665,16.599066,18.450325,5.4257674,7.1112475,7.6969805,7.170918,6.043098,7.131191,14.091729,13.389858,16.336575,8.323589,19.389221,17.592241
2011-01-01 06:00:00,11.268615,17.55815,18.420038,4.830933,10.623637,7.9656205,6.119078,6.118874,6.987884,12.777556,13.369904,16.11864,4.7610836,14.993152,17.861078
2011-01-01 07:00:00,6.7817645,13.361322,17.281443,6.132958,5.997761,8.337211,5.6918144,4.101872,10.991048,9.439823,11.891706,18.28328,7.749648,14.37602,16.590002
2011-01-01 08:00:00,11.496854,14.549604,17.634586,4.012016,7.3585567,7.1092305,3.2462573,4.0882154,7.1602135,10.408086,11.852118,14.15181,8.22834,16.353529,15.939083
2011-01-01 09:00:00,8.348037,13.376292,18.789862,5.3953285,9.375302,5.081656,4.3794994,4.8190637,5.7729173,9.870456,11.189424,15.988352,5.762599,13.616473,16.854895
2011-01-01 10:00:00,5.354522,13.925187,15.461353,2.9393656,7.3628993,7.2275147,3.494421,3.392577,5.785577,8.983028,12.524409,17.28913,5.316423,13.641447,13.355279
2011-01-01 11:00:00,4.0416055,11.060316,14.964965,5.41705,6.4454775,6.4379687,7.7646284,5.210667,8.323975,10.690165,11.718202,12.978184,5.4601235,9.983067,14.38524
2011-01-01 12:00:00,3.7263346,11.750161,14.305596,5.2443643,6.069796,4.696636,5.6260457,6.722217,8.451404,9.346396,12.035635,13.744835,7.987534,12.799462,11.596119
2011-01-01 13:00:00,5.97106,11.52317,14.165776,6.2865324,2.300065,5.9029055,5.200487,7.008997,7.3350625,11.213626,10.386892,11.812346,7.461232,11.457174,15.910144
2011-01-01 14:00:00,6.7157483,12.145728,12.823418,2.1091301,4.8728666,6.4171286,5.923745,5.1641045,8.20254,7.6863794,7.881048,13.31475,5.0642896,12.410718,12.687123
