date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2013-01-01 00:00:00,5.3834696,8.011591,6.087951,4.3220177,2.779866,6.5339894,6.9359813,4.0917296,15.864013,10.362774,8.182377,5.592146,6.822237,20.550068
2013-01-01 01:00:00,7.5136094,8.881704,5.9511514,3.8947816,7.905729,4.395703,5.3842373,2.6273103,12.997599,3.9512522,3.921448,5.2151985,8.197978,14.850187
2013-01-01 02:00:00,7.7711015,12.415394,5.3619323,4.1667295,7.891455,5.299738,4.4208946,2.196506,9.896247,6.3102994,1.9336282,4.2509503,11.063516,12.849473
2013-01-01 03:00:00,7.6588116,14.466259,7.4963293,5.4218903,8.409353,3.7317324,4.2487926,1.9586358,7.627584,7.5356464,3.1078784,7.2691784,11.333846,15.813569
2013-01-01 04:00:00,4.814404,15.397584,6.3844495,5.8007913,10.053525,2.7467985,2.2941287,1.4976083,11.1956625,6.5478125,2.5930293,7.3444786,6.6478252,15.578476
2013-01-01 05:00:00,6.159987,10.309667,4.987311,6.0361667,6.6494627,5.8489876,3.7599216,0.8464182,9.319997,6.282957,3.2762365,6.371538,2.2990355,11.053209
2013-01-01 06:00:00,6.567744,6.009719,4.2919197,1.8668664,6.2077417,4.6580067,4.1219683,1.0833833,7.9002275,4.8742814,8.050213,1.7846583,5.7078786,11.784083
2013-01-01 07:00:00,6.245873,4.1469107,3.7557952,3.8912158,2.1005216,2.3316228,1.3032924,0.94985056,8.13375,3.4220462,3.5567183,2.9314792,4.0592594,9.205637
2013-01-01 08:00:00,3.474209,4.1484065,0.90526277,5.0005593,3.5668561,2.2591734,2.864055,1.8891364,9.432065,4.3000665,5.73361,3.3683653,2.6839736,7.339123
2013-01-01 09:00:00,3.2360785,0.6890248,2.97424,4.367027,3.1684434,3.506305,3.4327998,1.442633,6.748375,3.0134242,4.8906603,4.0303206,7.0951724,8.496458
2013-01-01 10:00:00,3.2101917,3.545767,4.059013,4.7086897,2.154588,2.3428533,2.5545719,0.3799802,6.3170357,3.12734,5.464325,4.7104397,5.344313,10.457413
2013-01-01 11:00:00,2.2779403,1.6053358,3.05178,3.9375834,3.903038,1.4363271,3.9802363,1.3597276,5.510763,2.7022421,3.373063,2.80098,6.346058,9.036544
