date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2021-01-01 00:00:00,4.3902464,4.2126303,1.7267295,0.8642042,7.222576,1.8449553,4.4251556,1.5422605,9.938628,6.057694,8.585097,5.1920247,12.468677,6.743126
2021-01-01 01:00:00,5.119899,5.5351405,2.4961507,1.5371351,5.8664317,4.205621,3.2322412,3.2130523,8.062818,4.6461463,5.4613523,5.2119303,11.371054,6.9641776
2021-01-01 02:00:00,5.82502,5.837778,0.9186569,1.3192203,6.2076488,4.7266765,2.2791626,1.9591436,7.2748256,4.299333,6.043297,5.3413825,11.040826,7.638776
2021-01-01 03:00:00,6.6747093,9.666883,1.1966189,1.1416826,7.314055,4.800133,0.7871061,1.3178662,7.3495984,3.1499908,6.347014,4.5413003,8.437921,7.072912
2021-01-01 04:00:00,7.2272387,8.954519,2.0939815,0.6828536,6.1857963,3.0942602,0.7561985,2.9977636,5.9141955,4.0046,8.4522295,3.8212187,5.448772,6.953015
2021-01-01 05:00:00,4.1655674,7.289682,1.7645602,0.67489934,1.9193767,3.2293038,0.435866,2.3237157,5.4244885,0.8070649,5.642296,4.0984592,3.8282883,6.8162417
2021-01-01 06:00:00,1.9109552,5.8178525,0.39051905,0.5922986,0.93830365,3.450457,0.4554517,1.2598888,5.8570204,1.6317033,4.84796,4.0353446,5.672835,5.13492
2021-01-01 07:00:00,1.8422011,2.3499088,0.72351515,0.601035,1.4906465,2.582887,0.51776,0.70489025,5.6650186,1.7228346,2.8534248,3.9144552,5.5492096,4.3968897
2021-01-01 08:00:00,0.02109997,0.5973301,0.5263397,0.6106606,2.2385902,2.249283,2.9398875,0.69952816,5.946897,0.6527401,3.3343816,4.1961775,3.9678242,4.087403
2021-01-01 09:00:00,1.8820399,2.790695,0.731748,1.5833514,2.6521099,1.9510148,1.6259692,1.0671382,5.1183867,0.43765774,3.3806674,4.5087247,4.6865215,4.300067
2021-01-01 10:00:00,2.39858,0.5151969,0.31264612,0.94042623,1.7971915,0.75647014,0.9868725,0.48231965,4.334632,0.97153676,5.252888,3.6451182,2.6411586,3.3650231
2021-01-01 11:00:00,2.5281086,1.4038118,0.7044462,0.19588262,1.017106,1.3333815,0.5416014,1.178169,3.38724,0.621214,4.0899587,4.009956,4.330718,2.80683
2021-01-01 12:00:00,0.9314357,2.1082282,0.12943582,0.43365267,1.5423267,1.5439831,2.3835404,1.1035992,2.21544,0.4625526,3.433302,3.5889857,3.46902,2.789886
2021-01-01 13:00:00,0.6252505,0.8936019,1.2596679,0.90811807,1.4032836,1.0122117,0.58862615,2.5098655,3.1728413,0.7936569,5.2388816,3.0672443,2.2193651,2.841656
2021-01-01 14:00:00,0.64766407,0.7830277,0.45968735,1.0998889,1.5699615,0.9051584,1.83873,2.5179424,3.3039222,0.8758993,5.1266813,1.8355793,2.0373983,3.1241314
2021-01-01 15:00:00,0.32899964,1.6975086,1.051351,0.76061326,0.95568466,0.71786577,1.479172,1.6667367,1.9436979,1.7216207,5.9693813,0.44786853,2.701491,3.0670362
2021-01-01 16:00:00,0.49413082,1.5087565,0.77181894,0.99698853,1.6967425,1.332756,1.0415593,0.6083793,2.9409602,0.55150837,6.0434313,1.1638865,3.670175,3.2820523
2021-01-01 17:00:00,0.15605074,0.42938542,0.3060908,0.7671288,0.24360645,1.0559359,0.41868818,0.7143621,3.2268848,1.7030804,6.926885,1.6371508,4.4421935,3.7426498
2021-01-01 18:00:00,1.7871988,1.1133444,0.44236788,1.1036578,1.0981693,1.1908076,0.5363532,1.2943554,2.986319,0.17936222,6.1794314,2.1031373,4.302985,3.7637694
2021-01-01 19:00:00,1.1712205,2.005293,1.229639,2.366195,0.65643823,0.77892995,1.2874154,1.1978824,3.84052,0.40528077,5.9396396,0.6828684,4.593377,4.1809053
2021-01-01 20:00:00,0.6886833,2.2898972,1.3733839,2.1989956,1.2813177,0.8403016,1.1404556,1.414285,3.7632062,0.3295467,6.274122,2.591664,4.2071095,4.768431
2021-01-01 21:00:00,0.70087415,2.0400054,0.73409754,0.051662285,0.6601899,0.86594677,1.2370436,1.0574499,2.7961853,0.46926147,6.3353453,3.5735433,3.829472,4.3589087
2021-01-01 22:00:00,0.4975439,1.0204152,0.5736845,0.9282704,0.44528425,0.8548606,1.4992923,0.8696327,4.323922,0.5031529,6.4311576,6.191096,4.566584,4.347868
2021-01-01 23:00:00,1.9423056,1.3652887,1.5751508,1.4257898,1.6745379,0.9194018,1.1472542,1.6332145,4.9433084,0.5676266,6.420891,6.60647,4.5593653,4.6750584
2021-01-02 00:00:00,0.90507066,0.994707,0.84103113,0.8144089,0.49103904,0.90726733,0.05394336,0.8062028,3.2163785,0.3832477,6.4429235,5.628465,5.624233,4.5250907
2021-01-02 01:00:00,0.51621914,1.4867685,1.2494032,1.696478,0.38944495,3.1792638,2.342642,1.249021,5.0028915,0.6966721,6.668788,6.668262,4.495501,4.569922
2021-01-02 02:00:00,1.0317911,1.9606473,1.0539668,2.004088,0.8641385,1.6230375,2.9053648,1.9043863,4.858545,1.4367952,6.262891,6.5522003,4.139602,4.5268292
2021-01-02 03:00:00,0.82237333,1.5119143,1.1882567,1.9373164,0.7089489,0.7705793,3.8786218,3.2793427,4.343641,0.5354513,5.7576776,8.668104,4.4474406,4.244293
2021-01-02 04:00:00,0.21301705,0.6667552,1.1044763,3.0426264,0.25930345,3.8002462,4.264433,3.6423168,4.3283553,1.2373525,5.8061104,8.715741,4.059594,4.5834174
