date,MG,NB,SM,FL,OD,VS,FN,OV,LV,SV,FL_ol,JD,AS,NV,BH,FB,SJ,SB,PEAK
2007-01-01 00:00:00,0.98154145,-4.213699,-3.349145,0.6566104,3.0398436,-1.5143358,-0.7441003,2.4646695,-2.682014,-2.829049,0.40732345,-0.33001143,-2.6028697,-1.168798,0.9176074,-0.031391215,-1.3333347,-5.34907,-5.285752
2007-01-01 01:00:00,1.0515498,-2.3261156,-2.5952544,2.0739543,4.009241,1.5143758,-3.3477106,2.1139703,-4.443328,-4.8772545,1.5908198,0.7830854,-3.6027358,0.14221992,1.0227734,-5.8475137,1.7846186,-8.870423,-8.075678
2007-01-01 02:00:00,-0.4073681,-1.619515,-2.753431,1.4266022,6.959769,1.078052,-3.593066,2.9850981,-3.6663277,-5.3611875,0.86093074,-1.6979984,-3.229983,2.405579,-0.10712131,-4.038853,-1.712579,-8.18847,-7.54181
2007-01-01 03:00:00,2.8882809,0.68459725,-1.021008,2.8052201,2.9318671,0.8938724,-4.08292,3.7298841,-3.9382534,-8.312159,2.2116237,1.4327794,-2.3967893,2.9658065,2.8630729,-0.92711353,-5.186799,-9.030089,-6.2403994
2007-01-01 04:00:00,-0.9205217,-2.0619202,-1.6920897,2.5284052,5.2627125,1.1594585,-4.5158863,2.5052533,-3.0514889,-6.8936076,2.290974,-1.6405979,-2.0659225,0.94115824,-0.82272476,-4.6584935,-0.0882069,-10.450077,-7.680213
2007-01-01 05:00:00,0.7600985,-3.7569935,-2.77987,1.5834974,1.5469155,1.1230255,-2.6980965,0.6740524,-3.6470144,-7.696549,2.6628525,0.44681883,-2.5350997,3.693444,0.8341527,-6.6764307,-1.6615747,-9.043229,-6.653396
2007-01-01 06:00:00,-0.6745444,-3.9549646,-2.4254467,0.52359706,-0.9534559,0.26398528,-2.414083,-1.0118004,-2.6958268,-6.738056,-1.2715808,-0.07036564,-2.3799188,-0.9437633,-0.7373946,-4.4732404,-0.22727582,-7.174029,-5.513037
2007-01-01 07:00:00,-1.2386905,-5.3265142,-1.2629838,0.9494303,1.6750529,1.7139139,1.0734905,0.5899703,-2.3154352,-6.4735227,-0.9993944,-1.2496598,-2.4765935,-2.7590683,-1.2932884,-3.1071215,-2.5162804,-3.3610878,-3.7088761
2007-01-01 08:00:00,-0.8333209,0.11305223,2.3614163,1.2702776,2.6698606,-0.49989313,-3.2407446,0.7417229,2.1474245,-4.857434,0.32945865,-1.8394331,-1.5921124,-0.39641696,-0.75429285,-1.0245172,-3.5982566,-0.30097574,-0.347927
2007-01-01 09:00:00,-2.0335848,6.736131,7.959597,-0.5224683,1.9472802,1.6453751,-2.7742984,0.10666597,0.35399163,-1.0690647,-0.47207808,-2.0502,1.937808,3.097113,-1.926556,1.2739732,-2.528941,-1.409609,1.2444025
2007-01-01 10:00:00,-0.6847141,9.700547,9.81222,-3.2367537,-1.1582501,3.6121926,0.60259265,2.5057523,3.9282556,2.7329156,-3.3304346,-0.63425696,3.5036738,7.9381585,-0.30012846,3.2240388,-2.4087844,-0.29038802,2.5705864
2007-01-01 11:00:00,-3.4594698,10.383432,10.63744,-6.853466,0.19072911,6.797173,0.6765222,-0.739625,3.4809918,3.8266003,-5.2882957,-4.4292436,3.849916,6.333751,-3.1586592,4.4685545,-1.4823933,-0.50290304,3.2868726
2007-01-01 12:00:00,-7.9078455,8.90052,10.006672,-5.5682006,4.2366676,9.106899,-0.41750428,0.9242409,3.2127419,4.8938913,0.01815291,-8.1508665,2.0427475,-2.04772,-7.723735,4.4172263,1.4244964,-0.27458328,4.280487
2007-01-01 13:00:00,-4.5119014,7.2979703,8.288974,0.8707735,3.1794264,3.3090487,2.0558152,0.052966144,2.5284667,2.3172362,1.8629318,-5.6318216,4.964658,3.6831484,-4.2016044,-0.35183534,-0.6223569,1.8063529,5.6332126
2007-01-01 14:00:00,-1.344399,5.931696,8.167444,-4.5353003,1.1572499,0.095228486,1.6866628,0.52086437,4.863713,3.7918,-4.986469,-0.9781593,6.940523,3.3423316,-1.1123236,2.718773,-0.20017888,6.099528,8.849637
2007-01-01 15:00:00,0.056855895,8.323664,8.1407995,-6.512585,-1.1083461,0.7086775,5.6792035,1.0022354,2.7531893,7.185136,-6.1163216,-1.2363818,4.093381,8.180717,0.48261315,2.996765,-2.3315835,6.229767,5.076542
2007-01-01 16:00:00,-2.3489149,4.6646724,6.5912137,0.15077443,1.3616523,6.004449,4.5466037,-0.009666959,3.1619003,7.5535507,1.2924867,-2.5075035,6.270547,1.2854344,-2.215426,-1.478599,-0.36433977,8.498648,5.929167
2007-01-01 17:00:00,-1.475232,4.9036508,11.526615,-2.9345286,-1.6791935,6.0768466,0.9531157,-3.1051278,1.5418447,6.259972,-0.15299164,-1.5209723,4.030667,-3.6192605,-1.4514657,-0.0786774,-0.34451622,4.0220585,12.096837
2007-01-01 18:00:00,-6.1895986,10.701118,10.622264,-0.10764834,-0.5688207,4.1456404,2.4598925,-0.35406506,2.4098942,4.487426,-0.46509996,-6.3536468,7.076219,-2.8449636,-6.1213975,1.8186603,3.8634646,2.8505123,10.593004
2007-01-01 19:00:00,-0.019173296,2.0958407,6.2105722,1.131821,-0.38545075,3.1668606,3.8749673,0.12184819,-1.359964,5.6946125,1.6447642,0.49546984,5.9480853,0.036007956,0.01855954,0.076147914,1.8756928,4.7375975,10.908925
