date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2013-01-01 00:00:00,4.384214,5.958974,-2.0035646,0.6524479,-1.1970724,5.95651,-4.1945653,4.8298917,10.724752,11.059198,5.9266744,2.6989217,4.489616,20.191053
2013-01-01 01:00:00,-1.2860432,8.816764,-1.7359931,-4.036691,8.289113,2.9964774,0.38530916,3.1107295,9.165654,3.9849138,3.1075678,2.905728,4.346714,15.766031
2013-01-01 02:00:00,-3.2513561,7.984918,0.33503544,2.3451705,5.729159,1.4917717,-0.68313324,1.867227,8.11666,6.3469696,0.80098057,1.0976934,6.982427,10.616418
2013-01-01 03:00:00,-2.00916,11.313699,1.3773345,2.2611835,5.161494,1.3464581,-0.39563194,1.2790706,5.3645625,6.5417747,1.6248299,2.3217254,7.579959,12.192638
2013-01-01 04:00:00,-2.5150504,5.0979505,-0.8242567,-0.018100508,6.0203433,3.2686808,0.24845122,1.370289,5.534538,8.086275,1.4495442,2.2268445,5.943573,13.288713
2013-01-01 05:00:00,4.6320505,-1.7858195,-2.1458478,1.8844607,0.42910403,-0.20206112,-0.4333742,1.0139838,7.2933583,6.7917905,1.4062489,3.1414578,3.20726,10.880142
2013-01-01 06:00:00,0.08235795,-0.8849491,-0.7853437,3.7895591,-0.42154408,0.7134419,-0.06190192,1.5142293,3.2213244,1.9312266,2.600248,0.35161942,2.1880627,12.563199
2013-01-01 07:00:00,-0.93259317,-2.2954826,0.16702065,0.053488564,0.24366245,0.124958925,-0.22882417,-0.31623757,6.0641456,3.0892963,2.692904,0.33809787,2.4751437,10.744206
2013-01-01 08:00:00,0.8081974,1.0018294,1.902404,-3.1481366,-1.6089693,1.4337815,-1.3512782,-1.4236554,5.714406,4.4240904,2.6165276,-0.2186988,2.3044534,10.088177
2013-01-01 09:00:00,1.8488432,2.3285637,-0.68759716,1.6568321,-0.78692377,0.5394419,-1.7069466,0.58450085,6.44581,3.2864482,2.5651867,1.5669502,4.5994334,9.862221
2013-01-01 10:00:00,1.1505281,-3.6616936,-0.19852825,-1.9945284,-1.9597626,1.4396524,-2.9935167,1.2101841,4.035672,2.9322886,2.3377354,1.6896641,3.264192,8.002445
2013-01-01 11:00:00,1.9319773,-1.6221844,-0.12663437,-1.7789012,-2.3087163,0.25086918,-1.4892429,0.8083685,4.6688085,5.2372546,1.9462806,2.7391956,3.0989969,7.9416327
