date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2022-01-01 00:00:00,1.3314023,1.5869403,-2.2266135,-5.413996,3.7834241,-1.2545671,-5.3060417,-6.953409,4.526283,0.42974615,1.8398991,3.0504284,-1.6379623,4.624299
2022-01-01 01:00:00,0.1492978,-1.8020915,0.77315736,-4.349227,-5.152931,-0.755651,-3.5312607,-7.299574,5.912129,4.319009,3.2679987,1.5732796,5.656145,7.411693
2022-01-01 02:00:00,-0.686574,-1.1798702,1.7117908,1.2004567,2.6983337,-1.9466234,-0.52863926,0.19963738,-5.487258,-1.7055061,-3.30096,-2.3375793,-4.0252714,-3.0004425
2022-01-01 03:00:00,0.20140378,-0.2639584,2.2025697,0.9136122,0.5166657,2.3891969,-0.66053957,-0.13152516,-4.5228906,-1.0980364,-4.5534525,-2.2147002,-4.964883,-2.5564778
2022-01-01 04:00:00,-0.53953785,0.29532754,1.5177147,0.8425091,0.3092243,-0.91149837,0.653493,-0.28551626,-4.193176,-1.3277537,-3.3205922,-2.334182,-4.7882648,-2.0977905
2022-01-01 05:00:00,0.83499795,0.09957721,0.70786506,0.68257725,0.44379732,1.313124,-0.27950302,0.64633316,-2.3388758,-1.0521386,-3.6263804,-4.5613756,-4.119694,-1.904248
2022-01-01 06:00:00,-0.020616286,-1.0397235,1.1117386,-1.5408089,1.3688198,0.2130611,0.8759896,-0.5840815,-0.44784293,-1.7628273,-4.7951183,-5.0423937,-4.7624564,-2.996005
2022-01-01 07:00:00,-0.06783687,0.24874744,1.2486475,-0.9254504,-0.23856953,-0.93968624,0.0015059767,-0.85973394,1.4562259,-1.617628,-4.4617405,-6.2989535,-5.004193,-1.484052
2022-01-01 08:00:00,-0.14874627,1.5978643,1.9396324,-0.91740686,2.355406,1.1384357,0.040724102,-0.67551666,2.5760891,-1.6459855,-5.6521096,-7.8821735,-5.4160414,-1.0870824
2022-01-01 09:00:00,-0.44270936,-1.2417245,1.1575302,-4.7020226,2.5045233,1.020184,0.44433346,0.6017524,1.8747116,-1.0502926,-5.7799935,-6.7940197,-6.2617173,-4.465438
2022-01-01 10:00:00,0.064062364,-0.49930245,1.048752,-5.40577,0.9101876,1.0225872,-1.0796112,-0.72335285,1.5636221,-1.1911894,-5.648918,-8.28856,-5.4158244,0.67282176
2022-01-01 11:00:00,-0.078231975,-1.0634739,2.010507,-2.1592782,1.2980961,-3.3826518,2.5353394,-3.1443293,-2.0156012,-0.81083006,-6.191498,-5.4849806,-7.545468,-2.1058538
2022-01-01 12:00:00,0.17515513,-0.72779214,0.12817731,-6.368196,0.71922374,-4.92193,2.906955,-9.228567,-5.293336,-0.74119633,-5.4078856,-3.4532504,-6.8901634,-5.0080376
2022-01-01 13:00:00,-0.6870931,-0.7033926,1.2504803,-5.9213276,1.5581799,-3.167758,2.2211921,-9.233325,3.5960987,-1.000823,-5.5464897,-5.0063057,-6.856574,-4.7757163
2022-01-01 14:00:00,-0.4506289,0.7967605,-0.94579434,-11.797955,1.2343775,-0.4943628,-5.5937524,-9.336846,1.2926313,0.074061766,-4.6710105,-8.573802,-7.081948,-3.2018883
2022-01-01 15:00:00,0.014212849,1.1486154,-1.7398579,-10.619322,2.2198362,-2.2063506,-3.3278966,-8.32119,2.2543166,1.0151086,-0.0137971295,-5.567741,-4.130966,-2.5288842
2022-01-01 16:00:00,0.46144673,0.7812558,-0.40742907,-7.9968038,0.17944711,-0.9638186,-4.601997,-4.8592277,3.9136746,-0.037976865,0.013765312,-2.5675416,-2.9740365,2.7663436
2022-01-01 17:00:00,-1.1709677,-0.022159746,-1.5766572,-8.262247,0.99306685,-0.4809363,-5.190576,-3.3397448,2.5489614,-0.26887342,-1.0820625,-2.670548,-4.0297933,2.3942113
2022-01-01 18:00:00,-1.0601957,-0.45091575,2.5400803,-5.404927,-2.180881,-0.4892903,-3.6836047,-9.072681,5.6722794,3.7101095,2.52954,1.787701,2.4964573,6.905337
2022-01-01 19:00:00,-1.0100524,3.3005185,-0.14182964,-0.018131023,1.8879952,1.8486478,0.1714071,1.3151131,-0.00014048972,-1.0302365,-1.6821469,-1.4972297,-0.49970442,3.3177788
2022-01-01 20:00:00,-0.6347539,2.1256652,0.84696805,-0.5848151,2.2403204,-0.2253775,0.024142463,-0.13678968,0.9683248,-2.0130568,-0.6166571,-1.3687383,-1.9263368,0.78489405
2022-01-01 21:00:00,-2.6214972,-0.13820118,-0.07717041,0.3287644,3.5432005,-0.42947507,0.33232486,-1.8895856,-0.8650199,-0.0805481,-1.8122174,-2.2435818,-4.0224733,-2.1049957
2022-01-01 22:00:00,-1.0500616,-0.4870365,-0.718754,-0.5514174,-0.68657756,-2.9852622,-0.23826022,-2.5658839,-5.2743983,-0.104321025,-1.7120475,-0.5363103,-2.054927,-2.9247465
