date,MG,NB,FL,OD,VS,FN,OV,LV,SV,AS,FB,SJ,SB,PEAK
2022-01-01 00:00:00,0.42527145,2.3671873,-1.0258466,0.4258648,1.4101737,-0.38964453,-0.045141857,0.5851526,2.0179698,0.25055844,-0.10229006,-2.0606544,-2.424143,-0.3466184
2022-01-01 01:00:00,-1.0879295,1.5646865,0.62982154,0.18120618,0.46731937,-0.39203343,-0.5919989,-0.09118973,-5.566808,-0.731589,-4.153564,-2.0836475,-3.5597017,-2.6837752
2022-01-01 02:00:00,-0.6407302,2.5314395,-1.3573508,1.0183691,2.5713444,0.23442945,0.322296,0.026159288,-0.17297933,0.68653226,-0.46608678,-1.5805157,-0.8555254,2.7460356
2022-01-01 03:00:00,-2.0465338,5.258238,-0.24210887,-0.6670151,2.0577204,-0.324736,-0.09607073,0.24671938,-0.29822117,-2.757419,-1.3549815,-0.5758229,-1.1348932,1.6123521
2022-01-01 04:00:00,-0.7944762,-1.5436496,-0.5889704,1.0569266,-0.17351577,-2.018085,0.35450044,-3.1537242,-3.1348023,-0.2534818,-2.8140085,-0.64505625,-5.0810623,-3.2677295
2022-01-01 05:00:00,0.15573123,0.645592,-0.56140953,-1.5230385,1.1429963,0.6274404,-3.3390973,-1.4107342,-4.7104306,-0.832712,-3.400918,-0.29169643,-2.1290116,-3.3732276
2022-01-01 06:00:00,1.0052638,-0.23449019,1.0899931,2.0076067,1.5700386,2.0614278,-1.0122522,0.076482676,-3.5608351,-1.2826291,-4.4296837,-3.194164,-4.0455303,-2.4676094
2022-01-01 07:00:00,-0.9378075,1.7272074,0.5911307,0.8413297,0.51702267,2.7166429,0.6911326,0.026156042,0.5608607,-0.9795427,-3.867772,-2.5064263,-4.601328,-1.1699352
2022-01-01 08:00:00,0.93297267,0.7990977,1.4779804,1.0948191,0.0783711,2.3682637,-0.099425755,1.3859149,0.51597476,-0.25128165,-4.9625893,-3.7905374,-3.5760286,-1.1901805
2022-01-01 09:00:00,-0.8860374,-0.7299523,0.6531255,0.16977508,0.88801706,2.5645528,0.09420908,-0.12509505,2.2324944,-1.6808016,-4.98281,-4.6082215,-4.146567,-1.8547709
